"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Number!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Number!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent Distribution!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent Distribution!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Mean income (dollars)!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Mean income (dollars)!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Number!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Number!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Percent Distribution!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Percent Distribution!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Mean income (dollars)!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Mean income (dollars)!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Number!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Number!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Percent Distribution!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Percent Distribution!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Mean income (dollars)!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Mean income (dollars)!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Number!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Number!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent Distribution!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent Distribution!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Mean income (dollars)!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Mean income (dollars)!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Number!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Number!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Percent Distribution!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Percent Distribution!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Mean income (dollars)!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Mean income (dollars)!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Number!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Number!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Percent Distribution!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Percent Distribution!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Mean income (dollars)!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Mean income (dollars)!!Margin of Error"
"        With retirement income","67","±50","5.8%","±4.1","28,710","±7,996","234","±191","15.0%","±10.8","57,276","±22,457","246","±146","28.3%","±13.8","54,116","±10,774","249","±137","11.6%","±6.1","20,950","±9,204","328","±124","23.5%","±9.4","31,930","±9,424","298","±127","24.7%","±10.2","75,275","±28,832"
"        With other types of income","85","±52","7.3%","±4.5","10,535","±5,581","95","±50","6.1%","±3.3","24,255","±9,510","0","±13","0.0%","±4.5","-","**","156","±98","7.2%","±4.3","6,432","±3,625","132","±109","9.5%","±8.0","22,402","±24,718","84","±55","7.0%","±4.4","10,315","±12,664"
"FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    All families","524","±113","524","±113","61,577","±24,159","256","±110","256","±110","155,032","±37,066","291","±192","291","±192","137,102","±109,100","619","±214","619","±214","164,225","±25,077","455","±193","455","±193","156,560","±28,266","310","±112","310","±112","238,456","±57,263"
"        No workers","228","±79","43.5%","±13.7","20,244","±11,446","10","±16","3.9%","±6.4","-","**","45","±41","15.5%","±15.8","N","N","59","±51","9.5%","±7.5","N","N","23","±26","5.1%","±6.0","N","N","73","±53","23.5%","±16.1","N","N"
"        1 worker","171","±92","32.6%","±14.2","29,109","±14,262","76","±62","29.7%","±23.1","70,364","±15,611","120","±181","41.2%","±41.7","N","N","84","±59","13.6%","±9.6","N","N","95","±63","20.9%","±14.1","N","N","31","±36","10.0%","±11.3","N","N"
"        2 workers, both spouses worked","54","±37","10.3%","±6.9","256,365","±42,293","170","±101","66.4%","±23.4","202,004","±22,727","114","±49","39.2%","±31.4","N","N","429","±192","69.3%","±14.8","N","N","187","±111","41.1%","±23.5","N","N","206","±100","66.5%","±18.3","N","N"
"        2 workers, other","71","±57","13.5%","±10.8","124,355","±127,558","0","±13","0.0%","±14.4","-","**","7","±12","2.4%","±4.8","N","N","34","±42","5.5%","±6.7","N","N","19","±30","4.2%","±7.1","N","N","0","±13","0.0%","±12.1","N","N"
"        3 or more workers, both spouses worked","0","±13","0.0%","±7.3","-","**","0","±13","0.0%","±14.4","-","**","5","±8","1.7%","±3.2","N","N","13","±21","2.1%","±3.5","N","N","131","±151","28.8%","±25.7","N","N","0","±13","0.0%","±12.1","N","N"
"        3 or more workers, other","0","±13","0.0%","±7.3","-","**","0","±13","0.0%","±14.4","-","**","0","±13","0.0%","±12.8","N","N","0","±13","0.0%","±6.3","N","N","0","±13","0.0%","±8.4","N","N","0","±13","0.0%","±12.1","N","N"
"PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","2,602","±494","2,602","±494","35,469","±8,931","2,297","±429","2,297","±429","77,094","±9,917","1,707","±427","1,707","±427","79,970","±26,197","3,927","±704","3,927","±704","63,984","±8,591","2,345","±478","2,345","±478","65,552","±8,730","1,760","±254","1,760","±254","91,006","±15,682"
"        One race--","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            White","494","±133","19.0%","±5.7","74,267","±20,837","1,352","±331","58.9%","±11.1","86,954","±11,202","1,024","±225","60.0%","±15.3","101,979","±30,525","2,283","±528","58.1%","±10.6","83,170","±6,684","1,445","±494","61.6%","±11.0","68,406","±8,726","1,247","±264","70.9%","±10.1","101,305","±19,910"
"            Black or African American","2,004","±486","77.0%","±5.9","22,743","±7,119","463","±197","20.2%","±9.1","68,336","±21,096","523","±378","30.6%","±16.7","51,613","±44,510","1,164","±516","29.6%","±10.7","31,585","±15,496","764","±215","32.6%","±10.1","63,530","±22,239","342","±173","19.4%","±9.3","47,394","±9,732"
"            American Indian and Alaska Native","0","±13","0.0%","±1.5","-","**","21","±43","0.9%","±1.8","N","N","42","±28","2.5%","±1.7","-","**","0","±13","0.0%","±1.0","-","**","0","±13","0.0%","±1.7","-","**","0","±13","0.0%","±2.2","-","**"
"            Asian","44","±32","1.7%","±1.3","101,082","±142,504","179","±92","7.8%","±4.0","90,665","±39,580","68","±59","4.0%","±3.5","57,304","±52,647","139","±87","3.5%","±2.1","96,640","±68,834","29","±33","1.2%","±1.5","N","N","40","±54","2.3%","±3.1","50,713","±27,186"
"            Native Hawaiian and Other Pacific Islander","0","±13","0.0%","±1.5","-","**","0","±13","0.0%","±1.7","-","**","0","±13","0.0%","±2.3","-","**","8","±14","0.2%","±0.3","N","N","0","±13","0.0%","±1.7","-","**","0","±13","0.0%","±2.2","-","**"
"            Some other race","10","±15","0.4%","±0.6","N","N","38","±57","1.7%","±2.5","N","N","13","±20","0.8%","±1.2","N","N","62","±78","1.6%","±2.0","N","N","0","±13","0.0%","±1.7","-","**","31","±37","1.8%","±2.1","N","N"
"        Two or more races","50","±39","1.9%","±1.5","110,454","±58,235","244","±231","10.6%","±8.8","32,185","±29,478","37","±43","2.2%","±2.4","13,154","±15,631","271","±149","6.9%","±3.9","24,572","±14,740","107","±83","4.6%","±3.9","39,633","±19,283","100","±97","5.7%","±5.6","135,827","±94,279"
"        Hispanic or Latino origin (of any race)","37","±31","1.4%","±1.2","8,643","±6,014","319","±217","13.9%","±8.2","49,608","±34,672","101","±79","5.9%","±4.7","29,475","±14,308","342","±159","8.7%","±4.0","66,782","±26,472","348","±367","14.8%","±14.2","56,305","±20,170","84","±73","4.8%","±4.0","64,268","±6,483"
"        White alone, not Hispanic or Latino","467","±133","17.9%","±5.7","77,993","±21,315","1,233","±326","53.7%","±9.7","87,705","±11,142","936","±230","54.8%","±15.2","109,140","±32,297","2,143","±519","54.6%","±10.5","81,645","±6,724","1,097","±382","46.8%","±13.1","72,245","±8,561","1,197","±247","68.0%","±9.7","102,773","±20,477"
