"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Native; born in state of residence!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Native; born in other state in the U.S.!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Native; born outside U.S.!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Native; born in state of residence!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Native; born in other state in the U.S.!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Native; born outside U.S.!!Estimate"
"        $50,000 to $64,999","4.4%","2.5%","8.4%","0.0%","9.7%","2.0%","11.7%","10.2%"
"        $65,000 to $74,999","2.3%","0.0%","7.1%","0.0%","5.9%","5.8%","5.0%","0.0%"
"        $75,000 or more","9.0%","0.9%","19.6%","23.9%","42.1%","9.7%","57.1%","16.6%"
"        Median income (dollars)","15,072","9,465","38,750","-","69,578","26,788","90,512","-"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","",""
"    Population for whom poverty status is determined","2,488","1,530","740","92","3,624","959","1,800","157"
"        Below 100 percent of the poverty level","49.4%","62.5%","26.9%","58.7%","21.6%","42.5%","12.4%","59.9%"
"        100 to 149 percent of the poverty level","12.7%","16.7%","8.4%","0.0%","0.9%","3.3%","0.0%","0.0%"
"        At or above 150 percent of the poverty level","37.9%","20.8%","64.7%","41.3%","77.6%","54.1%","87.6%","40.1%"
"PERCENT ALLOCATED","","","","","","","",""
"    Citizenship status","4.0%","(X)","(X)","(X)","4.9%","(X)","(X)","(X)"
"    Place of birth","7.1%","(X)","(X)","(X)","7.1%","(X)","(X)","(X)"
