"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Native; born in state of residence!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Native; born in other state in the U.S.!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Native; born outside U.S.!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Native; born in state of residence!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Native; born in other state in the U.S.!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Native; born outside U.S.!!Estimate"
"INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)","","","","","","","",""
"    Population 15 years and over","2,152","996","888","91","3,451","1,006","1,871","132"
"        $1 to $9,999 or loss","22.3%","27.5%","14.9%","48.4%","10.9%","16.8%","7.9%","0.0%"
"        $10,000 to $14,999","10.6%","13.5%","7.4%","18.7%","2.8%","0.0%","2.0%","44.7%"
"        $15,000 to $24,999","10.3%","10.1%","6.5%","0.0%","5.2%","13.7%","0.0%","0.0%"
"        $25,000 to $34,999","11.1%","14.0%","8.0%","7.7%","6.1%","19.4%","0.0%","0.0%"
"        $35,000 to $49,999","8.5%","8.0%","11.5%","0.0%","8.8%","7.2%","9.2%","20.5%"
"        $50,000 to $64,999","4.8%","5.7%","5.2%","0.0%","9.7%","2.3%","10.4%","12.1%"
"        $65,000 to $74,999","2.6%","0.0%","6.4%","0.0%","5.7%","5.0%","7.7%","0.0%"
"        $75,000 or more","19.0%","3.0%","34.1%","25.3%","39.2%","7.1%","57.8%","22.7%"
"        Median income (dollars)","25,577","14,979","49,315","-","66,071","26,040","91,563","-"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","",""
"    Population for whom poverty status is determined","2,569","1,325","976","91","3,730","1,274","1,882","132"
"        Below 100 percent of the poverty level","35.0%","47.8%","19.7%","67.0%","24.2%","46.5%","11.2%","44.7%"
"        100 to 149 percent of the poverty level","9.6%","14.3%","5.9%","0.0%","2.6%","7.5%","0.0%","0.0%"
"        At or above 150 percent of the poverty level","55.4%","37.9%","74.4%","33.0%","73.2%","46.0%","88.8%","55.3%"
"PERCENT ALLOCATED","","","","","","","",""
"    Citizenship status","5.4%","(X)","(X)","(X)","6.0%","(X)","(X)","(X)"
"    Place of birth","8.3%","(X)","(X)","(X)","8.7%","(X)","(X)","(X)"
