"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 102, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 102, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 102, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 102, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 102, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 110, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 110, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 110, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 110, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 110, District of Columbia, District of Columbia!!Female!!Margin of Error"
"Associate's degree","4.6%","±4.5","10.2%","±13.0","1.2%","±1.9","3.4%","±2.4","3.1%","±3.5","3.5%","±3.0","3.4%","±2.6","2.1%","±2.1","4.8%","±3.7","2.7%","±2.1","3.3%","±3.3","2.3%","±2.7"
"Bachelor's degree","10.5%","±6.0","25.5%","±16.0","1.2%","±1.8","27.2%","±6.0","26.7%","±10.3","27.5%","±7.7","33.7%","±7.0","39.6%","±10.1","26.8%","±8.1","23.2%","±5.3","26.8%","±9.5","20.8%","±7.1"
"Graduate or professional degree","12.2%","±5.5","8.3%","±8.4","14.6%","±6.7","47.5%","±6.6","56.6%","±10.8","41.5%","±8.7","24.0%","±6.2","21.1%","±8.8","27.3%","±7.2","37.5%","±7.2","30.6%","±9.6","41.9%","±9.4"
"Percent high school graduate or higher","72.8%","±8.6","84.4%","±11.6","65.6%","±10.3","100.0%","±1.8","100.0%","±4.4","100.0%","±2.9","90.8%","±3.8","93.3%","±3.9","87.8%","±5.8","93.7%","±4.0","98.1%","±2.9","90.8%","±6.8"
"Percent bachelor's degree or higher","22.7%","±8.8","33.8%","±18.2","15.8%","±7.1","74.7%","±5.7","83.3%","±7.7","69.0%","±8.3","57.7%","±8.2","60.7%","±11.8","54.1%","±9.2","60.6%","±8.8","57.4%","±11.6","62.8%","±10.4"
"Population 25 to 34 years","256","±137","111","±82","145","±87","493","±205","168","±96","325","±139","1,329","±324","738","±244","591","±173","776","±261","265","±146","511","±165"
"High school graduate or higher","94.9%","±8.1","88.3%","±18.0","100.0%","±23.8","100.0%","±7.8","100.0%","±21.0","100.0%","±11.6","94.0%","±5.4","94.0%","±7.1","93.9%","±7.0","88.3%","±14.0","100.0%","±14.0","82.2%","±23.0"
"Bachelor's degree or higher","25.0%","±17.5","30.6%","±24.6","20.7%","±21.0","95.5%","±5.0","86.9%","±15.1","100.0%","±11.6","77.2%","±13.8","69.9%","±20.7","86.3%","±10.5","54.0%","±26.1","40.4%","±29.8","61.1%","±26.2"
"Population 35 to 44 years","396","±147","161","±103","235","±99","426","±136","190","±85","236","±92","645","±172","302","±128","343","±117","412","±114","191","±87","221","±96"
"High school graduate or higher","77.8%","±20.7","78.9%","±31.7","77.0%","±24.6","100.0%","±9.0","100.0%","±18.9","100.0%","±15.5","90.2%","±8.0","85.1%","±16.5","94.8%","±6.5","99.3%","±2.7","98.4%","±5.7","100.0%","±16.5"
"Bachelor's degree or higher","30.8%","±22.4","35.4%","±36.0","27.7%","±20.0","72.5%","±12.6","87.4%","±15.0","60.6%","±20.9","45.3%","±16.6","46.0%","±23.7","44.6%","±19.8","77.7%","±17.3","74.3%","±21.4","80.5%","±25.4"
"Population 45 to 64 years","516","±145","164","±78","352","±131","762","±133","320","±98","442","±94","1,111","±234","665","±194","446","±116","1,539","±316","667","±227","872","±188"
"High school graduate or higher","67.8%","±13.9","100.0%","±21.4","52.8%","±17.1","100.0%","±5.1","100.0%","±11.7","100.0%","±8.6","90.3%","±5.9","96.5%","±4.6","80.9%","±12.5","98.4%","±1.9","100.0%","±5.8","97.1%","±3.4"
"Bachelor's degree or higher","19.0%","±12.5","37.2%","±29.0","10.5%","±9.4","72.8%","±11.2","85.0%","±13.5","64.0%","±15.0","44.0%","±13.9","56.5%","±18.7","25.3%","±12.2","58.2%","±12.1","55.3%","±17.7","60.3%","±13.4"
"Population 65 years and over","187","±88","82","±54","105","±78","545","±132","213","±68","332","±111","368","±107","168","±92","200","±89","813","±175","280","±108","533","±152"
"High school graduate or higher","45.5%","±22.3","58.5%","±32.9","35.2%","±29.4","100.0%","±7.1","100.0%","±17.0","100.0%","±11.3","81.5%","±14.5","91.7%","±14.1","73.0%","±21.5","87.1%","±8.4","91.4%","±13.4","84.8%","±10.8"
"Bachelor's degree or higher","12.3%","±18.5","28.0%","±36.5","0.0%","±30.6","60.2%","±12.7","74.2%","±18.1","51.2%","±17.0","50.0%","±20.4","63.1%","±34.1","39.0%","±26.3","63.1%","±13.1","67.1%","±23.7","61.0%","±14.7"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than high school graduate","38.5%","±18.8","42.0%","±49.1","37.5%","±20.6","-","**","-","**","-","**","66.5%","±20.1","80.2%","±24.6","57.5%","±28.2","28.6%","±27.8","0.0%","±63.3","32.5%","±33.8"
"    High school graduate (includes equivalency)","31.9%","±14.7","0.0%","±21.7","48.1%","±22.3","9.1%","±15.0","30.8%","±44.1","0.0%","±33.4","37.0%","±19.1","41.0%","±29.0","30.5%","±21.1","35.4%","±35.2","13.9%","±23.6","50.4%","±48.9"
"    Some college or associate's degree","11.1%","±14.9","0.0%","±31.7","22.2%","±23.8","9.5%","±9.0","10.9%","±18.8","9.0%","±10.3","16.5%","±15.4","9.4%","±16.2","21.7%","±22.1","12.6%","±11.0","7.1%","±8.7","18.3%","±19.8"
"    Bachelor's degree or higher","6.8%","±10.9","12.0%","±18.7","0.0%","±25.7","4.8%","±4.0","5.9%","±6.5","3.8%","±4.4","5.7%","±5.5","5.4%","±8.2","6.1%","±6.6","4.3%","±3.0","7.3%","±6.1","2.5%","±2.6"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over with earnings","34,464","±16,390","45,398","±7,829","23,527","±13,507","69,423","±9,537","80,074","±20,008","63,293","±7,085","52,260","±6,042","65,221","±16,025","48,367","±5,902","61,694","±12,707","59,891","±21,383","62,250","±12,174"
"    Less than high school graduate","18,571","±10,098","11,728","±8,537","23,170","±16,777","-","**","-","**","-","**","8,889","±13,879","8,333","±54,764","15,263","±18,134","11,386","±425","-","**","11,386","±425"
"    High school graduate (includes equivalency)","24,271","±10,717","32,946","±15,039","4,904","±11,799","13,203","±19,570","-","**","12,361","±1,954","31,211","±9,880","31,484","±3,156","27,301","±32,354","20,941","±1,190","20,941","±1,190","-","**"
"    Some college or associate's degree","21,848","±49,442","66,188","±71,579","20,815","±10,380","44,228","±20,545","29,205","±50,654","47,222","±25,640","52,121","±20,056","70,660","±13,909","30,096","±10,624","58,542","±20,859","58,429","±25,109","72,719","±53,551"
"    Bachelor's degree","53,009","±11,218","53,380","±8,339","-","**","62,903","±22,209","80,846","±16,846","46,555","±12,483","53,750","±10,542","56,106","±18,543","50,881","±10,251","61,661","±10,162","61,591","±38,648","61,693","±8,277"
"    Graduate or professional degree","61,413","±20,928","92,115","±39,609","60,217","±16,787","86,641","±12,502","100,341","±47,452","85,586","±19,085","76,838","±11,571","82,065","±17,844","56,917","±26,664","77,308","±22,805","94,922","±11,393","71,406","±15,488"
"PERCENT IMPUTED","","","","","","","","","","","","","","","","","","","","","","","",""
"    Educational attainment","3.5%","(X)","(X)","(X)","(X)","(X)","3.9%","(X)","(X)","(X)","(X)","(X)","2.6%","(X)","(X)","(X)","(X)","(X)","3.0%","(X)","(X)","(X)","(X)","(X)"
