"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent Male!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent Male!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent Female!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent Female!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent Male!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent Male!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent Female!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent Female!!Margin of Error"
"        Some college, no degree","283","±114","13.8%","±5.5","50","±45","5.7%","±4.9","233","±106","20.0%","±8.2","275","±101","8.4%","±3.2","156","±99","8.6%","±5.4","119","±77","8.1%","±5.1"
"        Associate's degree","47","±42","2.3%","±2.1","22","±33","2.5%","±3.8","25","±28","2.1%","±2.4","135","±140","4.1%","±4.2","81","±116","4.5%","±6.3","54","±86","3.7%","±5.7"
"        Bachelor's degree","557","±164","27.2%","±6.4","338","±118","38.4%","±10.9","219","±118","18.8%","±9.0","1,174","±249","35.9%","±7.8","751","±201","41.5%","±11.2","423","±116","29.0%","±7.5"
"        Graduate or professional degree","201","±81","9.8%","±3.9","134","±78","15.2%","±7.9","67","±46","5.7%","±4.0","1,084","±221","33.2%","±6.2","538","±177","29.8%","±9.0","546","±144","37.4%","±8.0"
"        High school graduate or higher","1,566","±230","76.5%","±5.4","746","±205","84.7%","±8.4","820","±157","70.3%","±7.1","2,928","±283","89.6%","±6.9","1,666","±234","92.1%","±6.4","1,262","±216","86.4%","±8.8"
"        Bachelor's degree or higher","758","±189","37.0%","±7.1","472","±152","53.6%","±12.0","286","±110","24.5%","±7.9","2,258","±306","69.1%","±8.8","1,289","±225","71.3%","±11.2","969","±190","66.3%","±9.8"
"    Population 25 to 34 years","753","±199","(X)","(X)","394","±158","(X)","(X)","359","±122","(X)","(X)","1,247","±326","(X)","(X)","728","±242","(X)","(X)","519","±141","(X)","(X)"
"        High school graduate or higher","673","±200","89.4%","±8.5","365","±155","92.6%","±10.7","308","±122","85.8%","±13.9","1,133","±246","90.9%","±11.6","667","±200","91.6%","±10.4","466","±120","89.8%","±13.7"
"        Bachelor's degree or higher","445","±142","59.1%","±11.4","235","±93","59.6%","±15.6","210","±102","58.5%","±17.3","1,047","±235","84.0%","±17.4","590","±187","81.0%","±20.2","457","±118","88.1%","±13.9"
"    Population 35 to 44 years","425","±174","(X)","(X)","253","±142","(X)","(X)","172","±100","(X)","(X)","839","±203","(X)","(X)","411","±140","(X)","(X)","428","±167","(X)","(X)"
"        High school graduate or higher","334","±157","78.6%","±14.6","213","±134","84.2%","±20.5","121","±92","70.3%","±25.7","715","±198","85.2%","±10.5","352","±139","85.6%","±16.5","363","±163","84.8%","±12.1"
"        Bachelor's degree or higher","186","±123","43.8%","±20.2","161","±122","63.6%","±28.5","25","±27","14.5%","±15.5","609","±184","72.6%","±13.7","300","±128","73.0%","±18.8","309","±128","72.2%","±18.2"
"    Population 45 to 64 years","493","±119","(X)","(X)","135","±61","(X)","(X)","358","±103","(X)","(X)","843","±157","(X)","(X)","481","±143","(X)","(X)","362","±87","(X)","(X)"
"        High school graduate or higher","327","±96","66.3%","±11.1","93","±55","68.9%","±21.7","234","±85","65.4%","±14.4","762","±167","90.4%","±7.3","459","±144","95.4%","±7.1","303","±96","83.7%","±13.1"
"        Bachelor's degree or higher","60","±47","12.2%","±9.0","32","±31","23.7%","±20.9","28","±28","7.8%","±7.5","489","±128","58.0%","±11.4","322","±101","66.9%","±18.0","167","±83","46.1%","±18.0"
"    Population 65 years and over","377","±105","(X)","(X)","99","±56","(X)","(X)","278","±88","(X)","(X)","340","±96","(X)","(X)","188","±106","(X)","(X)","152","±76","(X)","(X)"
"        High school graduate or higher","232","±98","61.5%","±16.9","75","±48","75.8%","±26.8","157","±78","56.5%","±19.5","318","±92","93.5%","±9.6","188","±106","100.0%","±16.9","130","±67","85.5%","±20.6"
"        Bachelor's degree or higher","67","±72","17.8%","±17.3","44","±42","44.4%","±31.3","23","±35","8.3%","±12.5","113","±87","33.2%","±24.3","77","±60","41.0%","±34.7","36","±41","23.7%","±25.4"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","",""
"    White alone","487","±122","(X)","(X)","277","±106","(X)","(X)","210","±68","(X)","(X)","1,679","±260","(X)","(X)","977","±214","(X)","(X)","702","±166","(X)","(X)"
"        High school graduate or higher","487","±122","100.0%","±6.9","277","±106","100.0%","±11.9","210","±68","100.0%","±15.3","1,657","±264","98.7%","±2.0","977","±214","100.0%","±3.5","680","±168","96.9%","±4.8"
"        Bachelor's degree or higher","466","±121","95.7%","±4.3","273","±106","98.6%","±3.0","193","±68","91.9%","±7.8","1,559","±259","92.9%","±4.5","924","±206","94.6%","±5.3","635","±159","90.5%","±7.9"
"    White alone, not Hispanic or Latino","455","±122","(X)","(X)","277","±106","(X)","(X)","178","±64","(X)","(X)","1,567","±247","(X)","(X)","908","±207","(X)","(X)","659","±156","(X)","(X)"
"        High school graduate or higher","455","±122","100.0%","±7.4","277","±106","100.0%","±11.9","178","±64","100.0%","±17.8","1,545","±251","98.6%","±2.2","908","±207","100.0%","±3.8","637","±157","96.7%","±5.1"
"        Bachelor's degree or higher","434","±121","95.4%","±4.6","273","±106","98.6%","±3.0","161","±63","90.4%","±9.1","1,472","±244","93.9%","±4.2","880","±196","96.9%","±3.9","592","±148","89.8%","±8.4"
"    Black alone","1,498","±232","(X)","(X)","571","±179","(X)","(X)","927","±163","(X)","(X)","1,177","±343","(X)","(X)","621","±244","(X)","(X)","556","±176","(X)","(X)"
"        High school graduate or higher","1,021","±200","68.2%","±7.1","441","±169","77.2%","±13.0","580","±141","62.6%","±8.9","873","±195","74.2%","±14.9","479","±180","77.1%","±15.5","394","±138","70.9%","±19.3"
"        Bachelor's degree or higher","283","±147","18.9%","±8.5","199","±116","34.9%","±16.6","84","±89","9.1%","±9.0","346","±131","29.4%","±11.6","200","±127","32.2%","±20.0","146","±78","26.3%","±12.6"
"    American Indian or Alaska Native alone","0","±12","(X)","(X)","0","±12","(X)","(X)","0","±12","(X)","(X)","0","±12","(X)","(X)","0","±12","(X)","(X)","0","±12","(X)","(X)"
"        High school graduate or higher","0","±12","-","**","0","±12","-","**","0","±12","-","**","0","±12","-","**","0","±12","-","**","0","±12","-","**"
"        Bachelor's degree or higher","0","±12","-","**","0","±12","-","**","0","±12","-","**","0","±12","-","**","0","±12","-","**","0","±12","-","**"
"    Asian alone","11","±15","(X)","(X)","11","±15","(X)","(X)","0","±12","(X)","(X)","145","±93","(X)","(X)","25","±41","(X)","(X)","120","±71","(X)","(X)"
"        High school graduate or higher","6","±14","54.5%","±54.5","6","±14","54.5%","±54.5","0","±12","-","**","145","±93","100.0%","±21.2","25","±41","100.0%","±61.6","120","±71","100.0%","±24.9"
"        Bachelor's degree or higher","0","±12","0.0%","±92.8","0","±12","0.0%","±92.8","0","±12","-","**","120","±71","82.8%","±22.7","0","±12","0.0%","±61.6","120","±71","100.0%","±24.9"
"    Native Hawaiian and Other Pacific Islander alone","0","±12","(X)","(X)","0","±12","(X)","(X)","0","±12","(X)","(X)","28","±33","(X)","(X)","20","±31","(X)","(X)","8","±14","(X)","(X)"
"        High school graduate or higher","0","±12","-","**","0","±12","-","**","0","±12","-","**","28","±33","100.0%","±58.2","20","±31","100.0%","±68.8","8","±14","100.0%","±100.0"
"        Bachelor's degree or higher","0","±12","-","**","0","±12","-","**","0","±12","-","**","8","±14","28.6%","±58.5","0","±12","0.0%","±68.8","8","±14","100.0%","±100.0"
"    Some other race alone","10","±15","(X)","(X)","0","±12","(X)","(X)","10","±15","(X)","(X)","59","±57","(X)","(X)","37","±42","(X)","(X)","22","±36","(X)","(X)"
"        High school graduate or higher","10","±15","100.0%","±97.3","0","±12","-","**","10","±15","100.0%","±97.3","59","±57","100.0%","±40.1","37","±42","100.0%","±50.6","22","±36","100.0%","±65.6"
"        Bachelor's degree or higher","0","±12","0.0%","±97.3","0","±12","-","**","0","±12","0.0%","±97.3","59","±57","100.0%","±40.1","37","±42","100.0%","±50.6","22","±36","100.0%","±65.6"
"    Two or more races","42","±40","(X)","(X)","22","±33","(X)","(X)","20","±24","(X)","(X)","181","±132","(X)","(X)","128","±127","(X)","(X)","53","±44","(X)","(X)"
"        High school graduate or higher","42","±40","100.0%","±47.5","22","±33","100.0%","±65.6","20","±24","100.0%","±68.8","166","±131","91.7%","±15.8","128","±127","100.0%","±23.6","38","±38","71.7%","±42.4"
"        Bachelor's degree or higher","9","±15","21.4%","±36.3","0","±12","0.0%","±65.6","9","±15","45.0%","±55.0","166","±131","91.7%","±15.8","128","±127","100.0%","±23.6","38","±38","71.7%","±42.4"
"    Hispanic or Latino Origin","55","±38","(X)","(X)","0","±12","(X)","(X)","55","±38","(X)","(X)","222","±104","(X)","(X)","157","±84","(X)","(X)","65","±53","(X)","(X)"
"        High school graduate or higher","55","±38","100.0%","±41.5","0","±12","-","**","55","±38","100.0%","±41.5","203","±103","91.4%","±13.7","138","±78","87.9%","±18.4","65","±53","100.0%","±38.2"
"        Bachelor's degree or higher","32","±31","58.2%","±38.1","0","±12","-","**","32","±31","58.2%","±38.1","158","±87","71.2%","±22.4","93","±63","59.2%","±28.6","65","±53","100.0%","±38.2"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","61.0%","±15.3","(X)","(X)","67.4%","±24.5","(X)","(X)","58.5%","±17.3","(X)","(X)","65.4%","±28.1","(X)","(X)","43.0%","±42.8","(X)","(X)","81.4%","±22.4"
"    High school graduate (includes equivalency)","(X)","(X)","37.2%","±17.2","(X)","(X)","35.1%","±29.0","(X)","(X)","38.8%","±21.7","(X)","(X)","45.4%","±26.1","(X)","(X)","42.1%","±46.0","(X)","(X)","49.2%","±31.3"
"    Some college or associate's degree","(X)","(X)","42.7%","±21.7","(X)","(X)","0.0%","±36.1","(X)","(X)","54.7%","±23.6","(X)","(X)","37.1%","±23.5","(X)","(X)","55.7%","±29.6","(X)","(X)","11.6%","±19.1"
"    Bachelor's degree or higher","(X)","(X)","5.1%","±4.8","(X)","(X)","4.9%","±5.4","(X)","(X)","5.6%","±8.9","(X)","(X)","9.7%","±6.6","(X)","(X)","11.1%","±10.4","(X)","(X)","7.7%","±6.2"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over with earnings","55,962","±13,510","(X)","(X)","59,583","±20,419","(X)","(X)","53,421","±19,009","(X)","(X)","75,486","±12,484","(X)","(X)","75,949","±11,283","(X)","(X)","73,750","±28,735","(X)","(X)"
"        Less than high school graduate","-","**","(X)","(X)","2,500-","***","(X)","(X)","-","**","(X)","(X)","23,430","±1,516","(X)","(X)","-","**","(X)","(X)","22,125","±1,842","(X)","(X)"
"        High school graduate (includes equivalency)","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)"
"        Some college or associate's degree","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","53,528","±13,293","(X)","(X)","54,417","±15,915","(X)","(X)","-","**","(X)","(X)"
"        Bachelor's degree","74,018","±27,949","(X)","(X)","78,313","±45,594","(X)","(X)","72,857","±35,708","(X)","(X)","65,788","±13,430","(X)","(X)","63,314","±22,546","(X)","(X)","72,396","±45,230","(X)","(X)"
"        Graduate or professional degree","98,056","±49,164","(X)","(X)","-","**","(X)","(X)","82,188","±44,715","(X)","(X)","101,563","±9,001","(X)","(X)","98,750","±24,293","(X)","(X)","103,042","±12,698","(X)","(X)"
