"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Males!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Males!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent Males!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent Males!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Females!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Females!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent Females!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent Females!!Margin of Error","Census Tract 102, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 102, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 102, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 102, District of Columbia, District of Columbia!!Males!!Estimate","Census Tract 102, District of Columbia, District of Columbia!!Males!!Margin of Error","Census Tract 102, District of Columbia, District of Columbia!!Percent Males!!Estimate","Census Tract 102, District of Columbia, District of Columbia!!Percent Males!!Margin of Error","Census Tract 102, District of Columbia, District of Columbia!!Females!!Estimate","Census Tract 102, District of Columbia, District of Columbia!!Females!!Margin of Error","Census Tract 102, District of Columbia, District of Columbia!!Percent Females!!Estimate","Census Tract 102, District of Columbia, District of Columbia!!Percent Females!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Males!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Males!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent Males!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent Males!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Females!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Females!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent Females!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent Females!!Margin of Error","Census Tract 110, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 110, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 110, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 110, District of Columbia, District of Columbia!!Males!!Estimate","Census Tract 110, District of Columbia, District of Columbia!!Males!!Margin of Error","Census Tract 110, District of Columbia, District of Columbia!!Percent Males!!Estimate","Census Tract 110, District of Columbia, District of Columbia!!Percent Males!!Margin of Error","Census Tract 110, District of Columbia, District of Columbia!!Females!!Estimate","Census Tract 110, District of Columbia, District of Columbia!!Females!!Margin of Error","Census Tract 110, District of Columbia, District of Columbia!!Percent Females!!Estimate","Census Tract 110, District of Columbia, District of Columbia!!Percent Females!!Margin of Error"
"    Some college, no degree","311","±96","21.2%","±6.1","48","±40","8.8%","±7.3","263","±89","28.5%","±8.7","196","±78","9.0%","±4.0","52","±43","5.3%","±4.5","144","±58","12.0%","±5.4","227","±101","7.8%","±3.3","92","±65","6.6%","±4.5","135","±79","8.9%","±4.7","338","±148","10.9%","±4.9","200","±109","13.7%","±7.8","138","±92","8.5%","±5.8"
"    Associate's degree","58","±40","3.9%","±2.9","14","±23","2.6%","±4.2","44","±33","4.8%","±3.8","102","±98","4.7%","±4.2","76","±82","7.7%","±7.8","26","±32","2.2%","±2.7","138","±115","4.7%","±3.8","32","±36","2.3%","±2.5","106","±110","7.0%","±7.1","54","±58","1.7%","±1.9","35","±50","2.4%","±3.5","19","±30","1.2%","±1.8"
"    Bachelor's degree","209","±86","14.2%","±5.8","113","±54","20.7%","±10.2","96","±51","10.4%","±5.4","620","±182","28.4%","±6.7","202","±89","20.6%","±7.1","418","±142","34.7%","±9.2","1,054","±216","36.1%","±7.3","588","±180","42.2%","±11.9","466","±126","30.6%","±8.4","906","±277","29.3%","±6.7","537","±260","36.8%","±11.2","369","±146","22.6%","±8.1"
"    Graduate or professional degree","99","±51","6.7%","±3.3","54","±40","9.9%","±7.1","45","±38","4.9%","±4.1","1,006","±154","46.0%","±6.5","525","±103","53.5%","±9.1","481","±121","39.9%","±9.7","997","±225","34.2%","±6.8","477","±155","34.2%","±9.8","520","±159","34.1%","±9.0","1,694","±242","54.8%","±7.1","684","±164","46.8%","±9.3","1,010","±215","62.0%","±9.5"
"Percent high school graduate or higher","(X)","(X)","75.0%","±5.9","(X)","(X)","71.2%","±11.0","(X)","(X)","77.3%","±6.7","(X)","(X)","94.7%","±2.9","(X)","(X)","98.0%","±1.7","(X)","(X)","92.1%","±6.3","(X)","(X)","92.8%","±4.0","(X)","(X)","97.1%","±3.2","(X)","(X)","88.8%","±6.7","(X)","(X)","99.3%","±1.0","(X)","(X)","100.0%","±2.2","(X)","(X)","98.7%","±2.0"
"Percent bachelor's degree or higher","(X)","(X)","21.0%","±6.7","(X)","(X)","30.6%","±12.0","(X)","(X)","15.3%","±6.3","(X)","(X)","74.4%","±5.4","(X)","(X)","74.1%","±8.8","(X)","(X)","74.6%","±6.8","(X)","(X)","70.3%","±6.6","(X)","(X)","76.4%","±9.6","(X)","(X)","64.7%","±9.2","(X)","(X)","84.1%","±5.5","(X)","(X)","83.6%","±8.2","(X)","(X)","84.6%","±6.6"
"Population 25 to 34 years","465","±121","(X)","(X)","189","±82","(X)","(X)","276","±73","(X)","(X)","806","±195","(X)","(X)","352","±132","(X)","(X)","454","±142","(X)","(X)","1,033","±215","(X)","(X)","405","±166","(X)","(X)","628","±149","(X)","(X)","741","±305","(X)","(X)","408","±255","(X)","(X)","333","±170","(X)","(X)"
"    High school graduate or higher","389","±115","83.7%","±8.1","153","±80","81.0%","±19.8","236","±75","85.5%","±12.3","787","±195","97.6%","±2.1","333","±136","94.6%","±5.6","454","±142","100.0%","±6.9","1,000","±207","96.8%","±3.6","389","±162","96.0%","±6.9","611","±152","97.3%","±4.3","741","±305","100.0%","±4.3","408","±255","100.0%","±7.7","333","±170","100.0%","±9.3"
"    Bachelor's degree or higher","141","±79","30.3%","±14.9","70","±44","37.0%","±24.0","71","±41","25.7%","±13.6","630","±176","78.2%","±10.3","204","±97","58.0%","±19.4","426","±141","93.8%","±5.1","895","±191","86.6%","±7.4","375","±155","92.6%","±9.5","520","±146","82.8%","±11.2","737","±306","99.5%","±1.7","404","±255","99.0%","±3.3","333","±170","100.0%","±9.3"
"Population 35 to 44 years","167","±76","(X)","(X)","94","±58","(X)","(X)","73","±54","(X)","(X)","349","±126","(X)","(X)","176","±66","(X)","(X)","173","±78","(X)","(X)","826","±225","(X)","(X)","479","±163","(X)","(X)","347","±143","(X)","(X)","416","±144","(X)","(X)","183","±122","(X)","(X)","233","±113","(X)","(X)"
"    High school graduate or higher","144","±66","86.2%","±16.5","77","±48","81.9%","±26.2","67","±54","91.8%","±14.5","323","±128","92.6%","±11.4","176","±66","100.0%","±16.8","147","±80","85.0%","±23.3","798","±225","96.6%","±4.4","454","±160","94.8%","±7.2","344","±144","99.1%","±2.3","416","±144","100.0%","±7.5","183","±122","100.0%","±16.2","233","±113","100.0%","±13.0"
"    Bachelor's degree or higher","50","±42","29.9%","±25.3","50","±42","53.2%","±36.7","0","±12","0.0%","±34.1","285","±127","81.7%","±16.4","145","±62","82.4%","±21.1","140","±79","80.9%","±23.4","558","±197","67.6%","±16.4","330","±144","68.9%","±15.9","228","±109","65.7%","±25.9","381","±143","91.6%","±13.9","148","±111","80.9%","±30.1","233","±113","100.0%","±13.0"
"Population 45 to 64 years","572","±99","(X)","(X)","210","±69","(X)","(X)","362","±78","(X)","(X)","609","±100","(X)","(X)","269","±66","(X)","(X)","340","±93","(X)","(X)","695","±147","(X)","(X)","325","±118","(X)","(X)","370","±87","(X)","(X)","1,070","±197","(X)","(X)","609","±165","(X)","(X)","461","±123","(X)","(X)"
"    High school graduate or higher","457","±101","79.9%","±9.7","142","±63","67.6%","±18.9","315","±77","87.0%","±9.4","539","±92","88.5%","±10.0","268","±66","99.6%","±0.9","271","±76","79.7%","±16.6","567","±148","81.6%","±11.2","325","±118","100.0%","±9.5","242","±91","65.4%","±19.7","1,070","±197","100.0%","±3.0","609","±165","100.0%","±5.2","461","±123","100.0%","±6.8"
"    Bachelor's degree or higher","99","±57","17.3%","±9.3","41","±32","19.5%","±14.3","58","±47","16.0%","±12.5","383","±82","62.9%","±8.5","219","±71","81.4%","±9.6","164","±60","48.2%","±11.7","395","±144","56.8%","±15.6","245","±113","75.4%","±16.6","150","±75","40.5%","±20.4","804","±174","75.1%","±10.6","409","±129","67.2%","±14.0","395","±120","85.7%","±11.9"
"Population 65 years and over","265","±79","(X)","(X)","52","±36","(X)","(X)","213","±68","(X)","(X)","422","±71","(X)","(X)","184","±63","(X)","(X)","238","±60","(X)","(X)","364","±97","(X)","(X)","185","±87","(X)","(X)","179","±60","(X)","(X)","863","±179","(X)","(X)","260","±104","(X)","(X)","603","±140","(X)","(X)"
"    High school graduate or higher","112","±51","42.3%","±13.8","16","±17","30.8%","±35.1","96","±45","45.1%","±17.0","422","±71","100.0%","±7.4","184","±63","100.0%","±16.1","238","±60","100.0%","±12.7","342","±98","94.0%","±8.0","185","±87","100.0%","±16.1","157","±63","87.7%","±16.2","842","±179","97.6%","±3.7","260","±104","100.0%","±11.7","582","±141","96.5%","±5.3"
"    Bachelor's degree or higher","18","±22","6.8%","±7.9","6","±10","11.5%","±20.2","12","±14","5.6%","±6.0","328","±80","77.7%","±10.6","159","±59","86.4%","±12.2","169","±60","71.0%","±16.6","203","±72","55.8%","±23.2","115","±56","62.2%","±37.3","88","±53","49.2%","±27.7","678","±172","78.6%","±10.5","260","±104","100.0%","±11.7","418","±117","69.3%","±13.4"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    White alone","168","±86","(X)","(X)","80","±46","(X)","(X)","88","±45","(X)","(X)","1,114","±160","(X)","(X)","560","±143","(X)","(X)","554","±117","(X)","(X)","1,293","±213","(X)","(X)","620","±164","(X)","(X)","673","±145","(X)","(X)","2,068","±353","(X)","(X)","1,138","±346","(X)","(X)","930","±182","(X)","(X)"
"        High school graduate or higher","168","±86","100.0%","±17.5","80","±46","100.0%","±32.1","88","±45","100.0%","±29.9","1,114","±160","100.0%","±2.9","560","±143","100.0%","±5.6","554","±117","100.0%","±5.7","1,293","±213","100.0%","±2.5","620","±164","100.0%","±5.1","673","±145","100.0%","±4.7","2,068","±353","100.0%","±1.6","1,138","±346","100.0%","±2.8","930","±182","100.0%","±3.4"
"        Bachelor's degree or higher","145","±86","86.3%","±12.6","80","±46","100.0%","±32.1","65","±43","73.9%","±21.4","934","±171","83.8%","±6.7","450","±136","80.4%","±12.0","484","±118","87.4%","±8.2","1,186","±214","91.7%","±4.2","586","±164","94.5%","±6.0","600","±145","89.2%","±6.5","1,907","±360","92.2%","±4.9","1,031","±343","90.6%","±7.5","876","±184","94.2%","±5.4"
"White alone, not Hispanic or Latino","137","±66","(X)","(X)","80","±46","(X)","(X)","57","±33","(X)","(X)","1,000","±158","(X)","(X)","506","±149","(X)","(X)","494","±117","(X)","(X)","1,253","±214","(X)","(X)","604","±164","(X)","(X)","649","±136","(X)","(X)","1,957","±351","(X)","(X)","1,071","±337","(X)","(X)","886","±185","(X)","(X)"
"    High school graduate or higher","137","±66","100.0%","±20.9","80","±46","100.0%","±32.1","57","±33","100.0%","±39.3","1,000","±158","100.0%","±3.2","506","±149","100.0%","±6.2","494","±117","100.0%","±6.4","1,253","±214","100.0%","±2.6","604","±164","100.0%","±5.2","649","±136","100.0%","±4.9","1,957","±351","100.0%","±1.6","1,071","±337","100.0%","±3.0","886","±185","100.0%","±3.6"
"    Bachelor's degree or higher","114","±65","83.2%","±14.5","80","±46","100.0%","±32.1","34","±29","59.6%","±30.3","846","±154","84.6%","±7.6","422","±135","83.4%","±12.2","424","±116","85.8%","±9.2","1,162","±215","92.7%","±3.9","586","±164","97.0%","±4.5","576","±138","88.8%","±6.8","1,824","±354","93.2%","±4.7","992","±337","92.6%","±6.9","832","±185","93.9%","±5.6"
"Black alone","1,259","±168","(X)","(X)","436","±102","(X)","(X)","823","±104","(X)","(X)","814","±221","(X)","(X)","357","±114","(X)","(X)","457","±130","(X)","(X)","1,263","±234","(X)","(X)","528","±152","(X)","(X)","735","±160","(X)","(X)","794","±174","(X)","(X)","308","±116","(X)","(X)","486","±117","(X)","(X)"
"    High school graduate or higher","915","±169","72.7%","±6.9","296","±95","67.9%","±12.4","619","±110","75.2%","±7.7","717","±217","88.1%","±7.8","337","±116","94.4%","±5.1","380","±118","83.2%","±15.0","1,056","±237","83.6%","±9.3","487","±144","92.2%","±8.2","569","±173","77.4%","±14.1","773","±164","97.4%","±3.9","308","±116","100.0%","±10.0","465","±115","95.7%","±6.5"
"    Bachelor's degree or higher","151","±78","12.0%","±5.8","75","±53","17.2%","±11.8","76","±49","9.2%","±5.9","504","±151","61.9%","±8.5","213","±75","59.7%","±17.0","291","±102","63.7%","±12.2","592","±231","46.9%","±14.3","279","±146","52.8%","±21.8","313","±128","42.6%","±15.1","476","±154","59.9%","±15.8","176","±89","57.1%","±22.2","300","±122","61.7%","±18.6"
"American Indian or Alaska Native alone","0","±12","(X)","(X)","0","±12","(X)","(X)","0","±12","(X)","(X)","0","±12","(X)","(X)","0","±12","(X)","(X)","0","±12","(X)","(X)","22","±31","(X)","(X)","22","±31","(X)","(X)","0","±12","(X)","(X)","22","±34","(X)","(X)","0","±12","(X)","(X)","22","±34","(X)","(X)"
"    High school graduate or higher","0","±12","-","**","0","±12","-","**","0","±12","-","**","0","±12","-","**","0","±12","-","**","0","±12","-","**","22","±31","100.0%","±63.2","22","±31","100.0%","±63.2","0","±12","-","**","22","±34","100.0%","±63.2","0","±12","-","**","22","±34","100.0%","±63.2"
"    Bachelor's degree or higher","0","±12","-","**","0","±12","-","**","0","±12","-","**","0","±12","-","**","0","±12","-","**","0","±12","-","**","18","±29","81.8%","±53.7","18","±29","81.8%","±53.7","0","±12","-","**","22","±34","100.0%","±63.2","0","±12","-","**","22","±34","100.0%","±63.2"
"Asian alone","35","±35","(X)","(X)","29","±32","(X)","(X)","6","±9","(X)","(X)","115","±79","(X)","(X)","15","±17","(X)","(X)","100","±82","(X)","(X)","188","±147","(X)","(X)","92","±97","(X)","(X)","96","±75","(X)","(X)","134","±78","(X)","(X)","14","±21","(X)","(X)","120","±73","(X)","(X)"
"    High school graduate or higher","12","±13","34.3%","±34.7","12","±13","41.4%","±49.1","0","±12","0.0%","±100.0","115","±79","100.0%","±24.3","15","±17","100.0%","±76.6","100","±82","100.0%","±27.2","188","±147","100.0%","±15.8","92","±97","100.0%","±29.0","96","±75","100.0%","±28.0","134","±78","100.0%","±21.3","14","±21","100.0%","±79.3","120","±73","100.0%","±23.4"
"    Bachelor's degree or higher","12","±13","34.3%","±34.7","12","±13","41.4%","±49.1","0","±12","0.0%","±100.0","104","±79","90.4%","±14.2","15","±17","100.0%","±76.6","89","±82","89.0%","±18.4","130","±107","69.1%","±22.8","73","±93","79.3%","±39.8","57","±50","59.4%","±43.7","134","±78","100.0%","±21.3","14","±21","100.0%","±79.3","120","±73","100.0%","±23.4"
"Native Hawaiian and Other Pacific Islander alone","0","±12","(X)","(X)","0","±12","(X)","(X)","0","±12","(X)","(X)","0","±12","(X)","(X)","0","±12","(X)","(X)","0","±12","(X)","(X)","23","±37","(X)","(X)","23","±37","(X)","(X)","0","±12","(X)","(X)","0","±12","(X)","(X)","0","±12","(X)","(X)","0","±12","(X)","(X)"
"    High school graduate or higher","0","±12","-","**","0","±12","-","**","0","±12","-","**","0","±12","-","**","0","±12","-","**","0","±12","-","**","23","±37","100.0%","±61.8","23","±37","100.0%","±61.8","0","±12","-","**","0","±12","-","**","0","±12","-","**","0","±12","-","**"
"    Bachelor's degree or higher","0","±12","-","**","0","±12","-","**","0","±12","-","**","0","±12","-","**","0","±12","-","**","0","±12","-","**","0","±12","0.0%","±61.8","0","±12","0.0%","±61.8","0","±12","-","**","0","±12","-","**","0","±12","-","**","0","±12","-","**"
"Some other race alone","7","±11","(X)","(X)","0","±12","(X)","(X)","7","±11","(X)","(X)","0","±12","(X)","(X)","0","±12","(X)","(X)","0","±12","(X)","(X)","45","±51","(X)","(X)","41","±50","(X)","(X)","4","±7","(X)","(X)","25","±39","(X)","(X)","0","±12","(X)","(X)","25","±39","(X)","(X)"
"    High school graduate or higher","7","±11","100.0%","±100.0","0","±12","-","**","7","±11","100.0%","±100.0","0","±12","-","**","0","±12","-","**","0","±12","-","**","45","±51","100.0%","±44.2","41","±50","100.0%","±46.3","4","±7","100.0%","±100.0","25","±39","100.0%","±59.3","0","±12","-","**","25","±39","100.0%","±59.3"
"    Bachelor's degree or higher","0","±12","0.0%","±100.0","0","±12","-","**","0","±12","0.0%","±100.0","0","±12","-","**","0","±12","-","**","0","±12","-","**","45","±51","100.0%","±44.2","41","±50","100.0%","±46.3","4","±7","100.0%","±100.0","25","±39","100.0%","±59.3","0","±12","-","**","25","±39","100.0%","±59.3"
"Two or more races","0","±12","(X)","(X)","0","±12","(X)","(X)","0","±12","(X)","(X)","143","±63","(X)","(X)","49","±29","(X)","(X)","94","±58","(X)","(X)","84","±61","(X)","(X)","68","±54","(X)","(X)","16","±24","(X)","(X)","47","±45","(X)","(X)","0","±12","(X)","(X)","47","±45","(X)","(X)"
"    High school graduate or higher","0","±12","-","**","0","±12","-","**","0","±12","-","**","125","±58","87.4%","±17.8","49","±29","100.0%","±42.4","76","±51","80.9%","±26.0","80","±54","95.2%","±25.0","68","±54","100.0%","±35.7","12","±21","75.0%","±75.0","47","±45","100.0%","±43.3","0","±12","-","**","47","±45","100.0%","±43.3"
"    Bachelor's degree or higher","0","±12","-","**","0","±12","-","**","0","±12","-","**","84","±45","58.7%","±26.4","49","±29","100.0%","±42.4","35","±34","37.2%","±31.2","80","±54","95.2%","±25.0","68","±54","100.0%","±35.7","12","±21","75.0%","±75.0","36","±41","76.6%","±37.4","0","±12","-","**","36","±41","76.6%","±37.4"
"Hispanic or Latino Origin","81","±52","(X)","(X)","5","±9","(X)","(X)","76","±51","(X)","(X)","181","±91","(X)","(X)","54","±47","(X)","(X)","127","±73","(X)","(X)","161","±108","(X)","(X)","116","±83","(X)","(X)","45","±46","(X)","(X)","136","±85","(X)","(X)","67","±62","(X)","(X)","69","±62","(X)","(X)"
"    High school graduate or higher","81","±52","100.0%","±31.8","5","±9","100.0%","±100.0","76","±51","100.0%","±33.2","163","±80","90.1%","±13.0","54","±47","100.0%","±40.4","109","±74","85.8%","±23.0","135","±91","83.9%","±22.6","94","±76","81.0%","±27.2","41","±41","91.1%","±46.9","136","±85","100.0%","±21.1","67","±62","100.0%","±36.0","69","±62","100.0%","±35.4"
"    Bachelor's degree or higher","41","±38","50.6%","±30.1","5","±9","100.0%","±100.0","36","±35","47.4%","±30.6","96","±55","53.0%","±28.1","28","±27","51.9%","±46.0","68","±46","53.5%","±25.9","83","±72","51.6%","±30.7","55","±63","47.4%","±37.7","28","±36","62.2%","±53.8","108","±75","79.4%","±28.5","39","±45","58.2%","±51.6","69","±62","100.0%","±35.4"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","55.9%","±15.5","(X)","(X)","56.1%","±24.3","(X)","(X)","55.7%","±19.1","(X)","(X)","40.0%","±38.7","(X)","(X)","100.0%","±66.3","(X)","(X)","27.4%","±39.0","(X)","(X)","76.8%","±22.0","(X)","(X)","7.3%","±21.5","(X)","(X)","93.5%","±14.7","(X)","(X)","0.0%","±64.7","(X)","(X)","-","**","(X)","(X)","0.0%","±64.7"
"    High school graduate (includes equivalency)","(X)","(X)","51.8%","±14.5","(X)","(X)","54.7%","±26.9","(X)","(X)","50.0%","±15.6","(X)","(X)","1.4%","±2.8","(X)","(X)","1.9%","±3.9","(X)","(X)","0.0%","±46.3","(X)","(X)","16.8%","±20.1","(X)","(X)","0.0%","±17.9","(X)","(X)","38.6%","±37.6","(X)","(X)","0.0%","±34.1","(X)","(X)","-","**","(X)","(X)","0.0%","±34.1"
