"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Males!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Males!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent Males!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent Males!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Females!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Females!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent Females!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent Females!!Margin of Error","Census Tract 102, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 102, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 102, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 102, District of Columbia, District of Columbia!!Males!!Estimate","Census Tract 102, District of Columbia, District of Columbia!!Males!!Margin of Error","Census Tract 102, District of Columbia, District of Columbia!!Percent Males!!Estimate","Census Tract 102, District of Columbia, District of Columbia!!Percent Males!!Margin of Error","Census Tract 102, District of Columbia, District of Columbia!!Females!!Estimate","Census Tract 102, District of Columbia, District of Columbia!!Females!!Margin of Error","Census Tract 102, District of Columbia, District of Columbia!!Percent Females!!Estimate","Census Tract 102, District of Columbia, District of Columbia!!Percent Females!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Males!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Males!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent Males!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent Males!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Females!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Females!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent Females!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent Females!!Margin of Error","Census Tract 110, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 110, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 110, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 110, District of Columbia, District of Columbia!!Males!!Estimate","Census Tract 110, District of Columbia, District of Columbia!!Males!!Margin of Error","Census Tract 110, District of Columbia, District of Columbia!!Percent Males!!Estimate","Census Tract 110, District of Columbia, District of Columbia!!Percent Males!!Margin of Error","Census Tract 110, District of Columbia, District of Columbia!!Females!!Estimate","Census Tract 110, District of Columbia, District of Columbia!!Females!!Margin of Error","Census Tract 110, District of Columbia, District of Columbia!!Percent Females!!Estimate","Census Tract 110, District of Columbia, District of Columbia!!Percent Females!!Margin of Error"
"    Some college, no degree","324","±103","20.4%","±6.1","35","±36","6.0%","±6.2","289","±98","28.6%","±9.3","205","±81","9.3%","±3.9","52","±46","5.3%","±4.7","153","±59","12.6%","±5.1","320","±122","11.0%","±4.2","175","±112","11.8%","±7.3","145","±70","10.2%","±4.7","350","±136","10.9%","±4.4","165","±100","10.8%","±6.8","185","±86","10.9%","±5.0"
"    Associate's degree","68","±43","4.3%","±2.9","30","±32","5.2%","±5.6","38","±26","3.8%","±2.7","122","±90","5.6%","±3.9","92","±86","9.4%","±8.3","30","±27","2.5%","±2.3","134","±107","4.6%","±3.6","54","±61","3.6%","±4.1","80","±98","5.6%","±6.7","30","±45","0.9%","±1.4","30","±45","2.0%","±2.9","0","±12","0.0%","±1.9"
"    Bachelor's degree","295","±103","18.5%","±5.7","148","±62","25.5%","±9.8","147","±70","14.5%","±6.2","584","±177","26.6%","±6.6","218","±93","22.2%","±7.6","366","±125","30.2%","±9.0","1,062","±232","36.6%","±7.3","664","±184","44.7%","±10.1","398","±145","28.1%","±9.7","982","±297","30.4%","±6.9","570","±240","37.3%","±10.3","412","±152","24.3%","±8.0"
"    Graduate or professional degree","79","±43","5.0%","±2.6","33","±29","5.7%","±4.8","46","±34","4.5%","±3.2","1,075","±189","49.0%","±7.6","539","±125","54.9%","±9.8","536","±137","44.2%","±9.9","1,039","±249","35.8%","±7.5","489","±153","32.9%","±9.3","550","±169","38.8%","±10.2","1,681","±273","52.1%","±7.3","747","±188","48.9%","±10.0","934","±207","55.1%","±9.7"
"Percent high school graduate or higher","(X)","(X)","76.0%","±5.1","(X)","(X)","74.9%","±8.4","(X)","(X)","76.7%","±6.2","(X)","(X)","95.6%","±3.0","(X)","(X)","97.6%","±2.6","(X)","(X)","94.1%","±5.3","(X)","(X)","94.2%","±2.8","(X)","(X)","98.5%","±2.3","(X)","(X)","89.7%","±5.3","(X)","(X)","98.8%","±1.3","(X)","(X)","100.0%","±2.1","(X)","(X)","97.8%","±2.4"
"Percent bachelor's degree or higher","(X)","(X)","23.5%","±6.2","(X)","(X)","31.2%","±10.3","(X)","(X)","19.1%","±7.3","(X)","(X)","75.6%","±7.2","(X)","(X)","77.2%","±11.0","(X)","(X)","74.4%","±7.9","(X)","(X)","72.3%","±6.2","(X)","(X)","77.5%","±9.0","(X)","(X)","66.9%","±9.8","(X)","(X)","82.6%","±5.9","(X)","(X)","86.1%","±7.6","(X)","(X)","79.4%","±7.5"
"Population 25 to 34 years","571","±166","(X)","(X)","232","±108","(X)","(X)","339","±93","(X)","(X)","750","±196","(X)","(X)","344","±125","(X)","(X)","406","±114","(X)","(X)","963","±201","(X)","(X)","383","±151","(X)","(X)","580","±160","(X)","(X)","857","±334","(X)","(X)","466","±237","(X)","(X)","391","±199","(X)","(X)"
"    High school graduate or higher","483","±149","84.6%","±8.1","187","±94","80.6%","±17.2","296","±90","87.3%","±13.0","727","±193","96.9%","±3.4","321","±126","93.3%","±7.8","406","±114","100.0%","±7.7","946","±199","98.2%","±2.8","383","±151","100.0%","±8.1","563","±166","97.1%","±5.0","857","±334","100.0%","±3.7","466","±237","100.0%","±6.7","391","±199","100.0%","±8.0"
"    Bachelor's degree or higher","216","±102","37.8%","±13.9","102","±58","44.0%","±22.8","114","±64","33.6%","±15.7","619","±160","82.5%","±10.6","243","±109","70.6%","±22.2","376","±113","92.6%","±6.8","865","±187","89.8%","±7.5","374","±149","97.7%","±4.1","491","±158","84.7%","±12.3","826","±338","96.4%","±4.8","453","±239","97.2%","±5.0","373","±198","95.4%","±8.0"
"Population 35 to 44 years","167","±82","(X)","(X)","83","±57","(X)","(X)","84","±50","(X)","(X)","432","±132","(X)","(X)","211","±79","(X)","(X)","221","±79","(X)","(X)","823","±234","(X)","(X)","477","±174","(X)","(X)","346","±146","(X)","(X)","392","±155","(X)","(X)","165","±116","(X)","(X)","227","±124","(X)","(X)"
"    High school graduate or higher","120","±75","71.9%","±21.4","70","±53","84.3%","±22.4","50","±43","59.5%","±34.7","404","±132","93.5%","±10.2","211","±79","100.0%","±14.2","193","±78","87.3%","±19.8","778","±229","94.5%","±4.8","455","±166","95.4%","±7.0","323","±146","93.4%","±7.2","392","±155","100.0%","±8.0","165","±116","100.0%","±17.8","227","±124","100.0%","±13.3"
"    Bachelor's degree or higher","53","±44","31.7%","±20.4","45","±41","54.2%","±34.2","8","±13","9.5%","±16.7","361","±137","83.6%","±15.6","174","±77","82.5%","±20.6","187","±78","84.6%","±20.3","591","±191","71.8%","±12.9","348","±157","73.0%","±15.7","243","±113","70.2%","±22.8","359","±147","91.6%","±12.9","132","±108","80.0%","±31.5","227","±124","100.0%","±13.3"
"Population 45 to 64 years","593","±91","(X)","(X)","198","±71","(X)","(X)","395","±67","(X)","(X)","568","±90","(X)","(X)","248","±62","(X)","(X)","320","±72","(X)","(X)","781","±138","(X)","(X)","427","±120","(X)","(X)","354","±84","(X)","(X)","1,021","±235","(X)","(X)","566","±178","(X)","(X)","455","±160","(X)","(X)"
"    High school graduate or higher","479","±90","80.8%","±8.3","142","±63","71.7%","±14.8","337","±67","85.3%","±8.9","523","±85","92.1%","±8.4","247","±62","99.6%","±0.9","276","±60","86.3%","±14.2","675","±142","86.4%","±8.1","427","±120","100.0%","±7.3","248","±91","70.1%","±17.7","1,002","±229","98.1%","±2.9","566","±178","100.0%","±5.6","436","±148","95.8%","±6.2"
"    Bachelor's degree or higher","93","±56","15.7%","±9.3","31","±29","15.7%","±13.4","62","±47","15.7%","±12.0","352","±95","62.0%","±12.6","191","±65","77.0%","±15.7","161","±60","50.3%","±15.1","517","±141","66.2%","±11.7","334","±104","78.2%","±13.4","183","±85","51.7%","±19.2","736","±193","72.1%","±11.2","400","±160","70.7%","±16.1","336","±111","73.8%","±15.5"
"Population 65 years and over","261","±77","(X)","(X)","68","±38","(X)","(X)","193","±66","(X)","(X)","443","±83","(X)","(X)","178","±70","(X)","(X)","265","±66","(X)","(X)","338","±96","(X)","(X)","200","±108","(X)","(X)","138","±75","(X)","(X)","955","±149","(X)","(X)","332","±132","(X)","(X)","623","±130","(X)","(X)"
"    High school graduate or higher","128","±52","49.0%","±15.8","36","±28","52.9%","±34.2","92","±46","47.7%","±20.1","443","±83","100.0%","±7.1","178","±70","100.0%","±16.6","265","±66","100.0%","±11.5","338","±96","100.0%","±9.2","200","±108","100.0%","±15.0","138","±75","100.0%","±20.8","936","±147","98.0%","±2.8","332","±132","100.0%","±9.3","604","±126","97.0%","±4.3"
"    Bachelor's degree or higher","12","±14","4.6%","±5.2","3","±5","4.4%","±8.6","9","±10","4.7%","±5.3","327","±90","73.8%","±11.4","149","±60","83.7%","±12.9","178","±62","67.2%","±16.9","128","±69","37.9%","±19.7","97","±61","48.5%","±37.7","31","±35","22.5%","±23.8","742","±145","77.7%","±9.1","332","±132","100.0%","±9.3","410","±119","65.8%","±13.2"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    White alone","240","±94","(X)","(X)","97","±45","(X)","(X)","143","±64","(X)","(X)","1,064","±149","(X)","(X)","522","±131","(X)","(X)","542","±94","(X)","(X)","1,384","±221","(X)","(X)","779","±194","(X)","(X)","605","±122","(X)","(X)","2,260","±361","(X)","(X)","1,190","±310","(X)","(X)","1,070","±186","(X)","(X)"
"        High school graduate or higher","240","±94","100.0%","±12.6","97","±45","100.0%","±27.8","143","±64","100.0%","±20.2","1,053","±145","99.0%","±1.7","511","±128","97.9%","±3.5","542","±94","100.0%","±5.8","1,384","±221","100.0%","±2.3","779","±194","100.0%","±4.1","605","±122","100.0%","±5.2","2,241","±361","99.2%","±1.3","1,190","±310","100.0%","±2.7","1,051","±180","98.2%","±2.8"
"        Bachelor's degree or higher","216","±92","90.0%","±8.1","97","±45","100.0%","±27.8","119","±62","83.2%","±13.2","907","±158","85.2%","±7.4","453","±131","86.8%","±11.3","454","±98","83.8%","±8.4","1,274","±223","92.1%","±5.1","738","±185","94.7%","±5.6","536","±129","88.6%","±8.7","2,010","±365","88.9%","±5.3","1,085","±310","91.2%","±6.8","925","±183","86.4%","±7.3"
"White alone, not Hispanic or Latino","193","±80","(X)","(X)","97","±45","(X)","(X)","96","±57","(X)","(X)","964","±138","(X)","(X)","482","±127","(X)","(X)","482","±89","(X)","(X)","1,326","±225","(X)","(X)","761","±188","(X)","(X)","565","±125","(X)","(X)","2,179","±360","(X)","(X)","1,148","±309","(X)","(X)","1,031","±183","(X)","(X)"
"    High school graduate or higher","193","±80","100.0%","±15.4","97","±45","100.0%","±27.8","96","±57","100.0%","±28.0","964","±138","100.0%","±3.3","482","±127","100.0%","±6.5","482","±89","100.0%","±6.5","1,326","±225","100.0%","±2.4","761","±188","100.0%","±4.2","565","±125","100.0%","±5.6","2,160","±360","99.1%","±1.4","1,148","±309","100.0%","±2.8","1,012","±178","98.2%","±2.9"
"    Bachelor's degree or higher","169","±77","87.6%","±9.6","97","±45","100.0%","±27.8","72","±53","75.0%","±19.7","827","±147","85.8%","±6.7","424","±129","88.0%","±10.9","403","±89","83.6%","±8.3","1,216","±230","91.7%","±5.4","720","±178","94.6%","±5.7","496","±138","87.8%","±9.6","1,954","±365","89.7%","±5.1","1,068","±310","93.0%","±6.0","886","±181","85.9%","±7.6"
"Black alone","1,297","±176","(X)","(X)","444","±121","(X)","(X)","853","±99","(X)","(X)","832","±210","(X)","(X)","359","±103","(X)","(X)","473","±131","(X)","(X)","1,073","±264","(X)","(X)","474","±178","(X)","(X)","599","±168","(X)","(X)","742","±155","(X)","(X)","327","±126","(X)","(X)","415","±106","(X)","(X)"
"    High school graduate or higher","934","±163","72.0%","±6.0","311","±101","70.0%","±10.3","623","±96","73.0%","±7.0","747","±195","89.8%","±6.8","346","±108","96.4%","±5.2","401","±113","84.8%","±12.6","923","±249","86.0%","±7.2","452","±167","95.4%","±6.8","471","±170","78.6%","±12.7","723","±150","97.4%","±3.6","327","±126","100.0%","±9.5","396","±109","95.4%","±6.6"
"    Bachelor's degree or higher","146","±69","11.3%","±4.8","72","±52","16.2%","±10.6","74","±49","8.7%","±5.7","519","±157","62.4%","±9.9","204","±84","56.8%","±20.0","315","±102","66.6%","±11.7","517","±221","48.2%","±15.2","257","±143","54.2%","±22.8","260","±120","43.4%","±15.7","442","±164","59.6%","±17.3","220","±116","67.3%","±22.0","222","±103","53.5%","±20.0"
"American Indian or Alaska Native alone","0","±12","(X)","(X)","0","±12","(X)","(X)","0","±12","(X)","(X)","46","±50","(X)","(X)","46","±50","(X)","(X)","0","±12","(X)","(X)","22","±28","(X)","(X)","22","±28","(X)","(X)","0","±12","(X)","(X)","26","±41","(X)","(X)","0","±12","(X)","(X)","26","±41","(X)","(X)"
"    High school graduate or higher","0","±12","-","**","0","±12","-","**","0","±12","-","**","46","±50","100.0%","±43.7","46","±50","100.0%","±43.7","0","±12","-","**","22","±28","100.0%","±63.2","22","±28","100.0%","±63.2","0","±12","-","**","26","±41","100.0%","±58.2","0","±12","-","**","26","±41","100.0%","±58.2"
"    Bachelor's degree or higher","0","±12","-","**","0","±12","-","**","0","±12","-","**","46","±50","100.0%","±43.7","46","±50","100.0%","±43.7","0","±12","-","**","16","±26","72.7%","±53.9","16","±26","72.7%","±53.9","0","±12","-","**","26","±41","100.0%","±58.2","0","±12","-","**","26","±41","100.0%","±58.2"
"Asian alone","31","±28","(X)","(X)","25","±23","(X)","(X)","6","±10","(X)","(X)","108","±78","(X)","(X)","7","±11","(X)","(X)","101","±77","(X)","(X)","261","±151","(X)","(X)","101","±68","(X)","(X)","160","±113","(X)","(X)","139","±79","(X)","(X)","12","±20","(X)","(X)","127","±76","(X)","(X)"
"    High school graduate or higher","12","±13","38.7%","±34.3","12","±13","48.0%","±52.0","0","±12","0.0%","±100.0","108","±78","100.0%","±25.5","7","±11","100.0%","±100.0","101","±77","100.0%","±26.9","261","±151","100.0%","±11.7","101","±68","100.0%","±26.9","160","±113","100.0%","±18.3","139","±79","100.0%","±20.7","12","±20","100.0%","±85.6","127","±76","100.0%","±22.3"
"    Bachelor's degree or higher","12","±13","38.7%","±34.3","12","±13","48.0%","±52.0","0","±12","0.0%","±100.0","102","±78","94.4%","±9.6","7","±11","100.0%","±100.0","95","±77","94.1%","±10.4","169","±96","64.8%","±20.9","53","±66","52.5%","±52.5","116","±98","72.5%","±34.7","139","±79","100.0%","±20.7","12","±20","100.0%","±85.6","127","±76","100.0%","±22.3"
"Native Hawaiian and Other Pacific Islander alone","0","±12","(X)","(X)","0","±12","(X)","(X)","0","±12","(X)","(X)","0","±12","(X)","(X)","0","±12","(X)","(X)","0","±12","(X)","(X)","22","±34","(X)","(X)","22","±34","(X)","(X)","0","±12","(X)","(X)","0","±12","(X)","(X)","0","±12","(X)","(X)","0","±12","(X)","(X)"
"    High school graduate or higher","0","±12","-","**","0","±12","-","**","0","±12","-","**","0","±12","-","**","0","±12","-","**","0","±12","-","**","22","±34","100.0%","±63.2","22","±34","100.0%","±63.2","0","±12","-","**","0","±12","-","**","0","±12","-","**","0","±12","-","**"
"    Bachelor's degree or higher","0","±12","-","**","0","±12","-","**","0","±12","-","**","0","±12","-","**","0","±12","-","**","0","±12","-","**","0","±12","0.0%","±63.2","0","±12","0.0%","±63.2","0","±12","-","**","0","±12","-","**","0","±12","-","**","0","±12","-","**"
"Some other race alone","9","±13","(X)","(X)","0","±12","(X)","(X)","9","±13","(X)","(X)","0","±12","(X)","(X)","0","±12","(X)","(X)","0","±12","(X)","(X)","34","±42","(X)","(X)","11","±18","(X)","(X)","23","±37","(X)","(X)","0","±12","(X)","(X)","0","±12","(X)","(X)","0","±12","(X)","(X)"
"    High school graduate or higher","9","±13","100.0%","±98.9","0","±12","-","**","9","±13","100.0%","±98.9","0","±12","-","**","0","±12","-","**","0","±12","-","**","34","±42","100.0%","±50.9","11","±18","100.0%","±89.4","23","±37","100.0%","±61.8","0","±12","-","**","0","±12","-","**","0","±12","-","**"
"    Bachelor's degree or higher","0","±12","0.0%","±98.9","0","±12","-","**","0","±12","0.0%","±98.9","0","±12","-","**","0","±12","-","**","0","±12","-","**","34","±42","100.0%","±50.9","11","±18","100.0%","±89.4","23","±37","100.0%","±61.8","0","±12","-","**","0","±12","-","**","0","±12","-","**"
"Two or more races","15","±22","(X)","(X)","15","±22","(X)","(X)","0","±12","(X)","(X)","143","±87","(X)","(X)","47","±32","(X)","(X)","96","±80","(X)","(X)","109","±82","(X)","(X)","78","±57","(X)","(X)","31","±37","(X)","(X)","58","±52","(X)","(X)","0","±12","(X)","(X)","58","±52","(X)","(X)"
"    High school graduate or higher","15","±22","100.0%","±76.6","15","±22","100.0%","±76.6","0","±12","-","**","143","±87","100.0%","±20.2","47","±32","100.0%","±43.3","96","±80","100.0%","±28.0","91","±61","83.5%","±19.1","78","±57","100.0%","±32.7","13","±21","41.9%","±55.2","58","±52","100.0%","±38.9","0","±12","-","**","58","±52","100.0%","±38.9"
"    Bachelor's degree or higher","0","±12","0.0%","±76.6","0","±12","0.0%","±76.6","0","±12","-","**","85","±49","59.4%","±34.0","47","±32","100.0%","±43.3","38","±36","39.6%","±40.1","91","±61","83.5%","±19.1","78","±57","100.0%","±32.7","13","±21","41.9%","±55.2","46","±51","79.3%","±34.0","0","±12","-","**","46","±51","79.3%","±34.0"
"Hispanic or Latino Origin","99","±54","(X)","(X)","7","±11","(X)","(X)","92","±52","(X)","(X)","167","±80","(X)","(X)","40","±35","(X)","(X)","127","±75","(X)","(X)","182","±125","(X)","(X)","101","±79","(X)","(X)","81","±68","(X)","(X)","81","±66","(X)","(X)","42","±49","(X)","(X)","39","±43","(X)","(X)"
"    High school graduate or higher","99","±54","100.0%","±27.4","7","±11","100.0%","±100.0","92","±52","100.0%","±29.0","156","±78","93.4%","±11.6","29","±29","72.5%","±39.8","127","±75","100.0%","±22.3","142","±95","78.0%","±19.2","79","±71","78.2%","±30.9","63","±61","77.8%","±35.9","81","±66","100.0%","±31.8","42","±49","100.0%","±45.8","39","±43","100.0%","±47.5"
"    Bachelor's degree or higher","62","±44","62.6%","±23.2","7","±11","100.0%","±100.0","55","±40","59.8%","±23.8","89","±50","53.3%","±29.6","29","±29","72.5%","±39.8","60","±38","47.2%","±33.1","120","±87","65.9%","±22.2","57","±60","56.4%","±37.2","63","±61","77.8%","±35.9","56","±51","69.1%","±41.8","17","±29","40.5%","±59.5","39","±43","100.0%","±47.5"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","59.4%","±15.0","(X)","(X)","58.2%","±23.7","(X)","(X)","60.2%","±16.2","(X)","(X)","42.7%","±43.6","(X)","(X)","54.2%","±53.1","(X)","(X)","38.9%","±51.4","(X)","(X)","76.2%","±26.4","(X)","(X)","0.0%","±63.2","(X)","(X)","87.7%","±20.7","(X)","(X)","0.0%","±48.1","(X)","(X)","-","**","(X)","(X)","0.0%","±48.1"
"    High school graduate (includes equivalency)","(X)","(X)","49.1%","±13.6","(X)","(X)","57.1%","±20.5","(X)","(X)","43.1%","±18.0","(X)","(X)","9.9%","±15.0","(X)","(X)","3.6%","±8.3","(X)","(X)","16.4%","±28.8","(X)","(X)","24.7%","±25.2","(X)","(X)","0.0%","±31.3","(X)","(X)","45.5%","±35.3","(X)","(X)","11.8%","±20.1","(X)","(X)","100.0%","±71.9","(X)","(X)","0.0%","±22.3"
