"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 102, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 102, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 102, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 102, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 102, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 110, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 110, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 110, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 110, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 110, District of Columbia, District of Columbia!!Female!!Margin of Error"
"High school graduate or higher","94.8%","±8.5","89.1%","±19.7","100.0%","±28.4","100.0%","±7.0","100.0%","±20.0","100.0%","±10.2","97.3%","±3.2","94.6%","±6.2","100.0%","±6.1","100.0%","±8.0","100.0%","±23.3","100.0%","±11.4"
"Bachelor's degree or higher","31.0%","±20.0","37.6%","±27.9","24.8%","±26.7","91.9%","±7.9","74.9%","±21.3","100.0%","±10.2","84.1%","±8.9","73.7%","±17.8","94.8%","±5.5","65.7%","±24.5","79.9%","±25.2","59.4%","±32.7"
"Population 35 to 44 years","309","±103","77","±68","232","±84","429","±138","215","±81","214","±86","642","±179","328","±141","314","±128","374","±121","159","±83","215","±88"
"High school graduate or higher","72.8%","±23.1","59.7%","±50.8","77.2%","±25.0","100.0%","±8.4","100.0%","±15.9","100.0%","±16.0","88.9%","±9.9","82.9%","±17.3","95.2%","±6.3","100.0%","±9.5","100.0%","±20.8","100.0%","±15.9"
"Bachelor's degree or higher","18.4%","±18.2","31.2%","±44.3","14.2%","±17.0","73.7%","±13.5","90.2%","±11.0","57.0%","±26.9","44.2%","±15.9","45.7%","±22.2","42.7%","±22.9","80.7%","±15.7","81.1%","±18.9","80.5%","±22.8"
"Population 45 to 64 years","532","±144","152","±64","380","±125","693","±123","320","±101","373","±103","1,059","±228","679","±178","380","±100","1,415","±240","650","±180","765","±161"
"High school graduate or higher","68.4%","±13.0","87.5%","±18.5","60.8%","±14.8","98.4%","±2.1","99.4%","±0.8","97.6%","±4.0","93.4%","±5.2","95.4%","±5.1","89.7%","±10.0","97.8%","±2.4","100.0%","±5.6","95.9%","±4.6"
"Bachelor's degree or higher","13.9%","±9.1","30.3%","±21.1","7.4%","±7.6","71.7%","±12.0","85.3%","±10.6","60.1%","±16.0","43.8%","±14.0","49.6%","±18.2","33.4%","±15.1","62.0%","±13.6","61.2%","±18.3","62.7%","±14.7"
"Population 65 years and over","170","±88","72","±56","98","±64","512","±99","193","±57","319","±96","356","±98","137","±80","219","±84","892","±147","333","±115","559","±126"
"High school graduate or higher","56.5%","±21.8","66.7%","±29.5","49.0%","±34.9","99.8%","±0.5","99.5%","±1.3","100.0%","±11.1","82.0%","±13.9","100.0%","±23.6","70.8%","±20.9","91.7%","±6.0","94.6%","±7.9","90.0%","±8.5"
"Bachelor's degree or higher","12.9%","±17.5","30.6%","±36.5","0.0%","±30.7","55.7%","±13.3","74.6%","±15.2","44.2%","±16.3","52.5%","±20.7","61.3%","±41.6","47.0%","±21.1","66.1%","±10.5","71.2%","±21.0","63.1%","±13.4"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than high school graduate","41.2%","±16.4","58.8%","±39.0","35.3%","±17.0","16.7%","±32.5","66.7%","±66.7","0.0%","±100.0","50.4%","±24.9","65.8%","±32.4","34.7%","±31.9","40.0%","±28.1","0.0%","±75.1","48.3%","±32.0"
"    High school graduate (includes equivalency)","36.8%","±14.9","0.0%","±31.9","46.5%","±20.7","6.3%","±10.1","16.9%","±25.2","0.0%","±26.5","36.7%","±19.3","42.1%","±24.2","26.9%","±30.8","40.7%","±46.7","0.0%","±33.9","54.4%","±51.2"
"    Some college or associate's degree","15.1%","±15.6","0.0%","±31.7","26.6%","±26.1","11.2%","±10.5","11.8%","±19.0","11.0%","±12.1","21.2%","±18.1","11.7%","±19.3","29.3%","±28.1","14.4%","±14.6","4.1%","±7.9","23.8%","±23.8"
"    Bachelor's degree or higher","8.7%","±14.5","14.6%","±26.4","0.0%","±33.2","5.0%","±4.3","6.0%","±7.1","4.1%","±4.5","5.2%","±5.7","6.0%","±9.3","4.4%","±6.5","4.7%","±3.1","6.1%","±5.5","3.7%","±3.3"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over with earnings","26,905","±13,313","50,774","±42,900","21,908","±12,081","71,489","±7,332","83,933","±23,793","62,844","±12,654","57,136","±12,352","72,917","±9,287","51,745","±3,279","68,789","±14,099","70,572","±23,066","67,734","±14,577"
"    Less than high school graduate","21,131","±11,024","11,694","±8,103","23,984","±49,109","23,611","±608","2,500-","***","-","**","16,745","±11,453","16,500","±125,170","16,773","±7,316","14,911","±53,377","-","**","14,911","±53,377"
"    High school graduate (includes equivalency)","25,265","±31,725","27,083","±9,349","8,088","±19,761","14,219","±28,076","34,423","±6,281","12,656","±2,076","34,375","±15,631","31,190","±10,061","42,879","±35,499","18,990","±13,591","18,990","±13,591","-","**"
"    Some college or associate's degree","22,031","±38,563","69,444","±45,336","20,573","±16,202","47,279","±34,272","35,208","±47,032","61,354","±29,539","34,688","±61,636","74,496","±10,282","28,109","±21,762","58,316","±26,876","59,847","±39,020","48,404","±16,084"
"    Bachelor's degree","62,188","±113,134","108,438","±121,214","-","**","64,224","±20,205","83,872","±23,064","43,977","±13,224","57,446","±19,826","57,941","±28,016","57,162","±33,277","68,438","±14,850","72,250","±27,918","61,979","±13,396"
"    Graduate or professional degree","54,808","±13,555","93,889","±83,104","53,846","±18,420","89,507","±8,053","115,250","±41,942","86,136","±20,696","76,563","±7,287","83,777","±5,490","68,529","±26,258","77,976","±10,554","78,929","±41,241","77,857","±8,670"
"PERCENT IMPUTED","","","","","","","","","","","","","","","","","","","","","","","",""
"    Educational attainment","5.2%","(X)","(X)","(X)","(X)","(X)","5.3%","(X)","(X)","(X)","(X)","(X)","4.1%","(X)","(X)","(X)","(X)","(X)","2.0%","(X)","(X)","(X)","(X)","(X)"
