"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent Male!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent Male!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent Female!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent Female!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Percent Male!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Percent Male!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Percent Female!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Percent Female!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Percent Male!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Percent Male!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Percent Female!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Percent Female!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent Male!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent Male!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent Female!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent Female!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Percent Male!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Percent Male!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Percent Female!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Percent Female!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Percent Male!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Percent Male!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Percent Female!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Percent Female!!Margin of Error"
"        Some college, no degree","187","±81","10.4%","±4.5","27","±24","3.5%","±3.1","160","±79","15.9%","±7.0","178","±92","9.0%","±4.5","67","±59","5.9%","±4.9","111","±63","13.2%","±7.5","211","±193","15.9%","±12.9","48","±44","9.5%","±8.2","163","±185","19.8%","±19.8","280","±138","8.4%","±4.1","151","±110","8.6%","±6.2","129","±105","8.1%","±6.1","141","±89","6.2%","±4.3","37","±42","3.6%","±4.5","104","±87","8.3%","±7.5","229","±131","13.5%","±7.7","46","±43","6.8%","±5.9","183","±139","17.9%","±12.6"
"        Associate's degree","34","±34","1.9%","±1.9","24","±31","3.1%","±4.0","10","±15","1.0%","±1.5","98","±117","5.0%","±5.9","98","±117","8.6%","±10.1","0","±13","0.0%","±4.6","30","±29","2.3%","±2.2","5","±9","1.0%","±1.8","25","±28","3.0%","±3.4","97","±97","2.9%","±2.8","97","±97","5.5%","±5.2","0","±13","0.0%","±2.5","50","±70","2.2%","±3.1","50","±70","4.9%","±6.9","0","±13","0.0%","±3.1","0","±13","0.0%","±2.3","0","±13","0.0%","±5.7","0","±13","0.0%","±3.8"
"        Bachelor's degree","490","±170","27.4%","±7.6","257","±110","32.9%","±11.6","233","±126","23.1%","±10.4","796","±186","40.3%","±7.9","528","±162","46.6%","±12.4","268","±114","31.8%","±11.2","445","±175","33.5%","±11.2","132","±68","26.1%","±11.2","313","±175","38.0%","±17.3","1,096","±276","32.7%","±8.0","672","±206","38.1%","±10.8","424","±144","26.7%","±8.6","772","±279","33.8%","±9.0","339","±184","33.1%","±16.3","433","±232","34.4%","±14.4","435","±151","25.6%","±8.2","198","±113","29.2%","±14.6","237","±108","23.2%","±10.5"
"        Graduate or professional degree","196","±81","10.9%","±4.6","132","±77","16.9%","±9.6","64","±44","6.3%","±4.4","877","±223","44.4%","±7.8","431","±202","38.0%","±13.1","446","±110","53.0%","±10.3","568","±144","42.7%","±11.6","298","±107","58.9%","±12.9","270","±80","32.8%","±12.8","1,382","±405","41.2%","±8.6","629","±218","35.6%","±11.1","753","±260","47.5%","±9.7","922","±288","40.4%","±11.2","406","±225","39.7%","±17.4","516","±236","41.0%","±16.6","870","±200","51.2%","±9.9","376","±145","55.5%","±16.7","494","±130","48.4%","±12.7"
"        High school graduate or higher","1,326","±198","74.1%","±5.7","594","±159","76.1%","±12.2","732","±176","72.5%","±8.8","1,959","±303","99.1%","±1.2","1,134","±276","100.0%","±3.5","825","±152","98.0%","±2.8","1,295","±265","97.4%","±3.1","496","±143","98.0%","±3.3","799","±242","97.0%","±4.8","3,053","±519","91.1%","±5.7","1,648","±306","93.4%","±5.4","1,405","±328","88.6%","±7.6","2,149","±496","94.2%","±4.4","1,002","±302","97.9%","±3.3","1,147","±332","91.2%","±7.4","1,680","±252","98.9%","±1.8","678","±197","100.0%","±5.7","1,002","±174","98.1%","±3.0"
"        Bachelor's degree or higher","686","±183","38.3%","±7.8","389","±132","49.8%","±12.5","297","±131","29.4%","±10.6","1,673","±291","84.7%","±6.4","959","±256","84.6%","±10.4","714","±151","84.8%","±7.2","1,013","±208","76.2%","±13.0","430","±131","85.0%","±9.4","583","±189","70.8%","±19.5","2,478","±488","73.9%","±8.5","1,301","±280","73.7%","±12.0","1,177","±303","74.2%","±8.3","1,694","±421","74.3%","±10.9","745","±282","72.8%","±16.9","949","±313","75.4%","±12.1","1,305","±219","76.8%","±7.8","574","±170","84.7%","±12.0","731","±141","71.6%","±13.1"
"    Population 25 to 34 years","667","±217","(X)","(X)","317","±140","(X)","(X)","350","±146","(X)","(X)","853","±204","(X)","(X)","503","±161","(X)","(X)","350","±107","(X)","(X)","442","±206","(X)","(X)","112","±65","(X)","(X)","330","±200","(X)","(X)","1,302","±371","(X)","(X)","675","±234","(X)","(X)","627","±196","(X)","(X)","908","±432","(X)","(X)","470","±269","(X)","(X)","438","±269","(X)","(X)","298","±175","(X)","(X)","159","±113","(X)","(X)","139","±78","(X)","(X)"
"        High school graduate or higher","557","±171","83.5%","±11.3","246","±107","77.6%","±21.6","311","±143","88.9%","±12.0","853","±204","100.0%","±4.6","503","±161","100.0%","±7.6","350","±107","100.0%","±10.8","432","±204","97.7%","±3.9","102","±65","91.1%","±15.9","330","±200","100.0%","±11.4","1,183","±292","90.9%","±10.9","611","±190","90.5%","±11.2","572","±174","91.2%","±10.8","908","±432","100.0%","±4.3","470","±269","100.0%","±8.2","438","±269","100.0%","±8.7","298","±175","100.0%","±12.5","159","±113","100.0%","±22.0","139","±78","100.0%","±24.6"
"        Bachelor's degree or higher","397","±150","59.5%","±13.6","180","±86","56.8%","±20.1","217","±120","62.0%","±21.1","827","±202","97.0%","±3.0","493","±159","98.0%","±3.1","334","±105","95.4%","±5.2","275","±122","62.2%","±31.1","102","±65","91.1%","±15.9","173","±112","52.4%","±38.0","1,094","±277","84.0%","±16.8","530","±175","78.5%","±22.2","564","±173","90.0%","±11.1","850","±423","93.6%","±9.0","412","±261","87.7%","±18.1","438","±269","100.0%","±8.7","252","±175","84.6%","±16.6","128","±108","80.5%","±24.3","124","±77","89.2%","±18.9"
"    Population 35 to 44 years","339","±139","(X)","(X)","192","±110","(X)","(X)","147","±95","(X)","(X)","511","±186","(X)","(X)","330","±148","(X)","(X)","181","±99","(X)","(X)","226","±105","(X)","(X)","131","±83","(X)","(X)","95","±50","(X)","(X)","932","±431","(X)","(X)","452","±213","(X)","(X)","480","±277","(X)","(X)","212","±136","(X)","(X)","32","±37","(X)","(X)","180","±123","(X)","(X)","309","±183","(X)","(X)","112","±94","(X)","(X)","197","±149","(X)","(X)"
"        High school graduate or higher","254","±123","74.9%","±17.5","152","±101","79.2%","±22.8","102","±83","69.4%","±29.9","511","±186","100.0%","±7.5","330","±148","100.0%","±11.4","181","±99","100.0%","±19.7","226","±105","100.0%","±16.2","131","±83","100.0%","±25.8","95","±50","100.0%","±32.9","854","±425","91.6%","±8.2","418","±212","92.5%","±12.1","436","±273","90.8%","±11.6","212","±136","100.0%","±17.1","32","±37","100.0%","±58.2","180","±123","100.0%","±19.8","309","±183","100.0%","±12.1","112","±94","100.0%","±29.2","197","±149","100.0%","±18.3"
"        Bachelor's degree or higher","136","±101","40.1%","±24.4","107","±93","55.7%","±31.8","29","±32","19.7%","±21.6","371","±148","72.6%","±20.4","190","±86","57.6%","±26.0","181","±99","100.0%","±19.7","210","±104","92.9%","±10.7","131","±83","100.0%","±25.8","79","±47","83.2%","±23.5","837","±412","89.8%","±8.3","401","±202","88.7%","±12.9","436","±273","90.8%","±11.6","212","±136","100.0%","±17.1","32","±37","100.0%","±58.2","180","±123","100.0%","±19.8","230","±138","74.4%","±27.9","98","±90","87.5%","±23.0","132","±102","67.0%","±42.2"
"    Population 45 to 64 years","473","±104","(X)","(X)","165","±72","(X)","(X)","308","±85","(X)","(X)","312","±146","(X)","(X)","126","±82","(X)","(X)","186","±85","(X)","(X)","245","±90","(X)","(X)","105","±53","(X)","(X)","140","±66","(X)","(X)","825","±203","(X)","(X)","491","±176","(X)","(X)","334","±110","(X)","(X)","809","±289","(X)","(X)","349","±171","(X)","(X)","460","±162","(X)","(X)","533","±172","(X)","(X)","214","±114","(X)","(X)","319","±123","(X)","(X)"
"        High school graduate or higher","299","±97","63.2%","±13.3","116","±71","70.3%","±22.9","183","±72","59.4%","±17.6","312","±146","100.0%","±12.0","126","±82","100.0%","±26.7","186","±85","100.0%","±19.2","229","±86","93.5%","±10.6","105","±53","100.0%","±30.6","124","±62","88.6%","±18.7","743","±205","90.1%","±6.7","472","±180","96.1%","±7.0","271","±113","81.1%","±14.2","744","±297","92.0%","±8.1","328","±174","94.0%","±10.5","416","±165","90.4%","±10.5","533","±172","100.0%","±7.2","214","±114","100.0%","±17.0","319","±123","100.0%","±11.8"
"        Bachelor's degree or higher","100","±67","21.1%","±13.1","64","±58","38.8%","±27.9","36","±26","11.7%","±8.8","250","±115","80.1%","±15.9","126","±82","100.0%","±26.7","124","±62","66.7%","±26.2","181","±74","73.9%","±13.7","63","±35","60.0%","±20.4","118","±62","84.3%","±16.8","428","±153","51.9%","±13.6","282","±124","57.4%","±18.4","146","±79","43.7%","±19.0","416","±182","51.4%","±21.7","150","±107","43.0%","±30.2","266","±155","57.8%","±26.8","426","±139","79.9%","±16.6","173","±94","80.8%","±26.3","253","±104","79.3%","±22.8"
"    Population 65 years and over","311","±100","(X)","(X)","107","±60","(X)","(X)","204","±76","(X)","(X)","300","±191","(X)","(X)","175","±181","(X)","(X)","125","±74","(X)","(X)","417","±169","(X)","(X)","158","±74","(X)","(X)","259","±153","(X)","(X)","292","±107","(X)","(X)","147","±80","(X)","(X)","145","±90","(X)","(X)","352","±153","(X)","(X)","172","±105","(X)","(X)","180","±110","(X)","(X)","559","±186","(X)","(X)","193","±90","(X)","(X)","366","±137","(X)","(X)"
"        High school graduate or higher","216","±95","69.5%","±16.4","80","±52","74.8%","±26.7","136","±68","66.7%","±17.8","283","±195","94.3%","±9.8","175","±181","100.0%","±20.3","108","±77","86.4%","±20.9","408","±168","97.8%","±3.4","158","±74","100.0%","±22.1","250","±153","96.5%","±5.6","273","±103","93.5%","±10.1","147","±80","100.0%","±23.5","126","±85","86.9%","±19.8","285","±139","81.0%","±20.7","172","±105","100.0%","±20.6","113","±80","62.8%","±33.8","540","±186","96.6%","±5.6","193","±90","100.0%","±18.6","347","±135","94.8%","±8.4"
"        Bachelor's degree or higher","53","±56","17.0%","±16.1","38","±38","35.5%","±29.5","15","±24","7.4%","±11.5","225","±191","75.0%","±23.1","150","±180","85.7%","±26.5","75","±71","60.0%","±32.1","347","±168","83.2%","±12.8","134","±69","84.8%","±20.8","213","±149","82.2%","±14.8","119","±111","40.8%","±31.6","88","±93","59.9%","±49.0","31","±33","21.4%","±23.5","216","±123","61.4%","±23.4","151","±101","87.8%","±19.7","65","±57","36.1%","±28.5","397","±147","71.0%","±14.0","175","±81","90.7%","±13.2","222","±97","60.7%","±19.3"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    White alone","415","±105","(X)","(X)","240","±94","(X)","(X)","175","±68","(X)","(X)","1,198","±300","(X)","(X)","729","±263","(X)","(X)","469","±115","(X)","(X)","876","±210","(X)","(X)","351","±126","(X)","(X)","525","±174","(X)","(X)","2,038","±485","(X)","(X)","1,118","±285","(X)","(X)","920","±308","(X)","(X)","1,426","±492","(X)","(X)","613","±250","(X)","(X)","813","±321","(X)","(X)","1,216","±267","(X)","(X)","511","±188","(X)","(X)","705","±159","(X)","(X)"
"        High school graduate or higher","415","±105","100.0%","±9.2","240","±94","100.0%","±15.3","175","±68","100.0%","±20.3","1,198","±300","100.0%","±3.3","729","±263","100.0%","±5.3","469","±115","100.0%","±8.2","866","±208","98.9%","±1.9","341","±124","97.2%","±4.8","525","±174","100.0%","±7.3","2,019","±490","99.1%","±1.6","1,118","±285","100.0%","±3.5","901","±310","97.9%","±3.5","1,410","±493","98.9%","±1.9","613","±250","100.0%","±6.3","797","±321","98.0%","±3.4","1,197","±267","98.4%","±2.5","511","±188","100.0%","±7.5","686","±158","97.3%","±4.3"
"        Bachelor's degree or higher","387","±105","93.3%","±7.3","228","±94","95.0%","±6.5","159","±67","90.9%","±10.4","1,101","±289","91.9%","±5.5","692","±258","94.9%","±4.7","409","±112","87.2%","±9.6","741","±200","84.6%","±8.1","311","±114","88.6%","±9.7","430","±175","81.9%","±11.4","1,912","±478","93.8%","±4.1","1,040","±269","93.0%","±6.5","872","±301","94.8%","±5.1","1,196","±392","83.9%","±14.8","474","±222","77.3%","±22.7","722","±284","88.8%","±11.1","907","±250","74.6%","±10.2","438","±166","85.7%","±15.0","469","±129","66.5%","±16.9"
"    White alone, not Hispanic or Latino","388","±105","(X)","(X)","240","±94","(X)","(X)","148","±65","(X)","(X)","1,079","±292","(X)","(X)","622","±244","(X)","(X)","457","±117","(X)","(X)","808","±224","(X)","(X)","324","±125","(X)","(X)","484","±181","(X)","(X)","1,904","±470","(X)","(X)","1,053","±274","(X)","(X)","851","±290","(X)","(X)","1,078","±385","(X)","(X)","482","±218","(X)","(X)","596","±253","(X)","(X)","1,169","±251","(X)","(X)","464","±186","(X)","(X)","705","±159","(X)","(X)"
