"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 102, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 102, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 102, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 102, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 102, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 110, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 110, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 110, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 110, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 110, District of Columbia, District of Columbia!!Female!!Margin of Error"
"Bachelor's degree or higher","14.6%","±10.9","25.7%","±20.7","8.6%","±8.4","72.8%","±13.8","86.1%","±9.3","62.0%","±22.6","36.4%","±12.9","42.1%","±15.1","28.4%","±15.3","75.1%","±10.8","73.1%","±15.1","76.9%","±11.1"
"Population 65 years and over","145","±56","44","±32","101","±49","482","±84","180","±53","302","±80","378","±108","153","±83","225","±82","845","±154","269","±102","576","±120"
"High school graduate or higher","46.2%","±27.4","43.2%","±37.5","47.5%","±35.0","99.6%","±0.8","98.9%","±2.2","100.0%","±11.7","91.3%","±8.3","100.0%","±21.5","85.3%","±13.8","93.7%","±6.0","100.0%","±13.0","90.8%","±8.3"
"Bachelor's degree or higher","0.0%","±22.5","0.0%","±48.0","0.0%","±30.1","64.5%","±15.1","87.8%","±12.8","50.7%","±19.2","55.3%","±20.0","63.4%","±39.5","49.8%","±19.9","69.6%","±11.7","94.1%","±9.4","58.2%","±15.0"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than high school graduate","34.0%","±15.9","27.7%","±24.0","36.9%","±19.6","56.7%","±52.4","60.0%","±60.0","56.4%","±56.4","55.3%","±26.5","58.0%","±36.0","51.7%","±35.7","31.4%","±40.2","-","**","31.4%","±40.2"
"    High school graduate (includes equivalency)","37.6%","±15.1","10.1%","±17.8","44.7%","±19.2","8.1%","±12.0","15.4%","±23.9","0.0%","±35.0","25.8%","±18.8","30.2%","±26.5","17.9%","±18.7","0.0%","±23.1","0.0%","±79.6","0.0%","±25.5"
"    Some college or associate's degree","23.1%","±14.2","17.6%","±20.9","26.6%","±21.0","12.1%","±11.4","23.8%","±37.8","10.2%","±11.2","8.9%","±10.3","7.5%","±13.2","10.3%","±16.2","0.0%","±8.0","0.0%","±17.0","0.0%","±13.8"
"    Bachelor's degree or higher","12.9%","±13.7","14.7%","±21.2","10.2%","±16.3","3.2%","±3.7","5.4%","±7.2","1.2%","±2.0","2.3%","±2.7","1.7%","±2.6","3.0%","±4.6","4.5%","±2.7","5.3%","±4.8","3.9%","±3.5"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over with earnings","28,500","±12,627","34,464","±41,843","23,571","±16,094","76,168","±12,609","83,333","±7,498","65,524","±14,288","61,683","±10,709","73,939","±8,378","55,030","±5,294","73,097","±15,957","73,145","±27,621","72,981","±15,532"
"    Less than high school graduate","20,417","±7,715","18,056","±10,202","22,083","±68,195","23,698","±380","2,500-","***","-","**","26,397","±92,368","80,104","±141,149","-","**","14,485","±40,910","-","**","14,485","±40,910"
"    High school graduate (includes equivalency)","26,958","±12,591","26,958","±8,666","27,500","±29,265","33,889","±4,631","34,306","±4,684","-","**","37,600","±12,557","32,243","±7,530","42,721","±21,329","-","**","-","**","-","**"
"    Some college or associate's degree","22,317","±21,096","69,667","±47,133","21,167","±11,582","63,092","±34,408","55,000","±69,421","63,092","±34,235","72,878","±53,035","74,572","±2,185","33,417","±5,774","61,610","±24,941","62,415","±30,188","51,636","±29,634"
"    Bachelor's degree","60,962","±32,745","61,827","±56,769","-","**","67,177","±17,233","84,398","±23,765","49,612","±22,511","58,906","±8,759","54,294","±15,177","61,172","±15,176","63,886","±18,829","73,750","±42,215","63,304","±8,691"
"    Graduate or professional degree","59,833","±14,746","96,167","±62,803","58,667","±15,591","91,750","±2,028","96,136","±25,666","91,449","±1,889","83,750","±11,875","87,113","±10,879","59,727","±21,911","80,966","±14,552","74,545","±59,057","81,761","±17,737"
"PERCENT IMPUTED","","","","","","","","","","","","","","","","","","","","","","","",""
"    Educational attainment","7.7%","(X)","(X)","(X)","(X)","(X)","7.6%","(X)","(X)","(X)","(X)","(X)","5.9%","(X)","(X)","(X)","(X)","(X)","2.4%","(X)","(X)","(X)","(X)","(X)"
