"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 102, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 102, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 102, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 102, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 102, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 110, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 110, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 110, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 110, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 110, District of Columbia, District of Columbia!!Female!!Margin of Error"
"Percent high school graduate or higher","74.3%","±6.3","65.8%","±12.9","79.1%","±8.0","95.2%","±3.2","98.7%","±1.7","92.6%","±6.0","93.9%","±3.1","98.8%","±2.1","89.9%","±5.4","99.0%","±1.2","100.0%","±2.5","98.0%","±2.3"
"Percent bachelor's degree or higher","19.4%","±7.9","32.5%","±13.7","12.0%","±6.1","73.8%","±5.8","74.1%","±7.7","73.6%","±8.4","70.8%","±6.4","77.0%","±9.7","65.7%","±7.1","80.9%","±6.2","84.6%","±8.9","77.6%","±7.4"
"Population 25 to 34 years","352","±122","119","±64","233","±79","796","±211","322","±126","474","±165","1,001","±177","300","±125","701","±150","522","±295","301","±245","221","±138"
"    High school graduate or higher","82.4%","±10.1","68.1%","±24.2","89.7%","±13.4","98.7%","±1.9","96.9%","±4.9","100.0%","±7.1","96.8%","±3.9","95.7%","±8.3","97.3%","±4.2","100.0%","±6.5","100.0%","±11.0","100.0%","±14.6"
"    Bachelor's degree or higher","30.4%","±17.2","45.4%","±28.7","22.7%","±14.4","80.2%","±9.7","57.8%","±19.9","95.4%","±5.3","84.6%","±7.5","88.7%","±11.4","82.9%","±10.0","99.4%","±1.8","99.0%","±3.3","100.0%","±14.6"
"Population 35 to 44 years","197","±76","60","±46","137","±79","330","±104","148","±51","182","±69","728","±221","468","±165","260","±119","576","±181","275","±136","301","±132"
"    High school graduate or higher","88.8%","±14.4","73.3%","±37.0","95.6%","±7.6","91.8%","±12.5","100.0%","±20.9","85.2%","±22.2","99.3%","±1.5","99.4%","±1.2","99.2%","±2.4","100.0%","±5.9","100.0%","±11.9","100.0%","±11.0"
"    Bachelor's degree or higher","11.7%","±13.8","38.3%","±34.6","0.0%","±22.3","78.5%","±17.9","100.0%","±20.9","61.0%","±30.6","81.5%","±12.3","80.3%","±13.0","83.5%","±15.9","84.0%","±13.2","76.4%","±26.0","91.0%","±11.2"
"Population 45 to 64 years","539","±100","217","±77","322","±71","598","±95","251","±70","347","±85","818","±158","378","±120","440","±111","1,087","±217","558","±168","529","±141"
"    High school graduate or higher","74.4%","±9.8","73.3%","±18.9","75.2%","±12.1","89.0%","±9.8","99.2%","±1.6","81.6%","±16.5","86.9%","±8.6","100.0%","±8.8","75.7%","±15.3","98.7%","±2.0","100.0%","±6.1","97.4%","±4.1"
"    Bachelor's degree or higher","17.8%","±10.7","30.0%","±20.0","9.6%","±9.7","62.2%","±11.7","75.7%","±11.9","52.4%","±16.7","48.8%","±13.2","70.1%","±17.0","30.5%","±14.1","75.3%","±10.7","73.7%","±14.9","77.1%","±12.0"
"Population 65 years and over","194","±76","69","±48","125","±44","406","±73","175","±66","231","±64","362","±137","172","±102","190","±74","781","±180","264","±102","517","±141"
"    High school graduate or higher","44.3%","±16.0","31.9%","±30.9","51.2%","±25.2","100.0%","±8.3","100.0%","±18.0","100.0%","±14.0","91.2%","±10.5","100.0%","±18.3","83.2%","±20.8","97.8%","±3.7","100.0%","±12.4","96.7%","±5.5"
"    Bachelor's degree or higher","11.9%","±14.0","13.0%","±19.7","11.2%","±12.9","74.6%","±11.1","80.0%","±13.2","70.6%","±17.2","61.0%","±21.7","62.8%","±35.3","59.5%","±24.9","74.0%","±11.6","100.0%","±12.4","60.7%","±15.3"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than high school graduate","45.5%","±18.2","52.2%","±26.5","39.2%","±20.8","37.9%","±44.1","100.0%","±88.8","29.7%","±43.6","76.1%","±23.2","18.8%","±44.3","81.9%","±23.5","0.0%","±55.3","-","**","0.0%","±55.3"
"    High school graduate (includes equivalency)","55.9%","±12.6","56.1%","±22.9","55.8%","±16.8","5.1%","±10.2","6.7%","±12.9","0.0%","±54.4","25.4%","±23.2","9.7%","±17.8","42.6%","±35.5","0.0%","±26.1","-","**","0.0%","±26.1"
"    Some college or associate's degree","39.0%","±16.2","73.2%","±34.5","33.8%","±15.7","5.6%","±5.7","6.9%","±11.2","4.9%","±6.5","0.0%","±10.4","0.0%","±28.5","0.0%","±14.9","3.8%","±6.2","0.0%","±15.2","7.7%","±12.0"
"    Bachelor's degree or higher","26.9%","±19.7","27.2%","±25.6","26.5%","±24.4","1.3%","±2.1","3.2%","±5.0","0.0%","±3.8","1.7%","±1.9","1.8%","±2.7","1.6%","±2.6","2.8%","±2.3","2.5%","±3.1","3.0%","±3.3"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over with earnings","25,743","±3,226","38,203","±23,476","22,200","±7,930","67,716","±11,463","77,284","±14,265","60,194","±18,067","76,333","±13,813","83,438","±14,493","61,875","±9,208","74,375","±15,041","52,050","±32,804","81,675","±8,868"
"        Less than high school graduate","14,306","±2,600","14,167","±3,643","15,625","±43,472","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**"
"        High school graduate (includes equivalency)","25,333","±6,069","27,065","±20,326","23,026","±27,337","37,262","±5,578","37,262","±5,578","-","**","23,810","±4,744","23,750","±62,727","23,929","±11,234","-","**","-","**","-","**"
"        Some college or associate's degree","20,450","±24,341","2,500-","***","21,600","±20,172","44,638","±27,847","43,520","±10,490","65,167","±30,517","35,964","±13,895","77,434","±14,875","28,864","±5,817","77,576","±38,441","34,962","±90,831","90,263","±32,083"
"        Bachelor's degree","50,791","±965","51,694","±23,286","21,875","±45,735","62,303","±15,969","77,121","±16,545","54,000","±19,137","80,077","±30,367","80,192","±38,414","67,364","±40,818","64,464","±22,341","62,375","±34,686","75,568","±24,812"
"        Graduate or professional degree","52,222","±23,444","47,333","±47,078","62,045","±39,454","86,583","±11,966","92,964","±13,586","76,607","±32,343","84,919","±11,807","110,909","±18,574","75,305","±17,199","80,785","±14,166","46,641","±28,953","89,250","±18,447"
"PERCENT IMPUTED","","","","","","","","","","","","","","","","","","","","","","","",""
"    Educational attainment","11.8%","(X)","(X)","(X)","(X)","(X)","3.3%","(X)","(X)","(X)","(X)","(X)","5.4%","(X)","(X)","(X)","(X)","(X)","2.4%","(X)","(X)","(X)","(X)","(X)"
