"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 102, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 102, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 102, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 102, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 102, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 110, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 110, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 110, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 110, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 110, District of Columbia, District of Columbia!!Female!!Margin of Error"
"    High school graduate or higher","92.6%","±9.8","82.7%","±29.6","97.5%","±4.1","94.1%","±9.2","100.0%","±16.3","88.7%","±17.6","98.6%","±2.9","98.9%","±2.4","98.0%","±4.1","100.0%","±8.5","100.0%","±20.2","100.0%","±13.6"
"    Bachelor's degree or higher","22.3%","±16.5","43.9%","±29.3","11.6%","±18.9","82.4%","±14.7","100.0%","±16.3","66.2%","±27.6","83.8%","±12.0","81.8%","±16.1","87.5%","±13.3","89.8%","±11.6","92.9%","±12.5","87.8%","±17.4"
"Population 45 to 64 years","603","±133","207","±75","396","±113","702","±108","310","±72","392","±83","949","±206","472","±153","477","±91","1,244","±237","660","±168","584","±131"
"    High school graduate or higher","68.3%","±12.7","82.1%","±15.2","61.1%","±15.1","91.3%","±8.5","99.4%","±1.4","84.9%","±14.9","92.6%","±5.7","96.2%","±6.0","89.1%","±9.4","99.0%","±1.7","100.0%","±5.2","97.8%","±3.6"
"    Bachelor's degree or higher","11.3%","±7.9","24.6%","±17.1","4.3%","±5.1","65.0%","±10.8","79.0%","±13.1","53.8%","±14.8","38.3%","±13.3","46.4%","±16.6","30.2%","±16.0","71.5%","±10.5","69.1%","±13.2","74.1%","±12.4"
"Population 65 years and over","129","±56","43","±28","86","±42","465","±81","200","±69","265","±60","395","±99","173","±81","222","±69","841","±121","279","±103","562","±128"
"    High school graduate or higher","29.5%","±20.4","41.9%","±34.7","23.3%","±18.9","100.0%","±7.2","100.0%","±16.0","100.0%","±12.4","91.1%","±10.7","100.0%","±18.2","84.2%","±18.3","97.6%","±3.8","100.0%","±11.8","96.4%","±5.7"
"    Bachelor's degree or higher","13.2%","±13.8","14.0%","±22.2","12.8%","±13.6","70.3%","±11.6","82.0%","±14.2","61.5%","±17.0","55.4%","±20.0","66.5%","±35.0","46.8%","±22.7","71.8%","±10.9","94.3%","±8.4","60.7%","±14.8"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than high school graduate","48.5%","±14.5","47.3%","±28.5","49.1%","±17.6","37.2%","±41.7","100.0%","±92.8","28.9%","±42.4","70.2%","±27.1","71.0%","±53.5","70.0%","±33.1","0.0%","±53.6","-","**","0.0%","±53.6"
"    High school graduate (includes equivalency)","52.4%","±16.5","41.5%","±32.8","55.3%","±19.7","8.2%","±10.8","12.4%","±16.4","0.0%","±40.8","26.8%","±21.7","25.7%","±27.5","28.2%","±23.9","0.0%","±22.2","0.0%","±76.9","0.0%","±24.6"
"    Some college or associate's degree","35.2%","±16.6","27.2%","±22.6","40.1%","±21.7","9.5%","±8.9","15.0%","±24.1","8.0%","±8.8","10.0%","±12.3","10.4%","±22.9","9.8%","±14.4","0.0%","±7.3","0.0%","±15.0","0.0%","±13.2"
"    Bachelor's degree or higher","20.2%","±16.5","18.8%","±21.4","22.8%","±23.6","0.6%","±0.8","0.0%","±4.7","1.0%","±1.4","0.8%","±1.2","1.6%","±2.4","0.0%","±3.3","3.9%","±3.0","4.0%","±4.9","3.9%","±3.5"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over with earnings","26,227","±7,287","46,136","±24,444","21,121","±3,694","73,604","±9,290","85,319","±8,821","62,933","±16,352","65,365","±13,872","76,620","±11,977","56,429","±8,209","71,417","±16,722","61,875","±27,300","77,536","±9,107"
"        Less than high school graduate","19,250","±3,897","18,563","±6,610","20,625","±9,498","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**"
"        High school graduate (includes equivalency)","24,271","±20,407","27,067","±10,739","11,042","±17,584","36,339","±20,846","37,411","±7,227","-","**","32,679","±27,209","34,286","±51,262","30,893","±34,258","-","**","-","**","-","**"
"        Some college or associate's degree","22,250","±13,635","71,827","±58,775","21,336","±8,354","62,500","±47,971","34,345","±64,303","63,750","±33,760","34,932","±4,710","74,375","±34,350","32,804","±6,507","75,417","±27,347","75,703","±23,257","56,442","±47,346"
"        Bachelor's degree","53,654","±6,106","54,423","±11,358","-","**","67,750","±14,383","85,714","±9,130","62,717","±27,816","66,303","±18,865","60,982","±30,641","66,755","±32,915","61,154","±25,918","59,950","±39,610","61,645","±19,019"
"        Graduate or professional degree","57,679","±21,969","51,042","±77,942","58,304","±27,216","91,019","±11,933","92,778","±25,059","90,143","±45,384","78,088","±12,761","86,611","±8,872","59,271","±21,237","80,528","±11,709","50,750","±47,376","82,098","±14,676"
"PERCENT IMPUTED","","","","","","","","","","","","","","","","","","","","","","","",""
"    Educational attainment","8.4%","(X)","(X)","(X)","(X)","(X)","3.9%","(X)","(X)","(X)","(X)","(X)","8.0%","(X)","(X)","(X)","(X)","(X)","0.9%","(X)","(X)","(X)","(X)","(X)"
