"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent Male!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent Male!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent Female!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent Female!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Percent Male!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Percent Male!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Percent Female!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Percent Female!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Percent Male!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Percent Male!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Percent Female!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Percent Female!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent Male!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent Male!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent Female!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent Female!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Percent Male!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Percent Male!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Percent Female!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Percent Female!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Percent Male!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Percent Male!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Percent Female!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Percent Female!!Margin of Error"
"        Some college, no degree","171","±90","9.6%","±4.7","62","±50","7.6%","±6.1","109","±73","11.3%","±6.7","179","±98","8.3%","±4.3","57","±49","4.5%","±3.8","122","±73","13.6%","±7.5","267","±231","16.5%","±12.7","68","±52","9.3%","±6.9","199","±226","22.5%","±21.7","235","±126","7.0%","±3.9","92","±84","5.8%","±5.4","143","±102","8.0%","±5.5","128","±77","5.6%","±3.6","47","±56","4.4%","±5.5","81","±62","6.7%","±5.5","160","±97","11.2%","±6.5","63","±45","10.1%","±6.8","97","±87","12.1%","±10.5"
"        Associate's degree","29","±28","1.6%","±1.5","18","±21","2.2%","±2.6","11","±19","1.1%","±1.9","100","±121","4.6%","±5.5","100","±121","7.9%","±9.1","0","±14","0.0%","±4.9","22","±32","1.4%","±2.0","3","±5","0.4%","±0.7","19","±31","2.1%","±3.4","133","±122","3.9%","±3.6","93","±113","5.8%","±6.9","40","±45","2.2%","±2.5","62","±90","2.7%","±3.9","62","±90","5.8%","±8.5","0","±14","0.0%","±3.6","25","±34","1.8%","±2.4","25","±34","4.0%","±5.4","0","±14","0.0%","±5.4"
"        Bachelor's degree","494","±142","27.7%","±6.2","286","±104","35.0%","±9.7","208","±117","21.5%","±10.1","862","±219","39.9%","±8.6","590","±195","46.8%","±13.3","272","±110","30.3%","±10.5","579","±180","35.8%","±10.5","270","±106","36.7%","±12.7","309","±142","35.0%","±15.9","894","±294","26.5%","±8.4","512","±195","32.0%","±10.9","382","±161","21.5%","±9.1","758","±283","33.2%","±10.0","328","±188","30.7%","±15.7","430","±219","35.4%","±13.3","282","±102","19.8%","±6.9","134","±82","21.5%","±10.8","148","±71","18.4%","±9.0"
"        Graduate or professional degree","254","±98","14.2%","±5.5","149","±72","18.3%","±7.8","105","±66","10.8%","±7.0","989","±186","45.8%","±7.6","506","±178","40.1%","±11.7","483","±146","53.8%","±10.6","628","±164","38.8%","±10.2","335","±123","45.6%","±13.8","293","±102","33.1%","±12.8","1,561","±525","46.2%","±11.6","717","±267","44.9%","±13.3","844","±313","47.4%","±12.9","879","±286","38.5%","±12.4","413","±190","38.6%","±15.4","466","±235","38.3%","±17.6","838","±166","58.7%","±9.5","377","±100","60.4%","±12.2","461","±114","57.4%","±12.9"
"        High school graduate or higher","1,264","±233","70.9%","±7.2","640","±175","78.4%","±12.1","624","±185","64.5%","±10.1","2,139","±265","99.0%","±1.4","1,262","±256","100.0%","±3.5","877","±196","97.7%","±3.4","1,541","±289","95.2%","±4.4","710","±149","96.6%","±3.5","831","±258","94.0%","±5.8","3,080","±508","91.2%","±4.7","1,487","±310","93.1%","±5.0","1,593","±304","89.5%","±5.6","2,144","±521","93.8%","±5.0","1,044","±312","97.7%","±3.7","1,100","±332","90.5%","±8.8","1,409","±182","98.7%","±1.9","624","±145","100.0%","±7.0","785","±121","97.8%","±3.4"
"        Bachelor's degree or higher","748","±168","41.9%","±7.2","435","±131","53.3%","±10.3","313","±118","32.3%","±9.5","1,851","±257","85.7%","±7.1","1,096","±237","86.8%","±10.3","755","±180","84.1%","±7.7","1,207","±219","74.6%","±12.6","605","±138","82.3%","±9.3","602","±176","68.1%","±21.1","2,455","±552","72.7%","±8.6","1,229","±307","76.9%","±10.9","1,226","±310","68.9%","±9.2","1,637","±382","71.6%","±12.5","741","±273","69.3%","±18.4","896","±285","73.7%","±12.7","1,120","±175","78.5%","±8.6","511","±129","81.9%","±9.1","609","±116","75.8%","±13.0"
"    Population 25 to 34 years","614","±201","(X)","(X)","319","±122","(X)","(X)","295","±134","(X)","(X)","1,049","±219","(X)","(X)","593","±182","(X)","(X)","456","±142","(X)","(X)","567","±279","(X)","(X)","164","±95","(X)","(X)","403","±249","(X)","(X)","1,277","±320","(X)","(X)","631","±190","(X)","(X)","646","±220","(X)","(X)","906","±375","(X)","(X)","530","±273","(X)","(X)","376","±229","(X)","(X)","271","±137","(X)","(X)","199","±83","(X)","(X)","72","±62","(X)","(X)"
"        High school graduate or higher","482","±160","78.5%","±13.0","249","±101","78.1%","±20.7","233","±117","79.0%","±20.1","1,049","±219","100.0%","±4.2","593","±182","100.0%","±7.3","456","±142","100.0%","±9.4","567","±279","100.0%","±7.6","164","±95","100.0%","±23.7","403","±249","100.0%","±10.6","1,187","±309","93.0%","±6.0","566","±188","89.7%","±9.1","621","±215","96.1%","±5.0","906","±375","100.0%","±4.8","530","±273","100.0%","±8.1","376","±229","100.0%","±11.3","271","±137","100.0%","±15.3","199","±83","100.0%","±20.1","72","±62","100.0%","±41.1"
"        Bachelor's degree or higher","400","±139","65.1%","±12.8","198","±79","62.1%","±18.7","202","±107","68.5%","±21.5","996","±224","94.9%","±4.9","584","±183","98.5%","±2.6","412","±142","90.4%","±9.7","375","±180","66.1%","±29.9","164","±95","100.0%","±23.7","211","±125","52.4%","±36.4","1,118","±301","87.5%","±9.1","509","±182","80.7%","±14.2","609","±215","94.3%","±6.1","845","±377","93.3%","±10.2","469","±275","88.5%","±17.2","376","±229","100.0%","±11.3","236","±134","87.1%","±15.6","164","±77","82.4%","±19.3","72","±62","100.0%","±41.1"
"    Population 35 to 44 years","393","±148","(X)","(X)","237","±126","(X)","(X)","156","±84","(X)","(X)","527","±225","(X)","(X)","366","±215","(X)","(X)","161","±84","(X)","(X)","342","±110","(X)","(X)","242","±116","(X)","(X)","100","±62","(X)","(X)","1,020","±499","(X)","(X)","436","±237","(X)","(X)","584","±303","(X)","(X)","274","±164","(X)","(X)","87","±58","(X)","(X)","187","±134","(X)","(X)","218","±109","(X)","(X)","82","±56","(X)","(X)","136","±84","(X)","(X)"
"        High school graduate or higher","308","±136","78.4%","±15.8","185","±107","78.1%","±21.9","123","±81","78.8%","±23.2","527","±225","100.0%","±8.2","366","±215","100.0%","±11.6","161","±84","100.0%","±24.0","287","±125","83.9%","±17.3","217","±126","89.7%","±13.2","70","±53","70.0%","±28.4","911","±484","89.3%","±9.0","413","±228","94.7%","±8.4","498","±291","85.3%","±13.7","274","±164","100.0%","±15.1","87","±58","100.0%","±37.4","187","±134","100.0%","±21.2","218","±109","100.0%","±18.5","82","±56","100.0%","±38.5","136","±84","100.0%","±27.5"
"        Bachelor's degree or higher","145","±97","36.9%","±19.3","106","±89","44.7%","±26.3","39","±36","25.0%","±22.4","400","±169","75.9%","±21.1","239","±152","65.3%","±28.2","161","±84","100.0%","±24.0","244","±119","71.3%","±19.3","193","±112","79.8%","±18.3","51","±42","51.0%","±30.0","879","±484","86.2%","±10.3","413","±228","94.7%","±8.4","466","±290","79.8%","±16.0","274","±164","100.0%","±15.1","87","±58","100.0%","±37.4","187","±134","100.0%","±21.2","151","±73","69.3%","±26.8","56","±50","68.3%","±39.6","95","±50","69.9%","±37.4"
"    Population 45 to 64 years","420","±122","(X)","(X)","130","±79","(X)","(X)","290","±102","(X)","(X)","349","±175","(X)","(X)","195","±111","(X)","(X)","154","±83","(X)","(X)","366","±124","(X)","(X)","211","±97","(X)","(X)","155","±74","(X)","(X)","793","±205","(X)","(X)","407","±152","(X)","(X)","386","±122","(X)","(X)","844","±371","(X)","(X)","342","±220","(X)","(X)","502","±180","(X)","(X)","507","±98","(X)","(X)","218","±70","(X)","(X)","289","±75","(X)","(X)"
"        High school graduate or higher","259","±113","61.7%","±17.7","105","±80","80.8%","±20.2","154","±78","53.1%","±20.7","348","±175","99.7%","±1.0","195","±111","100.0%","±20.4","153","±83","99.4%","±2.3","353","±123","96.4%","±5.9","211","±97","100.0%","±19.1","142","±73","91.6%","±13.7","715","±204","90.2%","±7.3","384","±154","94.3%","±9.3","331","±124","85.8%","±12.2","779","±374","92.3%","±9.2","317","±223","92.7%","±13.0","462","±183","92.0%","±11.7","507","±98","100.0%","±8.5","218","±70","100.0%","±18.5","289","±75","100.0%","±14.4"
"        Bachelor's degree or higher","113","±84","26.9%","±16.0","72","±69","55.4%","±32.8","41","±39","14.1%","±12.8","316","±159","90.5%","±12.4","195","±111","100.0%","±20.4","121","±75","78.6%","±28.2","285","±110","77.9%","±12.1","150","±89","71.1%","±21.3","135","±74","87.1%","±13.2","335","±111","42.2%","±12.5","213","±85","52.3%","±24.6","122","±67","31.6%","±15.5","387","±160","45.9%","±22.0","97","±64","28.4%","±25.0","290","±139","57.8%","±24.9","417","±121","82.2%","±14.0","182","±68","83.5%","±17.3","235","±96","81.3%","±19.8"
"    Population 65 years and over","357","±105","(X)","(X)","130","±61","(X)","(X)","227","±86","(X)","(X)","235","±138","(X)","(X)","108","±97","(X)","(X)","127","±86","(X)","(X)","344","±152","(X)","(X)","118","±64","(X)","(X)","226","±137","(X)","(X)","287","±88","(X)","(X)","124","±71","(X)","(X)","163","±73","(X)","(X)","261","±122","(X)","(X)","110","±67","(X)","(X)","151","±107","(X)","(X)","431","±104","(X)","(X)","125","±74","(X)","(X)","306","±87","(X)","(X)"
"        High school graduate or higher","215","±84","60.2%","±15.5","101","±54","77.7%","±23.2","114","±57","50.2%","±19.0","215","±134","91.5%","±13.7","108","±97","100.0%","±32.7","107","±81","84.3%","±23.9","334","±151","97.1%","±5.2","118","±64","100.0%","±30.7","216","±135","95.6%","±8.2","267","±81","93.0%","±10.6","124","±71","100.0%","±29.6","143","±62","87.7%","±17.7","185","±100","70.9%","±29.4","110","±67","100.0%","±32.2","75","±63","49.7%","±39.0","413","±107","95.8%","±6.3","125","±74","100.0%","±29.4","288","±88","94.1%","±8.8"
"        Bachelor's degree or higher","90","±61","25.2%","±15.4","59","±42","45.4%","±24.6","31","±27","13.7%","±12.7","139","±110","59.1%","±28.9","78","±90","72.2%","±36.9","61","±59","48.0%","±34.0","303","±158","88.1%","±11.9","98","±59","83.1%","±24.1","205","±135","90.7%","±11.0","123","±78","42.9%","±23.7","94","±63","75.8%","±24.4","29","±34","17.8%","±22.5","131","±80","50.2%","±27.3","88","±55","80.0%","±29.1","43","±49","28.5%","±32.5","316","±92","73.3%","±15.8","109","±67","87.2%","±18.4","207","±72","67.6%","±20.7"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    White alone","467","±118","(X)","(X)","302","±98","(X)","(X)","165","±67","(X)","(X)","1,184","±261","(X)","(X)","690","±205","(X)","(X)","494","±146","(X)","(X)","864","±193","(X)","(X)","421","±133","(X)","(X)","443","±146","(X)","(X)","1,874","±454","(X)","(X)","898","±254","(X)","(X)","976","±249","(X)","(X)","1,409","±491","(X)","(X)","696","±264","(X)","(X)","713","±288","(X)","(X)","1,011","±227","(X)","(X)","479","±145","(X)","(X)","532","±137","(X)","(X)"
"        High school graduate or higher","467","±118","100.0%","±9.2","302","±98","100.0%","±13.8","165","±67","100.0%","±23.6","1,184","±261","100.0%","±3.7","690","±205","100.0%","±6.3","494","±146","100.0%","±8.7","864","±193","100.0%","±5.1","421","±133","100.0%","±10.1","443","±146","100.0%","±9.7","1,819","±468","97.1%","±3.3","863","±249","96.1%","±5.5","956","±263","98.0%","±3.6","1,409","±491","100.0%","±3.1","696","±264","100.0%","±6.3","713","±288","100.0%","±6.1","993","±228","98.2%","±2.7","479","±145","100.0%","±9.0","514","±136","96.6%","±5.1"
"        Bachelor's degree or higher","432","±115","92.5%","±6.5","278","±100","92.1%","±8.1","154","±67","93.3%","±8.6","1,105","±254","93.3%","±6.5","652","±207","94.5%","±6.4","453","±137","91.7%","±7.9","765","±185","88.5%","±6.5","394","±133","93.6%","±7.4","371","±146","83.7%","±11.7","1,683","±490","89.8%","±6.7","822","±250","91.5%","±7.4","861","±287","88.2%","±9.8","1,128","±317","80.1%","±18.9","512","±195","73.6%","±24.0","616","±222","86.4%","±15.7","843","±210","83.4%","±9.0","452","±136","94.4%","±6.0","391","±117","73.5%","±15.7"
"    White alone, not Hispanic or Latino","467","±118","(X)","(X)","302","±98","(X)","(X)","165","±67","(X)","(X)","1,046","±253","(X)","(X)","565","±171","(X)","(X)","481","±146","(X)","(X)","819","±204","(X)","(X)","405","±135","(X)","(X)","414","±151","(X)","(X)","1,758","±453","(X)","(X)","860","±255","(X)","(X)","898","±245","(X)","(X)","1,005","±324","(X)","(X)","512","±203","(X)","(X)","493","±178","(X)","(X)","979","±209","(X)","(X)","447","±131","(X)","(X)","532","±137","(X)","(X)"
