"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Native; born in state of residence!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Native; born in other state in the U.S.!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Native; born outside U.S.!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Native; born in state of residence!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Native; born in other state in the U.S.!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Native; born outside U.S.!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Native; born in state of residence!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Native; born in other state in the U.S.!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Native; born outside U.S.!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Native; born in state of residence!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Native; born in other state in the U.S.!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Native; born outside U.S.!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Native; born in state of residence!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Native; born in other state in the U.S.!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Native; born outside U.S.!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Native; born in state of residence!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Native; born in other state in the U.S.!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Native; born outside U.S.!!Estimate"
"        Graduate or professional degree","10.9%","2.2%","20.2%","44.8%","44.4%","7.7%","51.6%","0.0%","42.7%","41.0%","47.9%","0.0%","41.2%","1.7%","51.9%","6.2%","40.4%","15.4%","42.6%","56.2%","51.2%","35.4%","51.4%","100.0%"
"INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 15 years and over","1,943","971","835","29","2,158","284","1,510","72","1,460","98","1,075","47","3,582","867","2,142","67","2,329","313","1,819","73","1,760","312","1,193","15"
"        $1 to $9,999 or loss","27.4%","40.4%","14.7%","0.0%","1.3%","0.0%","1.3%","0.0%","7.4%","24.5%","7.8%","0.0%","10.9%","32.4%","5.0%","0.0%","7.5%","5.1%","8.7%","0.0%","7.4%","4.5%","9.7%","0.0%"
"        $10,000 to $14,999","11.6%","14.7%","6.2%","55.2%","4.3%","12.3%","2.3%","33.3%","1.3%","0.0%","1.6%","4.3%","5.8%","2.0%","4.7%","73.1%","4.4%","21.4%","2.0%","0.0%","2.2%","0.0%","3.3%","0.0%"
"        $15,000 to $24,999","11.1%","7.5%","11.9%","0.0%","4.3%","0.0%","6.2%","0.0%","12.7%","0.0%","17.3%","0.0%","3.5%","11.4%","0.5%","0.0%","4.5%","0.0%","5.2%","0.0%","5.3%","0.0%","4.6%","0.0%"
"        $25,000 to $34,999","6.4%","11.8%","1.1%","0.0%","3.7%","12.0%","2.3%","0.0%","5.7%","0.0%","7.7%","0.0%","1.1%","2.9%","0.0%","0.0%","6.5%","20.1%","4.8%","0.0%","7.4%","0.0%","6.6%","0.0%"
"        $35,000 to $49,999","5.5%","2.0%","10.4%","0.0%","9.5%","31.0%","3.7%","23.6%","4.2%","0.0%","3.9%","0.0%","9.1%","12.9%","8.6%","3.0%","12.5%","11.2%","12.4%","43.8%","4.9%","7.7%","5.2%","0.0%"
"        $50,000 to $64,999","4.1%","3.7%","5.3%","0.0%","9.3%","8.1%","9.2%","0.0%","8.8%","6.1%","8.7%","14.9%","7.2%","3.3%","5.9%","17.9%","15.5%","3.2%","18.0%","0.0%","10.7%","23.4%","9.7%","0.0%"
"        $65,000 to $74,999","7.7%","2.8%","13.2%","44.8%","9.3%","0.0%","11.9%","0.0%","9.8%","8.2%","1.7%","59.6%","14.3%","10.3%","19.8%","0.0%","8.3%","6.4%","8.2%","0.0%","12.3%","21.2%","7.3%","0.0%"
"        $75,000 or more","18.5%","4.7%","33.7%","0.0%","52.8%","36.6%","61.7%","43.1%","45.3%","44.9%","49.2%","21.3%","41.8%","2.3%","55.5%","6.0%","38.2%","20.4%","39.5%","56.2%","45.3%","43.3%","48.7%","100.0%"
"        Median income (dollars)","21,662","10,768","61,875","-","79,030","47,794","83,030","-","70,203","97,969","75,208","71,295","71,845","-","81,972","-","63,762","32,038","64,016","85,662","72,442","-","75,734","-"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population for whom poverty status is determined","2,461","1,439","885","29","2,297","423","1,510","72","1,687","105","1,295","47","3,927","1,156","2,172","93","2,345","329","1,819","73","1,712","312","1,156","15"
"        Below 100 percent of the poverty level","38.9%","54.8%","15.6%","55.2%","5.2%","4.3%","2.3%","0.0%","6.0%","23.8%","4.6%","4.3%","20.1%","45.8%","8.7%","52.7%","4.8%","11.2%","4.1%","0.0%","7.0%","0.0%","8.7%","0.0%"
"        100 to 149 percent of the poverty level","10.0%","11.5%","8.0%","0.0%","3.6%","4.0%","2.7%","33.3%","15.1%","0.0%","19.6%","0.0%","1.6%","1.0%","1.4%","0.0%","0.8%","0.0%","1.0%","0.0%","2.0%","0.0%","2.9%","0.0%"
"        At or above 150 percent of the poverty level","51.2%","33.8%","76.4%","44.8%","91.2%","91.7%","95.0%","66.7%","78.9%","76.2%","75.8%","95.7%","78.3%","53.2%","89.9%","47.3%","94.5%","88.8%","94.9%","100.0%","91.1%","100.0%","88.4%","100.0%"
"PERCENT ALLOCATED","","","","","","","","","","","","","","","","","","","","","","","",""
"    Citizenship status","12.6%","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","10.9%","(X)","(X)","(X)","8.2%","(X)","(X)","(X)","4.1%","(X)","(X)","(X)","5.5%","(X)","(X)","(X)"
"    Place of birth","14.6%","(X)","(X)","(X)","4.4%","(X)","(X)","(X)","12.8%","(X)","(X)","(X)","8.7%","(X)","(X)","(X)","4.9%","(X)","(X)","(X)","6.5%","(X)","(X)","(X)"
