"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Native; born in state of residence!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Native; born in other state in the U.S.!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Native; born outside U.S.!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Native; born in state of residence!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Native; born in other state in the U.S.!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Native; born outside U.S.!!Estimate"
"        Widowed","6.9%","6.8%","6.0%","63.6%","1.8%","2.7%","2.1%","0.0%"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","1,282","776","400","22","2,909","349","1,920","128"
"        Less than high school graduate","25.7%","31.8%","15.3%","0.0%","6.1%","16.6%","4.8%","0.0%"
"        High school graduate (includes equivalency)","30.4%","36.1%","22.5%","36.4%","12.2%","31.2%","9.7%","39.8%"
"        Some college or associate's degree","24.4%","22.4%","30.8%","63.6%","10.9%","14.3%","11.4%","0.0%"
"        Bachelor's degree","10.1%","4.0%","19.5%","0.0%","37.0%","27.5%","40.5%","14.8%"
"        Graduate or professional degree","9.3%","5.7%","12.0%","0.0%","33.8%","10.3%","33.6%","45.3%"
"INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)","","","","","","","",""
"    Population 15 years and over","1,611","1,033","453","22","3,312","486","2,176","128"
"        $1 to $9,999 or loss","39.2%","49.6%","24.7%","36.4%","9.5%","17.3%","8.2%","8.6%"
"        $10,000 to $14,999","8.3%","8.8%","6.0%","0.0%","2.1%","4.3%","2.3%","0.0%"
"        $15,000 to $24,999","9.2%","6.0%","14.6%","63.6%","7.9%","23.5%","4.5%","0.0%"
"        $25,000 to $34,999","9.6%","5.2%","18.3%","0.0%","7.0%","2.7%","7.7%","0.0%"
"        $35,000 to $49,999","7.1%","9.3%","4.0%","0.0%","12.5%","3.5%","15.0%","21.1%"
"        $50,000 to $64,999","6.0%","2.8%","11.5%","0.0%","9.4%","4.1%","13.0%","0.0%"
"        $65,000 to $74,999","0.4%","0.6%","0.0%","0.0%","5.2%","0.0%","4.7%","13.3%"
"        $75,000 or more","3.5%","0.0%","8.4%","0.0%","38.2%","18.1%","40.8%","17.2%"
"Median income (dollars)","11,750","9,242","23,250","-","60,308","19,514","61,038","72,574"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","",""
"    Population for whom poverty status is determined","1,986","1,366","495","22","3,427","579","2,198","128"
"        Below 100 percent of the poverty level","47.0%","52.9%","34.7%","36.4%","9.5%","17.6%","6.9%","39.8%"
"        100 to 149 percent of the poverty level","22.2%","24.6%","16.6%","0.0%","6.2%","16.2%","5.4%","0.0%"
"        At or above 150 percent of the poverty level","30.9%","22.5%","48.7%","63.6%","84.3%","66.1%","87.7%","60.2%"
"PERCENT IMPUTED","","","","","","","",""
"    Citizenship status","5.8%","(X)","(X)","(X)","4.0%","(X)","(X)","(X)"
"    Place of birth","9.5%","(X)","(X)","(X)","9.3%","(X)","(X)","(X)"
