"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Native; born in state of residence!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Native; born in other state in the U.S.!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Native; born outside U.S.!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Native; born in state of residence!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Native; born in other state in the U.S.!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Native; born outside U.S.!!Estimate"
"        Divorced or separated","11.1%","10.9%","11.7%","0.0%","9.0%","13.9%","9.4%","0.0%"
"        Widowed","6.0%","6.2%","6.4%","8.3%","0.7%","0.0%","0.0%","17.5%"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","1,592","842","594","60","2,905","350","1,879","126"
"        Less than high school graduate","24.0%","31.4%","15.0%","0.0%","5.8%","14.0%","2.7%","17.5%"
"        High school graduate (includes equivalency)","27.9%","37.6%","16.3%","23.3%","6.3%","25.4%","3.1%","23.8%"
"        Some college or associate's degree","24.6%","25.3%","21.0%","76.7%","15.6%","32.9%","14.3%","0.0%"
"        Bachelor's degree","18.5%","3.6%","40.2%","0.0%","36.6%","17.1%","40.4%","30.2%"
"        Graduate or professional degree","5.0%","2.1%","7.4%","0.0%","35.8%","10.6%","39.5%","28.6%"
"INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)","","","","","","","",""
"    Population 15 years and over","1,988","1,162","652","60","3,263","497","2,080","126"
"        $1 to $9,999 or loss","30.9%","39.9%","17.6%","60.0%","12.0%","20.5%","9.9%","8.7%"
"        $10,000 to $14,999","6.5%","7.1%","3.7%","0.0%","1.2%","0.0%","1.4%","0.0%"
"        $15,000 to $24,999","11.4%","9.8%","14.7%","8.3%","4.6%","10.9%","0.0%","0.0%"
"        $25,000 to $34,999","9.8%","10.4%","8.1%","0.0%","3.6%","8.7%","3.3%","0.0%"
"        $35,000 to $49,999","5.7%","3.7%","10.9%","0.0%","13.4%","11.9%","14.0%","36.5%"
"        $50,000 to $64,999","5.4%","4.4%","7.7%","0.0%","9.3%","0.0%","11.5%","12.7%"
"        $65,000 to $74,999","2.3%","0.0%","6.9%","0.0%","7.0%","3.6%","7.5%","0.0%"
"        $75,000 or more","9.9%","0.8%","21.5%","31.7%","38.7%","16.3%","45.5%","18.3%"
"Median income (dollars)","17,130","9,800","38,906","-","65,625","30,272","69,449","42,011"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","",""
"    Population for whom poverty status is determined","2,455","1,532","749","60","3,520","716","2,118","126"
"        Below 100 percent of the poverty level","44.8%","53.9%","27.4%","60.0%","17.4%","42.0%","10.5%","23.8%"
"        100 to 149 percent of the poverty level","17.6%","22.9%","8.1%","0.0%","1.6%","3.6%","1.4%","0.0%"
"        At or above 150 percent of the poverty level","37.6%","23.2%","64.5%","40.0%","81.1%","54.3%","88.1%","76.2%"
"PERCENT ALLOCATED","","","","","","","",""
"    Citizenship status","4.4%","(X)","(X)","(X)","4.7%","(X)","(X)","(X)"
"    Place of birth","6.7%","(X)","(X)","(X)","7.3%","(X)","(X)","(X)"
