"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Below poverty level!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Below poverty level!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent below poverty level!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent below poverty level!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Below poverty level!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Below poverty level!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent below poverty level!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent below poverty level!!Margin of Error"
"    150 percent of poverty level","1,373","±307","(X)","(X)","(X)","(X)","539","±159","(X)","(X)","(X)","(X)"
"    185 percent of poverty level","1,436","±292","(X)","(X)","(X)","(X)","579","±157","(X)","(X)","(X)","(X)"
"    200 percent of poverty level","1,564","±258","(X)","(X)","(X)","(X)","624","±180","(X)","(X)","(X)","(X)"
"Unrelated individuals for whom poverty status is determined","531","±108","253","±86","47.6%","±12.0","2,026","±254","275","±101","13.6%","±4.8"
"    Male","267","±85","160","±76","59.9%","±16.6","931","±225","66","±52","7.1%","±5.5"
"    Female","264","±79","93","±49","35.2%","±15.1","1,095","±202","209","±100","19.1%","±8.7"
"Mean income deficit for unrelated individuals (dollars)","6,570","±1,653","(X)","(X)","(X)","(X)","8,809","±1,617","(X)","(X)","(X)","(X)"
"Worked full-time, year-round in the past 12 months","206","±70","0","±12","0.0%","±15.6","1,356","±218","0","±12","0.0%","±2.5"
"Worked less than full-time, year-round in the past 12 months","48","±43","40","±39","83.3%","±22.6","249","±115","43","±40","17.3%","±16.3"
"Did not work","277","±83","213","±82","76.9%","±14.8","421","±148","232","±107","55.1%","±18.6"
"PERCENT IMPUTED","","","","","","","","","","","",""
"    Poverty status for individuals","46.3%","(X)","(X)","(X)","(X)","(X)","23.3%","(X)","(X)","(X)","(X)","(X)"
