"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Below poverty level!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Below poverty level!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent below poverty level!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent below poverty level!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Below poverty level!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Below poverty level!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent below poverty level!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent below poverty level!!Margin of Error"
"        Bachelor's degree or higher","374","±117","38","±28","10.2%","±8.1","2,101","±284","125","±76","5.9%","±3.7"
"EMPLOYMENT STATUS","","","","","","","","","","","",""
"    Civilian labor force 16 years and over","975","±145","242","±92","24.8%","±9.4","2,496","±281","151","±76","6.0%","±3.3"
"        Employed","823","±144","97","±42","11.8%","±5.9","2,279","±292","69","±47","3.0%","±2.2"
"            Male","328","±87","22","±16","6.7%","±5.4","1,277","±227","18","±31","1.4%","±2.5"
"            Female","495","±99","75","±38","15.2%","±7.8","1,002","±199","51","±35","5.1%","±3.7"
"        Unemployed","152","±84","145","±83","95.4%","±8.7","217","±93","82","±58","37.8%","±21.5"
"            Male","105","±72","105","±72","100.0%","±26.1","79","±60","24","±29","30.4%","±38.7"
"            Female","47","±41","40","±39","85.1%","±27.5","138","±74","58","±49","42.0%","±29.9"
"WORK EXPERIENCE","","","","","","","","","","","",""
"    Population 16 years and over","1,944","±274","783","±200","40.3%","±9.2","3,226","±277","515","±162","16.0%","±5.4"
"        Worked full-time, year-round in the past 12 months","637","±151","19","±18","3.0%","±3.2","1,888","±263","23","±23","1.2%","±1.2"
"        Worked part-time or part-year in the past 12 months","292","±95","147","±60","50.3%","±15.0","556","±155","63","±51","11.3%","±9.2"
"        Did not work","1,015","±244","617","±172","60.8%","±14.4","782","±192","429","±150","54.9%","±16.9"
"ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","","","","","","","",""
"    50 percent of poverty level","471","±172","(X)","(X)","(X)","(X)","264","±121","(X)","(X)","(X)","(X)"
"    125 percent of poverty level","1,299","±320","(X)","(X)","(X)","(X)","640","±214","(X)","(X)","(X)","(X)"
"    150 percent of poverty level","1,532","±317","(X)","(X)","(X)","(X)","666","±212","(X)","(X)","(X)","(X)"
"    185 percent of poverty level","1,606","±323","(X)","(X)","(X)","(X)","676","±213","(X)","(X)","(X)","(X)"
"    200 percent of poverty level","1,622","±322","(X)","(X)","(X)","(X)","718","±221","(X)","(X)","(X)","(X)"
"    300 percent of poverty level","1,869","±299","(X)","(X)","(X)","(X)","1,045","±304","(X)","(X)","(X)","(X)"
"    400 percent of poverty level","2,006","±315","(X)","(X)","(X)","(X)","1,434","±273","(X)","(X)","(X)","(X)"
"    500 percent of poverty level","2,107","±310","(X)","(X)","(X)","(X)","1,704","±260","(X)","(X)","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","658","±122","221","±67","33.6%","±8.8","1,910","±254","401","±141","21.0%","±7.0"
"    Male","322","±86","124","±53","38.5%","±13.3","1,017","±224","156","±103","15.3%","±10.3"
"    Female","336","±93","97","±45","28.9%","±10.5","893","±179","245","±98","27.4%","±10.0"
"15 years","0","±12","0","±12","-","**","0","±12","0","±12","-","**"
"16 to 17 years","0","±12","0","±12","-","**","0","±12","0","±12","-","**"
"18 to 24 years","16","±19","3","±6","18.8%","±45.6","214","±149","50","±45","23.4%","±25.6"
"25 to 34 years","150","±85","4","±8","2.7%","±6.0","565","±194","73","±64","12.9%","±9.5"
"35 to 44 years","66","±51","8","±13","12.1%","±21.3","373","±165","15","±26","4.0%","±7.4"
"45 to 54 years","122","±61","64","±41","52.5%","±24.5","159","±101","44","±51","27.7%","±27.6"
"55 to 64 years","156","±51","71","±42","45.5%","±23.6","354","±120","128","±72","36.2%","±18.5"
"65 to 74 years","84","±51","42","±47","50.0%","±34.5","126","±68","34","±39","27.0%","±27.2"
"75 years and over","64","±31","29","±23","45.3%","±26.9","119","±107","57","±78","47.9%","±52.1"
"Mean income deficit for unrelated individuals (dollars)","6,719","±1,410","(X)","(X)","(X)","(X)","7,596","±1,326","(X)","(X)","(X)","(X)"
"Worked full-time, year-round in the past 12 months","301","±102","8","±13","2.7%","±4.9","1,160","±232","0","±12","0.0%","±2.8"
"Worked less than full-time, year-round in the past 12 months","85","±52","36","±34","42.4%","±30.6","258","±104","63","±51","24.4%","±17.0"
"Did not work","272","±72","177","±60","65.1%","±13.3","492","±146","338","±130","68.7%","±18.7"
