"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Number!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Number!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Number!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Number!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Number!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Number!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Number!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Number!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Number!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Number!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Number!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Number!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error"
"        Less than high school graduate","150","±83","20","±32","42.6%","±50.1","133","±208","100.0%","±73.6","0","±13","0","±13","-","**","-","**","-","**","39","±44","0","±13","-","**","0","±527","-","**","153","±164","20","±33","36.4%","±46.3","131","±264","100.0%","±73.6","7","±14","0","±13","-","**","0","±1,000","-","**","0","±13","0","±13","-","**","-","**","-","**"
"        High school graduate (includes equivalency)","133","±92","9","±14","19.1%","±33.3","68","±118","100.0%","±100.0","0","±13","0","±13","-","**","-","**","-","**","8","±14","0","±13","-","**","0","±1,000","-","**","81","±72","0","±13","0.0%","±44.4","0","±364","-","**","81","±103","0","±13","-","**","0","±364","-","**","0","±13","0","±13","-","**","-","**","-","**"
"        Some college or associate's degree","84","±69","0","±13","0.0%","±48.0","0","±356","-","**","35","±36","0","±13","-","**","0","±556","-","**","181","±189","0","±13","-","**","0","±197","-","**","14","±16","0","±13","0.0%","±44.4","0","±879","-","**","0","±13","0","±13","-","**","-","**","-","**","131","±133","0","±13","-","**","0","±258","-","**"
"        Bachelor's degree","199","±120","18","±19","38.3%","±41.8","90","±105","0.0%","±77.5","288","±115","0","±13","-","**","0","±129","-","**","192","±98","0","±13","-","**","0","±187","-","**","441","±144","0","±13","0.0%","±44.4","0","±87","-","**","380","±209","0","±13","-","**","0","±100","-","**","170","±103","0","±13","-","**","0","±208","-","**"
"        Graduate or professional degree","60","±42","0","±13","0.0%","±48.0","0","±425","-","**","397","±97","0","±13","-","**","0","±96","-","**","123","±65","0","±13","-","**","0","±272","-","**","685","±261","35","±38","63.6%","±46.3","51","±53","0.0%","±55.6","252","±224","0","±13","-","**","0","±146","-","**","238","±129","0","±13","-","**","0","±154","-","**"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Women 15 to 50 years for whom poverty status is determined","626","±173","47","±39","(X)","(X)","75","±62","61.7%","±41.8","720","±142","0","±13","(X)","(X)","0","±54","-","**","543","±209","0","±13","(X)","(X)","0","±71","-","**","1,374","±372","55","±49","(X)","(X)","40","±37","36.4%","±46.3","720","±334","0","±13","(X)","(X)","0","±54","-","**","539","±189","0","±13","(X)","(X)","0","±71","-","**"
"        Below 100 percent of poverty level","267","±122","20","±32","42.6%","±50.1","75","±124","100.0%","±73.6","39","±37","0","±13","-","**","0","±527","-","**","69","±58","0","±13","-","**","0","±396","-","**","237","±206","0","±13","0.0%","±44.4","0","±155","-","**","0","±13","0","±13","-","**","-","**","-","**","80","±107","0","±13","-","**","0","±367","-","**"
"        100 to 199 percent of poverty level","92","±77","9","±14","19.1%","±33.3","98","±176","100.0%","±100.0","88","±79","0","±13","-","**","0","±346","-","**","176","±189","0","±13","-","**","0","±202","-","**","11","±18","0","±13","0.0%","±44.4","0","±992","-","**","0","±13","0","±13","-","**","-","**","-","**","0","±13","0","±13","-","**","-","**","-","**"
"        200 percent or more above poverty level","267","±118","18","±19","38.3%","±41.8","67","±73","0.0%","±77.5","593","±122","0","±13","-","**","0","±65","-","**","298","±105","0","±13","-","**","0","±125","-","**","1,126","±298","55","±49","100.0%","±44.4","49","±45","36.4%","±46.3","720","±334","0","±13","-","**","0","±54","-","**","459","±150","0","±13","-","**","0","±83","-","**"
"LABOR FORCE STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Women 16 to 50 years","626","±173","47","±39","(X)","(X)","75","±62","61.7%","±41.8","720","±142","0","±13","(X)","(X)","0","±54","-","**","528","±212","0","±13","(X)","(X)","0","±73","-","**","1,374","±372","55","±49","(X)","(X)","40","±37","36.4%","±46.3","713","±333","0","±13","(X)","(X)","0","±55","-","**","539","±189","0","±13","(X)","(X)","0","±71","-","**"
"        In labor force","435","±139","39","±37","83.0%","±30.2","90","±85","74.4%","±39.7","662","±147","0","±13","-","**","0","±59","-","**","483","±206","0","±13","-","**","0","±79","-","**","1,191","±312","37","±41","67.3%","±42.9","31","±35","54.1%","±53.5","645","±331","0","±13","-","**","0","±60","-","**","512","±195","0","±13","-","**","0","±75","-","**"
"PUBLIC ASSISTANCE INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Women 15 to 50 years","626","±173","47","±39","(X)","(X)","75","±62","61.7%","±41.8","720","±142","0","±13","(X)","(X)","0","±54","-","**","543","±209","0","±13","(X)","(X)","0","±71","-","**","1,374","±372","55","±49","(X)","(X)","40","±37","36.4%","±46.3","720","±334","0","±13","(X)","(X)","0","±54","-","**","539","±189","0","±13","(X)","(X)","0","±71","-","**"
"        Received public assistance income","74","±48","0","±13","0.0%","±48.0","0","±382","-","**","0","±13","0","±13","-","**","-","**","-","**","111","±181","0","±13","-","**","0","±294","-","**","0","±13","0","±13","0.0%","±44.4","-","**","-","**","0","±13","0","±13","-","**","-","**","-","**","0","±13","0","±13","-","**","-","**","-","**"
"        Did not receive public assistance income","552","±159","47","±39","100.0%","±48.0","85","±70","61.7%","±41.8","720","±142","0","±13","-","**","0","±54","-","**","432","±120","0","±13","-","**","0","±88","-","**","1,374","±372","55","±49","100.0%","±44.4","40","±37","36.4%","±46.3","720","±334","0","±13","-","**","0","±54","-","**","539","±189","0","±13","-","**","0","±71","-","**"
"PERCENT ALLOCATED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Marital status","16.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","12.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","4.7%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","10.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Fertility","15.7%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1.5%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","12.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","6.6%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
