"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Number!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Number!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Percent Distribution!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Percent Distribution!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Rate per 1,000 women!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Rate per 1,000 women!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Number!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Number!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Percent Distribution!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Percent Distribution!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Rate per 1,000 women!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Rate per 1,000 women!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error"
"Hispanic or Latino origin (of any race)","0","±132","0","±132","0.0%","±59.1","-","**","-","**","167","±101","46","±73","100.0%","±48.5","275","±376","0.0%","±48.5"
"White alone, not Hispanic or Latino","37","±44","0","±132","0.0%","±59.1","0","±541","-","**","323","±120","0","±132","0.0%","±48.5","0","±116","-","**"
"NATIVITY","","","","","","","","","","","","","","","","","","","",""
"    Native","511","±117","15","±24","48.4%","±51.6","29","±46","100.0%","±84.9","872","±208","0","±132","0.0%","±48.5","0","±45","-","**"
"    Foreign born","30","±34","16","±25","51.6%","±51.6","533","±533","0.0%","±82.3","322","±156","46","±73","100.0%","±48.5","143","±216","0.0%","±48.5"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","",""
"    Less than high school graduate","132","±64","15","±24","48.4%","±51.6","114","±178","100.0%","±84.9","121","±87","0","±132","0.0%","±48.5","0","±275","-","**"
"    High school graduate (includes equivalency)","236","±88","0","±132","0.0%","±59.1","0","±155","-","**","132","±93","0","±132","0.0%","±48.5","0","±257","-","**"
"    Some college or associate's degree","61","±50","0","±132","0.0%","±59.1","0","±421","-","**","130","±77","0","±132","0.0%","±48.5","0","±260","-","**"
"    Bachelor's degree","17","±26","0","±132","0.0%","±59.1","0","±798","-","**","429","±140","46","±73","100.0%","±48.5","107","±163","0.0%","±48.5"
"    Graduate or professional degree","95","±58","16","±25","51.6%","±51.6","168","±280","0.0%","±82.3","382","±134","0","±132","0.0%","±48.5","0","±99","-","**"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","",""
"    Women 15 to 50 years for whom poverty status is determined","541","±112","31","±34","(X)","(X)","57","±64","48.4%","±51.6","1,194","±196","46","±73","(X)","(X)","39","±60","0.0%","±48.5"
"    Below 100 percent of poverty level","213","±100","0","±132","0.0%","±59.1","0","±170","-","**","259","±103","0","±132","0.0%","±48.5","0","±143","-","**"
"    100 to 199 percent of poverty level","130","±76","0","±132","0.0%","±59.1","0","±260","-","**","44","±49","0","±132","0.0%","±48.5","0","±496","-","**"
"    200 percent or more above poverty level","198","±75","31","±34","100.0%","±59.1","157","±184","48.4%","±51.6","891","±196","46","±73","100.0%","±48.5","52","±81","0.0%","±48.5"
"LABOR FORCE STATUS","","","","","","","","","","","","","","","","","","","",""
"    Women 16 to 50 years","522","±103","31","±34","(X)","(X)","59","±66","48.4%","±51.6","1,173","±188","46","±73","(X)","(X)","39","±62","0.0%","±48.5"
"    In labor force","402","±95","31","±34","100.0%","±59.1","77","±89","48.4%","±51.6","1,056","±206","46","±73","100.0%","±48.5","44","±68","0.0%","±48.5"
"PUBLIC ASSISTANCE INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","",""
"    Women 15 to 50 years","541","±112","31","±34","(X)","(X)","57","±64","48.4%","±51.6","1,194","±196","46","±73","(X)","(X)","39","±60","0.0%","±48.5"
"    Received public assistance income","137","±73","0","±132","0.0%","±59.1","0","±249","-","**","31","±32","0","±132","0.0%","±48.5","0","±591","-","**"
"    Did not receive public assistance income","404","±121","31","±34","100.0%","±59.1","77","±91","48.4%","±51.6","1,163","±191","46","±73","100.0%","±48.5","40","±62","0.0%","±48.5"
"PERCENT IMPUTED","","","","","","","","","","","","","","","","","","","",""
"    Marital status","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Fertility","2.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","2.5%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
