"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Households receiving food stamps/SNAP!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent households receiving food stamps/SNAP!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Households not receiving food stamps/SNAP!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent households not receiving food stamps/SNAP!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Households receiving food stamps/SNAP!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Percent households receiving food stamps/SNAP!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Households not receiving food stamps/SNAP!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Percent households not receiving food stamps/SNAP!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Households receiving food stamps/SNAP!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Percent households receiving food stamps/SNAP!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Households not receiving food stamps/SNAP!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Percent households not receiving food stamps/SNAP!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Households receiving food stamps/SNAP!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent households receiving food stamps/SNAP!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Households not receiving food stamps/SNAP!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent households not receiving food stamps/SNAP!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Households receiving food stamps/SNAP!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Percent households receiving food stamps/SNAP!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Households not receiving food stamps/SNAP!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Percent households not receiving food stamps/SNAP!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Households receiving food stamps/SNAP!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Percent households receiving food stamps/SNAP!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Households not receiving food stamps/SNAP!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Percent households not receiving food stamps/SNAP!!Estimate"
"        Asian alone","23","2.0%","9","1.7%","14","2.3%","98","6.3%","0","0.0%","98","6.5%","49","5.6%","0","0.0%","49","6.5%","81","3.8%","0","0.0%","81","4.0%","17","1.2%","0","0.0%","17","1.3%","13","1.1%","0","0.0%","13","1.1%"
"        Native Hawaiian and Other Pacific Islander alone","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","8","0.4%","0","0.0%","8","0.4%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%"
"        Some other race alone","10","0.9%","10","1.8%","0","0.0%","38","2.4%","0","0.0%","38","2.5%","2","0.2%","0","0.0%","2","0.3%","15","0.7%","0","0.0%","15","0.7%","0","0.0%","0","0.0%","0","0.0%","14","1.2%","0","0.0%","14","1.2%"
"        Two or more races","38","3.3%","0","0.0%","38","6.1%","91","5.8%","0","0.0%","91","6.0%","2","0.2%","0","0.0%","2","0.3%","132","6.1%","0","0.0%","132","6.5%","64","4.6%","0","0.0%","64","4.7%","56","4.6%","0","0.0%","56","4.7%"
"        Hispanic or Latino origin (of any race)","37","3.2%","10","1.8%","27","4.4%","167","10.7%","0","0.0%","167","11.0%","2","0.2%","0","0.0%","2","0.3%","232","10.8%","0","0.0%","232","11.5%","176","12.6%","0","0.0%","176","13.0%","61","5.1%","0","0.0%","61","5.1%"
"        White alone, not Hispanic or Latino","234","20.1%","16","2.9%","218","35.2%","855","54.9%","0","0.0%","855","56.3%","492","56.6%","0","0.0%","492","64.8%","1,135","52.7%","0","0.0%","1,135","56.2%","612","43.9%","0","0.0%","612","45.3%","806","66.9%","18","100.0%","788","66.4%"
"    HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Median income (dollars)","27,574","(X)","11,321","(X)","72,176","(X)","85,648","(X)","-","(X)","87,407","(X)","100,333","(X)","-","(X)","115,072","(X)","92,083","(X)","-","(X)","101,657","(X)","115,114","(X)","-","(X)","118,929","(X)","105,182","(X)","-","(X)","105,651","(X)"
"WORK STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Families","524","(X)","327","(X)","197","(X)","256","(X)","0","(X)","256","(X)","291","(X)","111","(X)","180","(X)","619","(X)","56","(X)","563","(X)","455","(X)","28","(X)","427","(X)","310","(X)","0","(X)","310","(X)"
"        No workers in past 12 months","228","43.5%","146","44.6%","82","41.6%","10","3.9%","0","-","10","3.9%","45","15.5%","0","0.0%","45","25.0%","59","9.5%","18","32.1%","41","7.3%","23","5.1%","0","0.0%","23","5.4%","73","23.5%","0","-","73","23.5%"
"        1 worker in past 12 months","171","32.6%","119","36.4%","52","26.4%","76","29.7%","0","-","76","29.7%","120","41.2%","111","100.0%","9","5.0%","84","13.6%","6","10.7%","78","13.9%","95","20.9%","28","100.0%","67","15.7%","31","10.0%","0","-","31","10.0%"
"        2 or more workers in past 12 months","125","23.9%","62","19.0%","63","32.0%","170","66.4%","0","-","170","66.4%","126","43.3%","0","0.0%","126","70.0%","476","76.9%","32","57.1%","444","78.9%","337","74.1%","0","0.0%","337","78.9%","206","66.5%","0","-","206","66.5%"
