"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Households receiving food stamps/SNAP!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent households receiving food stamps/SNAP!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Households not receiving food stamps/SNAP!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent households not receiving food stamps/SNAP!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Households receiving food stamps/SNAP!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent households receiving food stamps/SNAP!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Households not receiving food stamps/SNAP!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent households not receiving food stamps/SNAP!!Estimate"
"            Male householder, no wife present","7","0.7%","0","0.0%","7","1.3%","4","0.2%","4","2.1%","0","0.0%"
"            Female householder, no husband present","177","17.0%","143","29.0%","34","6.2%","27","1.2%","27","14.4%","0","0.0%"
"        Nonfamily households","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%"
"    No children under 18 years","840","80.6%","344","69.8%","496","90.3%","2,152","95.7%","154","81.9%","1,998","96.9%"
"        Married-couple family","105","10.1%","0","0.0%","105","19.1%","383","17.0%","10","5.3%","373","18.1%"
"        Other family:","220","21.1%","138","28.0%","82","14.9%","89","4.0%","7","3.7%","82","4.0%"
"            Male householder, no wife present","27","2.6%","27","5.5%","0","0.0%","0","0.0%","0","0.0%","0","0.0%"
"            Female householder, no husband present","193","18.5%","111","22.5%","53","14.9%","89","4.0%","7","3.7%","63","4.0%"
"        Nonfamily households","515","49.4%","206","41.8%","309","56.3%","1,680","74.7%","137","72.9%","1,543","74.9%"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","",""
"    Below poverty level","443","42.5%","346","70.2%","97","17.7%","259","11.5%","111","59.0%","148","7.2%"
"    At or above poverty level","599","57.5%","147","29.8%","452","82.3%","1,990","88.5%","77","41.0%","1,913","92.8%"
"DISABILITY STATUS","","","","","","","","","","","",""
"    With one or more people with a disability","466","44.7%","267","54.2%","199","36.2%","379","16.9%","79","42.0%","300","14.6%"
"    With no persons with a disability","576","55.3%","226","45.8%","350","63.8%","1,870","83.1%","109","58.0%","1,761","85.4%"
"RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","","","","","","","",""
"    White alone","105","10.1%","11","2.2%","94","17.1%","1,057","47.0%","17","9.0%","1,040","50.5%"
"    Black or African American alone","911","87.4%","482","97.8%","429","78.1%","950","42.2%","167","88.8%","783","38.0%"
"    American Indian and Alaska Native alone","0","0.0%","0","0.0%","0","0.0%","22","1.0%","4","2.1%","18","0.9%"
"    Asian alone","19","1.8%","0","0.0%","19","3.5%","90","4.0%","0","0.0%","90","4.4%"
"    Native Hawaiian and Other Pacific Islander alone","0","0.0%","0","0.0%","0","0.0%","23","1.0%","0","0.0%","23","1.1%"
"    Some other race alone","7","0.7%","0","0.0%","7","1.3%","41","1.8%","0","0.0%","41","2.0%"
"    Two or more races","0","0.0%","0","0.0%","0","0.0%","66","2.9%","0","0.0%","66","3.2%"
"Hispanic or Latino origin (of any race)","63","6.0%","0","0.0%","63","11.5%","140","6.2%","0","0.0%","140","6.8%"
"White alone, not Hispanic or Latino","87","8.3%","11","2.2%","76","13.8%","1,017","45.2%","17","9.0%","1,000","48.5%"
"HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Median income (dollars)","22,969","(X)","9,548","(X)","38,438","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"WORK STATUS","","","","","","","","","","","",""
"    Families","527","(X)","287","(X)","240","(X)","569","(X)","51","(X)","518","(X)"
"        No workers in past 12 months","239","45.4%","156","54.4%","83","34.6%","80","14.1%","25","49.0%","55","10.6%"
"        1 worker in past 12 months","166","31.5%","92","32.1%","74","30.8%","126","22.1%","26","51.0%","100","19.3%"
"        2 or more workers in past 12 months","122","23.1%","39","13.6%","83","34.6%","363","63.8%","0","0.0%","363","70.1%"
