"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!With a disability!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent with a disability!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!With a disability!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Percent with a disability!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!With a disability!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Percent with a disability!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!With a disability!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent with a disability!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!With a disability!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Percent with a disability!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!With a disability!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Percent with a disability!!Estimate"
"        With a vision difficulty","(X)","131","5.3%","(X)","11","0.4%","(X)","0","0.0%","(X)","108","2.7%","(X)","0","0.0%","(X)","25","1.7%"
"            Population under 18 years","540","0","0.0%","211","0","0.0%","237","0","0.0%","373","0","0.0%","65","0","0.0%","40","0","0.0%"
"                Population under 5 years","238","0","0.0%","0","0","-","180","0","0.0%","210","0","0.0%","54","0","0.0%","40","0","0.0%"
"                Population 5 to 17 years","302","0","0.0%","211","0","0.0%","57","0","0.0%","163","0","0.0%","11","0","0.0%","0","0","-"
"            Population 18 to 64 years","1,572","103","6.6%","2,076","11","0.5%","1,379","0","0.0%","3,367","43","1.3%","1,984","0","0.0%","998","0","0.0%"
"                Population 18 to 34 years","759","36","4.7%","1,200","11","0.9%","671","0","0.0%","1,554","0","0.0%","889","0","0.0%","282","0","0.0%"
"                Population 35 to 64 years","813","67","8.2%","876","0","0.0%","708","0","0.0%","1,813","43","2.4%","1,095","0","0.0%","716","0","0.0%"
"            Population 65 years and over","357","28","7.8%","235","0","0.0%","344","0","0.0%","287","65","22.6%","261","0","0.0%","431","25","5.8%"
"                Population 65 to 74 years","252","0","0.0%","108","0","0.0%","166","0","0.0%","202","45","22.3%","111","0","0.0%","231","11","4.8%"
"                Population 75 years and over","105","28","26.7%","127","0","0.0%","178","0","0.0%","85","20","23.5%","150","0","0.0%","200","14","7.0%"
"        With a cognitive difficulty","(X)","219","9.8%","(X)","78","3.1%","(X)","40","2.2%","(X)","73","1.9%","(X)","23","1.0%","(X)","41","2.9%"
"            Population under 18 years","302","64","21.2%","211","0","0.0%","57","0","0.0%","163","0","0.0%","11","0","0.0%","0","0","-"
"            Population 18 to 64 years","1,572","151","9.6%","2,076","67","3.2%","1,379","40","2.9%","3,367","73","2.2%","1,984","0","0.0%","998","41","4.1%"
"                Population 18 to 34 years","759","73","9.6%","1,200","25","2.1%","671","0","0.0%","1,554","35","2.3%","889","0","0.0%","282","0","0.0%"
"                Population 35 to 64 years","813","78","9.6%","876","42","4.8%","708","40","5.6%","1,813","38","2.1%","1,095","0","0.0%","716","41","5.7%"
"            Population 65 years and over","357","4","1.1%","235","11","4.7%","344","0","0.0%","287","0","0.0%","261","23","8.8%","431","0","0.0%"
"                Population 65 to 74 years","252","0","0.0%","108","11","10.2%","166","0","0.0%","202","0","0.0%","111","0","0.0%","231","0","0.0%"
"                Population 75 years and over","105","4","3.8%","127","0","0.0%","178","0","0.0%","85","0","0.0%","150","23","15.3%","200","0","0.0%"
"        With an ambulatory difficulty","(X)","399","17.9%","(X)","82","3.3%","(X)","164","9.2%","(X)","214","5.6%","(X)","141","6.3%","(X)","100","7.0%"
"            Population under 18 years","302","0","0.0%","211","0","0.0%","57","0","0.0%","163","0","0.0%","11","0","0.0%","0","0","-"
"            Population 18 to 64 years","1,572","198","12.6%","2,076","9","0.4%","1,379","3","0.2%","3,367","178","5.3%","1,984","40","2.0%","998","54","5.4%"
"                Population 18 to 34 years","759","33","4.3%","1,200","9","0.8%","671","0","0.0%","1,554","0","0.0%","889","0","0.0%","282","0","0.0%"
"                Population 35 to 64 years","813","165","20.3%","876","0","0.0%","708","3","0.4%","1,813","178","9.8%","1,095","40","3.7%","716","54","7.5%"
"            Population 65 years and over","357","201","56.3%","235","73","31.1%","344","161","46.8%","287","36","12.5%","261","101","38.7%","431","46","10.7%"
"                Population 65 to 74 years","252","111","44.0%","108","12","11.1%","166","73","44.0%","202","16","7.9%","111","53","47.7%","231","0","0.0%"
"                Population 75 years and over","105","90","85.7%","127","61","48.0%","178","88","49.4%","85","20","23.5%","150","48","32.0%","200","46","23.0%"
"        With a self-care difficulty","(X)","33","1.5%","(X)","0","0.0%","(X)","67","3.8%","(X)","0","0.0%","(X)","45","2.0%","(X)","41","2.9%"
"            Population under 18 years","302","0","0.0%","211","0","0.0%","57","0","0.0%","163","0","0.0%","11","0","0.0%","0","0","-"
"            Population 18 to 64 years","1,572","22","1.4%","2,076","0","0.0%","1,379","0","0.0%","3,367","0","0.0%","1,984","0","0.0%","998","0","0.0%"
"                Population 18 to 34 years","759","0","0.0%","1,200","0","0.0%","671","0","0.0%","1,554","0","0.0%","889","0","0.0%","282","0","0.0%"
"                Population 35 to 64 years","813","22","2.7%","876","0","0.0%","708","0","0.0%","1,813","0","0.0%","1,095","0","0.0%","716","0","0.0%"
"            Population 65 years and over","357","11","3.1%","235","0","0.0%","344","67","19.5%","287","0","0.0%","261","45","17.2%","431","41","9.5%"
"                Population 65 to 74 years","252","11","4.4%","108","0","0.0%","166","0","0.0%","202","0","0.0%","111","0","0.0%","231","14","6.1%"
"                Population 75 years and over","105","0","0.0%","127","0","0.0%","178","67","37.6%","85","0","0.0%","150","45","30.0%","200","27","13.5%"
"        With an independent living difficulty","(X)","286","14.8%","(X)","25","1.1%","(X)","67","3.9%","(X)","19","0.5%","(X)","71","3.2%","(X)","18","1.3%"
"            Population 18 to 64 years","1,572","150","9.5%","2,076","25","1.2%","1,379","0","0.0%","3,367","19","0.6%","1,984","22","1.1%","998","0","0.0%"
"                Population 18 to 34 years","759","33","4.3%","1,200","0","0.0%","671","0","0.0%","1,554","0","0.0%","889","0","0.0%","282","0","0.0%"
"                Population 35 to 64 years","813","117","14.4%","876","25","2.9%","708","0","0.0%","1,813","19","1.0%","1,095","22","2.0%","716","0","0.0%"
"            Population 65 years and over","357","136","38.1%","235","0","0.0%","344","67","19.5%","287","0","0.0%","261","49","18.8%","431","18","4.2%"
"                Population 65 to 74 years","252","77","30.6%","108","0","0.0%","166","0","0.0%","202","0","0.0%","111","0","0.0%","231","0","0.0%"
"                Population 75 years and over","105","59","56.2%","127","0","0.0%","178","67","37.6%","85","0","0.0%","150","49","32.7%","200","18","9.0%"
