"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Below poverty level!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Below poverty level!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent below poverty level!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent below poverty level!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Below poverty level!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Below poverty level!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Percent below poverty level!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Percent below poverty level!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Below poverty level!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Below poverty level!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Percent below poverty level!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Percent below poverty level!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Below poverty level!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Below poverty level!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent below poverty level!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent below poverty level!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Below poverty level!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Below poverty level!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Percent below poverty level!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Percent below poverty level!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Below poverty level!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Below poverty level!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Percent below poverty level!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Percent below poverty level!!Margin of Error"
"        65 years and over","357","±105","138","±61","38.7%","±17.7","235","±138","28","±45","11.9%","±18.5","344","±152","12","±18","3.5%","±5.4","287","±88","61","±65","21.3%","±23.1","261","±122","22","±36","8.4%","±13.6","431","±104","49","±44","11.4%","±10.0"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","1,116","±215","339","±147","30.4%","±11.2","1,450","±345","60","±59","4.1%","±4.1","851","±147","52","±68","6.1%","±7.6","1,950","±377","464","±259","23.8%","±11.4","1,108","±320","0","±14","0.0%","±4.0","647","±150","0","±14","0.0%","±6.7"
"        Female","1,302","±321","707","±254","54.3%","±11.1","1,072","±222","93","±70","8.7%","±6.5","1,079","±384","86","±56","8.0%","±6.1","2,077","±343","377","±164","18.2%","±8.0","1,277","±341","64","±64","5.0%","±5.0","822","±120","90","±82","10.9%","±9.3"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        White alone","549","±143","41","±45","7.5%","±8.2","1,313","±274","46","±33","3.5%","±2.6","951","±207","76","±54","8.0%","±5.7","2,051","±467","66","±67","3.2%","±3.6","1,420","±495","0","±14","0.0%","±3.1","1,051","±226","90","±82","8.6%","±7.3"
"        Black or African American alone","1,769","±397","983","±322","55.6%","±12.2","695","±274","74","±70","10.6%","±10.5","628","±390","25","±39","4.0%","±6.6","1,460","±394","667","±348","45.7%","±15.0","791","±209","22","±36","2.8%","±4.7","237","±112","0","±14","0.0%","±17.2"
"        American Indian and Alaska Native alone","0","±14","0","±14","-","**","0","±14","0","±14","-","**","0","±14","0","±14","-","**","0","±14","0","±14","-","**","0","±14","0","±14","-","**","0","±14","0","±14","-","**"
"        Asian alone","38","±37","0","±14","0.0%","±56.6","157","±76","33","±51","21.0%","±28.9","71","±63","9","±15","12.7%","±25.4","137","±62","20","±29","14.6%","±21.8","58","±73","0","±14","0.0%","±45.8","60","±64","0","±14","0.0%","±45.1"
"        Native Hawaiian and Other Pacific Islander alone","0","±14","0","±14","-","**","0","±14","0","±14","-","**","0","±14","0","±14","-","**","14","±25","0","±14","0.0%","±93.3","0","±14","0","±14","-","**","0","±14","0","±14","-","**"
"        Some other race alone","21","±26","11","±19","52.4%","±52.4","37","±58","0","±14","0.0%","±57.4","127","±115","0","±14","0.0%","±29.0","38","±45","0","±14","0.0%","±56.6","0","±14","0","±14","-","**","25","±29","0","±14","0.0%","±69.8"
"        Two or more races","41","±33","11","±18","26.8%","±38.9","320","±299","0","±14","0.0%","±13.1","153","±127","28","±39","18.3%","±21.7","327","±162","88","±112","26.9%","±29.2","116","±90","42","±50","36.2%","±38.7","96","±91","0","±14","0.0%","±35.3"
"        Hispanic or Latino origin (of any race)","21","±26","11","±19","52.4%","±52.4","201","±134","0","±14","0.0%","±19.9","142","±93","29","±44","20.4%","±29.7","360","±169","0","±14","0.0%","±11.7","436","±435","0","±14","0.0%","±9.8","57","±47","0","±14","0.0%","±46.2"
"        White alone, not Hispanic or Latino","549","±143","41","±45","7.5%","±8.2","1,175","±269","46","±33","3.9%","±3.0","906","±219","47","±46","5.2%","±4.8","1,928","±469","66","±67","3.4%","±3.8","1,016","±325","0","±14","0.0%","±4.3","1,019","±208","90","±82","8.8%","±7.4"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Population 25 years and over","1,784","±255","630","±173","35.3%","±9.0","2,160","±257","136","±81","6.3%","±3.7","1,619","±284","91","±83","5.6%","±4.9","3,377","±491","519","±236","15.4%","±7.2","2,285","±494","64","±64","2.8%","±2.9","1,410","±183","90","±82","6.4%","±5.6"
"            Less than high school graduate","520","±141","373","±131","71.7%","±12.8","21","±31","1","±3","4.8%","±24.1","78","±70","23","±39","29.5%","±43.0","297","±156","135","±109","45.5%","±32.8","141","±103","22","±36","15.6%","±32.9","18","±27","18","±27","100.0%","±82.2"
"            High school graduate (includes equivalency)","316","±111","141","±87","44.6%","±21.1","9","±15","0","±14","0.0%","±100.0","45","±44","2","±5","4.4%","±14.1","257","±98","165","±80","64.2%","±20.0","317","±338","20","±33","6.3%","±15.9","104","±77","0","±14","0.0%","±33.5"
"            Some college, associate's degree","200","±93","87","±63","43.5%","±21.4","279","±158","28","±45","10.0%","±16.9","289","±235","0","±14","0.0%","±14.4","368","±163","131","±123","35.6%","±28.8","190","±115","22","±35","11.6%","±19.6","176","±107","41","±66","23.3%","±32.7"
"            Bachelor's degree or higher","748","±168","29","±40","3.9%","±5.3","1,851","±257","107","±67","5.8%","±3.6","1,207","±219","66","±75","5.5%","±6.0","2,455","±552","88","±112","3.6%","±4.5","1,637","±382","0","±14","0.0%","±2.7","1,112","±174","31","±34","2.8%","±3.1"
"    EMPLOYMENT STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Civilian labor force 16 years and over","1,135","±207","299","±132","26.3%","±10.9","1,974","±281","53","±55","2.7%","±2.8","1,360","±279","43","±50","3.2%","±3.7","3,020","±526","234","±149","7.7%","±4.9","1,877","±537","20","±33","1.1%","±1.8","1,058","±157","55","±71","5.2%","±6.5"
"            Employed","983","±209","206","±109","21.0%","±10.0","1,884","±299","53","±55","2.8%","±2.9","1,339","±275","43","±50","3.2%","±3.7","2,913","±527","179","±137","6.1%","±4.6","1,868","±536","20","±33","1.1%","±1.8","979","±150","14","±22","1.4%","±2.2"
"                Male","537","±148","86","±83","16.0%","±13.5","1,065","±260","0","±14","0.0%","±4.1","589","±129","0","±14","0.0%","±7.4","1,351","±306","133","±128","9.8%","±8.8","893","±330","0","±14","0.0%","±4.9","446","±115","0","±14","0.0%","±9.6"
"                Female","446","±139","120","±83","26.9%","±16.7","819","±182","53","±55","6.5%","±6.7","750","±250","43","±50","5.7%","±7.0","1,562","±319","46","±59","2.9%","±3.8","975","±340","20","±33","2.1%","±3.4","533","±98","14","±22","2.6%","±4.1"
"            Unemployed","152","±86","93","±68","61.2%","±30.8","90","±112","0","±14","0.0%","±36.7","21","±33","0","±14","0.0%","±76.1","107","±81","55","±53","51.4%","±27.5","9","±15","0","±14","0.0%","±100.0","79","±79","41","±66","51.9%","±51.9"
"                Male","72","±63","42","±47","58.3%","±53.7","70","±107","0","±14","0.0%","±41.7","21","±33","0","±14","0.0%","±76.1","90","±88","55","±53","61.1%","±36.0","0","±14","0","±14","-","**","22","±34","0","±14","0.0%","±74.4"
"                Female","80","±57","51","±46","63.8%","±34.5","20","±31","0","±14","0.0%","±78.0","0","±14","0","±14","-","**","17","±26","0","±14","0.0%","±84.6","9","±15","0","±14","0.0%","±100.0","57","±71","41","±66","71.9%","±57.7"
"    WORK EXPERIENCE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Population 16 years and over","2,003","±231","765","±180","38.2%","±8.7","2,311","±275","153","±91","6.6%","±3.9","1,747","±297","138","±80","7.9%","±4.3","3,700","±534","714","±294","19.3%","±7.8","2,320","±495","64","±64","2.8%","±2.8","1,429","±183","90","±82","6.3%","±5.5"
"            Worked full-time, year-round in the past 12 months","719","±206","38","±63","5.3%","±7.7","1,555","±297","0","±14","0.0%","±2.8","1,117","±262","0","±14","0.0%","±3.9","2,443","±523","63","±52","2.6%","±2.2","1,688","±451","20","±33","1.2%","±1.9","728","±157","0","±14","0.0%","±6.0"
"            Worked part-time or part-year in the past 12 months","475","±139","271","±116","57.1%","±15.8","423","±145","59","±56","13.9%","±13.5","261","±121","61","±56","23.4%","±16.8","503","±212","116","±124","23.1%","±21.4","290","±196","0","±14","0.0%","±14.3","367","±152","55","±71","15.0%","±17.4"
"            Did not work","809","±166","456","±154","56.4%","±14.8","333","±160","94","±77","28.2%","±19.0","369","±181","77","±77","20.9%","±19.5","754","±240","535","±230","71.0%","±14.6","342","±127","44","±52","12.9%","±15.3","334","±115","35","±38","10.5%","±11.5"
"    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        50 percent of poverty level","320","±158","(X)","(X)","(X)","(X)","94","±76","(X)","(X)","(X)","(X)","89","±80","(X)","(X)","(X)","(X)","374","±293","(X)","(X)","(X)","(X)","42","±50","(X)","(X)","(X)","(X)","76","±78","(X)","(X)","(X)","(X)"
"        125 percent of poverty level","1,163","±328","(X)","(X)","(X)","(X)","228","±97","(X)","(X)","(X)","(X)","403","±381","(X)","(X)","(X)","(X)","882","±398","(X)","(X)","(X)","(X)","64","±64","(X)","(X)","(X)","(X)","104","±87","(X)","(X)","(X)","(X)"
"        150 percent of poverty level","1,270","±330","(X)","(X)","(X)","(X)","228","±97","(X)","(X)","(X)","(X)","425","±380","(X)","(X)","(X)","(X)","912","±398","(X)","(X)","(X)","(X)","64","±64","(X)","(X)","(X)","(X)","130","±93","(X)","(X)","(X)","(X)"
"        185 percent of poverty level","1,406","±347","(X)","(X)","(X)","(X)","281","±107","(X)","(X)","(X)","(X)","545","±389","(X)","(X)","(X)","(X)","989","±386","(X)","(X)","(X)","(X)","165","±151","(X)","(X)","(X)","(X)","130","±93","(X)","(X)","(X)","(X)"
"        200 percent of poverty level","1,465","±349","(X)","(X)","(X)","(X)","317","±131","(X)","(X)","(X)","(X)","559","±388","(X)","(X)","(X)","(X)","1,034","±397","(X)","(X)","(X)","(X)","165","±151","(X)","(X)","(X)","(X)","130","±93","(X)","(X)","(X)","(X)"
"        300 percent of poverty level","1,558","±356","(X)","(X)","(X)","(X)","548","±208","(X)","(X)","(X)","(X)","588","±386","(X)","(X)","(X)","(X)","1,217","±387","(X)","(X)","(X)","(X)","318","±175","(X)","(X)","(X)","(X)","191","±110","(X)","(X)","(X)","(X)"
"        400 percent of poverty level","1,657","±361","(X)","(X)","(X)","(X)","820","±263","(X)","(X)","(X)","(X)","651","±390","(X)","(X)","(X)","(X)","1,449","±405","(X)","(X)","(X)","(X)","512","±195","(X)","(X)","(X)","(X)","246","±128","(X)","(X)","(X)","(X)"
"        500 percent of poverty level","1,818","±340","(X)","(X)","(X)","(X)","1,035","±276","(X)","(X)","(X)","(X)","736","±399","(X)","(X)","(X)","(X)","1,682","±405","(X)","(X)","(X)","(X)","703","±232","(X)","(X)","(X)","(X)","356","±154","(X)","(X)","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","922","±167","310","±107","33.6%","±10.4","1,737","±284","138","±93","7.9%","±5.3","1,081","±215","115","±81","10.6%","±6.7","2,185","±333","380","±199","17.4%","±8.3","1,132","±350","64","±64","5.7%","±5.9","973","±156","90","±82","9.2%","±8.0"
"    Male","471","±136","101","±70","21.4%","±13.3","1,023","±273","50","±59","4.9%","±5.8","490","±151","52","±68","10.6%","±12.8","1,116","±234","244","±166","21.9%","±12.5","508","±266","0","±14","0.0%","±8.5","368","±117","0","±14","0.0%","±11.5"
"    Female","451","±132","209","±88","46.3%","±16.1","714","±171","88","±70","12.3%","±9.3","591","±154","63","±56","10.7%","±8.5","1,069","±249","136","±87","12.7%","±7.8","624","±246","64","±64","10.3%","±10.6","605","±124","90","±82","14.9%","±12.5"
"    15 years","0","±14","0","±14","-","**","0","±14","0","±14","-","**","0","±14","0","±14","-","**","0","±14","0","±14","-","**","0","±14","0","±14","-","**","0","±14","0","±14","-","**"
"    16 to 17 years","0","±14","0","±14","-","**","0","±14","0","±14","-","**","14","±23","14","±23","100.0%","±93.3","0","±14","0","±14","-","**","0","±14","0","±14","-","**","0","±14","0","±14","-","**"
"    18 to 24 years","60","±52","43","±47","71.7%","±37.0","146","±111","12","±19","8.2%","±14.4","94","±35","33","±34","35.1%","±26.6","107","±76","41","±42","38.3%","±35.7","0","±14","0","±14","-","**","0","±14","0","±14","-","**"
"    25 to 34 years","352","±127","51","±51","14.5%","±13.9","800","±218","80","±64","10.0%","±8.0","318","±126","57","±74","17.9%","±19.1","896","±246","88","±112","9.8%","±11.5","591","±363","0","±14","0.0%","±7.3","221","±111","0","±14","0.0%","±18.3"
"    35 to 44 years","131","±89","41","±51","31.3%","±33.2","413","±199","0","±14","0.0%","±10.3","183","±122","9","±15","4.9%","±9.5","414","±145","19","±28","4.6%","±6.9","144","±130","0","±14","0.0%","±26.3","113","±92","41","±66","36.3%","±45.8"
"    45 to 54 years","62","±53","0","±14","0.0%","±44.3","92","±57","1","±3","1.1%","±4.1","32","±29","0","±14","0.0%","±61.7","245","±137","82","±102","33.5%","±32.6","50","±54","0","±14","0.0%","±49.4","239","±102","0","±14","0.0%","±17.1"
"    55 to 64 years","107","±63","55","±47","51.4%","±32.7","88","±62","17","±28","19.3%","±29.9","208","±101","0","±14","0.0%","±19.3","301","±125","89","±80","29.6%","±20.8","175","±120","42","±50","24.0%","±28.2","81","±61","0","±14","0.0%","±38.8"
"    65 to 74 years","143","±62","80","±53","55.9%","±24.3","71","±61","28","±45","39.4%","±48.8","103","±53","2","±5","1.9%","±4.9","171","±90","45","±61","26.3%","±34.0","22","±37","0","±14","0.0%","±74.4","147","±79","14","±22","9.5%","±16.4"
"    75 years and over","67","±43","40","±34","59.7%","±40.1","127","±107","0","±14","0.0%","±29.0","129","±112","0","±14","0.0%","±28.7","51","±48","16","±20","31.4%","±42.0","150","±112","22","±36","14.7%","±27.0","172","±75","35","±38","20.3%","±20.4"
"    Mean income deficit for unrelated individuals (dollars)","6,506","±1,759","(X)","(X)","(X)","(X)","7,738","±3,303","(X)","(X)","(X)","(X)","9,757","±3,857","(X)","(X)","(X)","(X)","4,938","±2,115","(X)","(X)","(X)","(X)","6,825","±4,910","(X)","(X)","(X)","(X)","9,597","±2,487","(X)","(X)","(X)","(X)"
"    Worked full-time, year-round in the past 12 months","482","±136","0","±14","0.0%","±8.9","1,100","±298","0","±14","0.0%","±4.0","660","±148","0","±14","0.0%","±6.6","1,412","±258","42","±49","3.0%","±3.4","913","±363","20","±33","2.2%","±3.7","511","±148","0","±14","0.0%","±8.4"
"    Worked less than full-time, year-round in the past 12 months","206","±99","131","±87","63.6%","±24.4","399","±149","59","±56","14.8%","±14.4","166","±80","61","±56","36.7%","±23.7","401","±202","67","±111","16.7%","±24.5","50","±51","0","±14","0.0%","±49.4","232","±129","55","±71","23.7%","±26.4"
"    Did not work","234","±79","179","±72","76.5%","±16.4","238","±145","79","±76","33.2%","±25.2","255","±139","54","±68","21.2%","±24.1","372","±180","271","±175","72.8%","±21.9","169","±110","44","±52","26.0%","±33.5","230","±94","35","±38","15.2%","±15.8"
"    Population in housing units for whom poverty status is determined","2,418","±380","1,046","±315","43.3%","±9.8","2,520","±420","152","±91","6.0%","±3.7","1,902","±405","110","±55","5.8%","±3.1","4,027","±613","841","±394","20.9%","±9.1","2,385","±506","64","±64","2.7%","±2.8","1,469","±183","90","±82","6.1%","±5.4"
