"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Below poverty level!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Below poverty level!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent below poverty level!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent below poverty level!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Below poverty level!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Below poverty level!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent below poverty level!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent below poverty level!!Margin of Error"
"    Civilian labor force 16 years and over","802","±155","193","±75","24.1%","±9.1","2,770","±383","66","±52","2.4%","±1.9"
"        Employed","646","±141","112","±51","17.3%","±7.7","2,591","±352","18","±29","0.7%","±1.1"
"            Male","289","±114","17","±19","5.9%","±6.6","1,266","±287","18","±29","1.4%","±2.3"
"            Female","357","±89","95","±51","26.6%","±12.8","1,325","±234","0","±12","0.0%","±2.6"
"        Unemployed","156","±69","81","±51","51.9%","±28.8","179","±122","48","±42","26.8%","±24.4"
"            Male","92","±57","61","±47","66.3%","±32.7","91","±85","27","±31","29.7%","±31.4"
"            Female","64","±55","20","±21","31.3%","±42.5","88","±88","21","±29","23.9%","±38.0"
"WORK EXPERIENCE","","","","","","","","","","","",""
"    Population 16 years and over","1,622","±250","725","±247","44.7%","±11.7","3,568","±379","338","±154","9.5%","±4.4"
"        Worked full-time, year-round in the past 12 months","527","±135","7","±11","1.3%","±2.1","2,162","±277","18","±29","0.8%","±1.4"
"        Worked part-time or part-year in the past 12 months","301","±97","157","±68","52.2%","±18.1","532","±201","11","±18","2.1%","±3.7"
"        Did not work","794","±220","561","±208","70.7%","±13.1","874","±186","309","±146","35.4%","±12.9"
"All Individuals below:","","","","","","","","","","","",""
"    50 percent of poverty level","276","±118","(X)","(X)","(X)","(X)","277","±156","(X)","(X)","(X)","(X)"
"    125 percent of poverty level","1,089","±318","(X)","(X)","(X)","(X)","451","±190","(X)","(X)","(X)","(X)"
"    150 percent of poverty level","1,437","±329","(X)","(X)","(X)","(X)","597","±201","(X)","(X)","(X)","(X)"
"    185 percent of poverty level","1,503","±326","(X)","(X)","(X)","(X)","628","±204","(X)","(X)","(X)","(X)"
"    200 percent of poverty level","1,645","±293","(X)","(X)","(X)","(X)","651","±207","(X)","(X)","(X)","(X)"
"Unrelated individuals for whom poverty status is determined","565","±107","231","±86","40.9%","±12.6","2,086","±248","252","±126","12.1%","±6.0"
"    Male","268","±96","108","±62","40.3%","±19.5","1,044","±245","144","±92","13.8%","±8.9"
"    Female","297","±78","123","±67","41.4%","±17.7","1,042","±210","108","±68","10.4%","±6.0"
"Mean income deficit for unrelated individuals (dollars)","6,024","±1,419","(X)","(X)","(X)","(X)","8,445","±1,632","(X)","(X)","(X)","(X)"
"Worked full-time, year-round in the past 12 months","247","±89","0","±12","0.0%","±13.2","1,413","±249","18","±29","1.3%","±2.1"
"Worked less than full-time, year-round in the past 12 months","57","±42","25","±28","43.9%","±40.4","205","±112","11","±18","5.4%","±9.8"
"Did not work","261","±91","206","±88","78.9%","±12.3","468","±165","223","±117","47.6%","±16.6"
"PERCENT IMPUTED","","","","","","","","","","","",""
"    Poverty status for individuals","40.0%","(X)","(X)","(X)","(X)","(X)","20.2%","(X)","(X)","(X)","(X)","(X)"
