"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Number!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Number!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Number!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Number!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error"
"        Some college or associate's degree","180","±71","0","±12","0.0%","±46.9","0","±176","-","**","98","±107","0","±12","0.0%","±97.3","0","±292","-","**"
"        Bachelor's degree","127","±75","0","±12","0.0%","±46.9","0","±238","-","**","339","±143","0","±12","0.0%","±97.3","0","±98","-","**"
"        Graduate or professional degree","28","±25","0","±12","0.0%","±46.9","0","±582","-","**","564","±155","10","±18","100.0%","±97.3","18","±32","0.0%","±97.3"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","",""
"    Women 15 to 50 years for whom poverty status is determined","736","±148","43","±36","(X)","(X)","58","±48","100.0%","±46.9","1,267","±173","10","±18","(X)","(X)","8","±14","0.0%","±97.3"
"        Below 100 percent of poverty level","352","±106","36","±34","83.7%","±28.8","102","±90","100.0%","±51.3","284","±131","0","±12","0.0%","±97.3","0","±116","-","**"
"        100 to 199 percent of poverty level","206","±116","7","±11","16.3%","±28.8","34","±65","100.0%","±100.0","32","±48","0","±12","0.0%","±97.3","0","±544","-","**"
"        200 percent or more above poverty level","178","±86","0","±12","0.0%","±46.9","0","±178","-","**","951","±181","10","±18","100.0%","±97.3","11","±19","0.0%","±97.3"
"LABOR FORCE STATUS","","","","","","","","","","","","","","","","","","","",""
"    Women 16 to 50 years","713","±144","43","±36","(X)","(X)","60","±50","100.0%","±46.9","1,267","±173","10","±18","(X)","(X)","8","±14","0.0%","±97.3"
"        In labor force","386","±111","43","±36","100.0%","±46.9","111","±91","100.0%","±46.9","1,025","±174","0","±12","0.0%","±97.3","0","±34","-","**"
"PUBLIC ASSISTANCE INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","",""
"    Women 15 to 50 years","736","±148","43","±36","(X)","(X)","58","±48","100.0%","±46.9","1,267","±173","10","±18","(X)","(X)","8","±14","0.0%","±97.3"
"        Received public assistance income","154","±71","17","±20","39.5%","±44.0","110","±122","100.0%","±74.6","0","±12","0","±12","0.0%","±97.3","-","**","-","**"
"        Did not receive public assistance income","582","±147","26","±32","60.5%","±44.0","45","±55","100.0%","±60.4","1,267","±173","10","±18","100.0%","±97.3","8","±14","0.0%","±97.3"
"PERCENT ALLOCATED","","","","","","","","","","","","","","","","","","","",""
"    Marital status","7.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","5.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Fertility","7.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","8.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
