"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Owner-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Owner-occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Renter-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Renter-occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Owner-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Owner-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Renter-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Renter-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Margin of Error"
"        White alone, not Hispanic or Latino","160","±54","13.9%","±4.7","51","±42","29.8%","±19.5","109","±36","11.2%","±3.7","1,069","±148","47.3%","±6.7","519","±117","60.0%","±11.3","550","±133","39.5%","±8.8"
"    AGE OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 35 years","281","±81","24.5%","±7.2","20","±23","11.7%","±12.7","261","±78","26.7%","±8.0","767","±163","34.0%","±6.9","164","±71","19.0%","±7.9","603","±162","43.3%","±10.1"
"        35 to 44 years","163","±85","14.2%","±7.0","30","±36","17.5%","±18.5","133","±71","13.6%","±7.0","583","±139","25.8%","±6.0","291","±112","33.6%","±10.8","292","±113","21.0%","±7.7"
"        45 to 54 years","202","±88","17.6%","±7.6","9","±16","5.3%","±9.7","193","±86","19.8%","±8.4","329","±109","14.6%","±4.9","164","±82","19.0%","±9.5","165","±105","11.8%","±7.5"
"        55 to 64 years","268","±71","23.4%","±6.1","95","±48","55.6%","±18.9","173","±69","17.7%","±6.9","269","±93","11.9%","±4.1","163","±84","18.8%","±8.9","106","±69","7.6%","±4.9"
"        65 to 74 years","113","±63","9.9%","±5.5","11","±12","6.4%","±6.5","102","±60","10.5%","±6.2","149","±83","6.6%","±3.7","46","±44","5.3%","±5.1","103","±73","7.4%","±5.3"
"        75 to 84 years","92","±48","8.0%","±4.1","6","±9","3.5%","±5.5","86","±47","8.8%","±4.7","161","±109","7.1%","±4.8","37","±41","4.3%","±4.6","124","±117","8.9%","±8.0"
"        85 years and over","28","±25","2.4%","±2.2","0","±12","0.0%","±18.4","28","±25","2.9%","±2.6","0","±12","0.0%","±1.5","0","±12","0.0%","±4.0","0","±12","0.0%","±2.5"
"    EDUCATIONAL ATTAINMENT OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than high school graduate","302","±83","26.3%","±6.9","12","±17","7.0%","±10.4","290","±82","29.7%","±8.0","158","±78","7.0%","±3.5","0","±12","0.0%","±4.0","158","±78","11.3%","±5.8"
"        High school graduate (includes equivalency)","299","±82","26.1%","±6.9","18","±19","10.5%","±11.3","281","±83","28.8%","±8.1","167","±106","7.4%","±4.7","12","±20","1.4%","±2.3","155","±104","11.1%","±7.4"
"        Some college or associate's degree","270","±91","23.5%","±8.1","53","±42","31.0%","±21.8","217","±91","22.2%","±9.1","273","±139","12.1%","±6.1","24","±35","2.8%","±4.2","249","±137","17.9%","±9.1"
"        Bachelor's degree or higher","276","±74","24.1%","±5.9","88","±50","51.5%","±19.9","188","±60","19.3%","±5.8","1,660","±183","73.5%","±6.9","829","±165","95.8%","±5.0","831","±169","59.7%","±9.3"
"    YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","","","","","","","","","","","","","","","","","","","",""
"        Moved in 2015 or later","128","±66","11.2%","±5.5","26","±33","15.2%","±17.7","102","±59","10.5%","±5.8","218","±96","9.7%","±4.2","45","±42","5.2%","±4.7","173","±84","12.4%","±6.0"
"        Moved in 2010 to 2014","354","±102","30.9%","±8.7","21","±23","12.3%","±13.1","333","±100","34.1%","±9.7","1,038","±176","46.0%","±7.0","407","±149","47.1%","±14.1","631","±165","45.3%","±9.8"
"        Moved in 2000 to 2009","330","±86","28.8%","±7.1","55","±42","32.2%","±21.0","275","±81","28.2%","±8.2","671","±186","29.7%","±8.0","307","±107","35.5%","±12.9","364","±161","26.1%","±10.8"
"        Moved in 1990 to 1999","216","±74","18.8%","±6.4","44","±28","25.7%","±16.9","172","±72","17.6%","±7.3","60","±57","2.7%","±2.5","18","±31","2.1%","±3.5","42","±46","3.0%","±3.4"
"        Moved in 1980 to 1989","63","±43","5.5%","±3.7","0","±12","0.0%","±18.4","63","±43","6.5%","±4.4","101","±62","4.5%","±2.8","71","±53","8.2%","±5.8","30","±35","2.2%","±2.5"
"        Moved in 1979 or earlier","56","±40","4.9%","±3.6","25","±36","14.6%","±19.2","31","±25","3.2%","±2.5","170","±111","7.5%","±4.9","17","±28","2.0%","±3.2","153","±112","11.0%","±7.7"
