"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Owner-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Owner-occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Renter-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Renter-occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Owner-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Owner-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Renter-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Renter-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Margin of Error"
"                Householder 15 to 34 years","95","±48","7.2%","±3.6","0","±12","0.0%","±16.3","95","±48","8.5%","±4.2","134","±71","6.0%","±3.2","0","±12","0.0%","±4.5","134","±71","9.1%","±4.7"
"                Householder 35 to 64 years","19","±29","1.4%","±2.2","0","±12","0.0%","±16.3","19","±29","1.7%","±2.6","155","±77","6.9%","±3.4","125","±70","16.3%","±9.4","30","±32","2.0%","±2.1"
"                Householder 65 years and over","0","±12","0.0%","±2.6","0","±12","0.0%","±16.3","0","±12","0.0%","±3.1","22","±34","1.0%","±1.5","0","±12","0.0%","±4.5","22","±34","1.5%","±2.3"
"    FAMILY TYPE AND PRESENCE OF OWN CHILDREN","","","","","","","","","","","","","","","","","","","","","","","",""
"        With related children of householder under 18 years","305","±79","23.2%","±6.0","21","±20","10.7%","±10.8","284","±76","25.3%","±6.5","159","±64","7.1%","±2.9","72","±57","9.4%","±7.3","87","±59","5.9%","±4.0"
"            With own children of householder under 18 years","286","±80","21.7%","±6.1","21","±20","10.7%","±10.8","265","±75","23.6%","±6.5","159","±64","7.1%","±2.9","72","±57","9.4%","±7.3","87","±59","5.9%","±4.0"
"                Under 6 years only","59","±49","4.5%","±3.8","16","±18","8.2%","±9.3","43","±43","3.8%","±3.9","82","±62","3.7%","±2.8","23","±35","3.0%","±4.6","59","±58","4.0%","±3.9"
"                Under 6 years and 6 to 17 years","56","±51","4.3%","±3.9","0","±12","0.0%","±16.3","56","±51","5.0%","±4.6","28","±32","1.2%","±1.4","0","±12","0.0%","±4.5","28","±32","1.9%","±2.2"
"                6 to 17 years only","171","±69","13.0%","±5.2","5","±7","2.6%","±3.9","166","±69","14.8%","±6.1","49","±44","2.2%","±2.0","49","±44","6.4%","±5.7","0","±12","0.0%","±2.3"
"            No own children of householder under 18 years","19","±29","1.4%","±2.2","0","±12","0.0%","±16.3","19","±29","1.7%","±2.6","0","±12","0.0%","±1.5","0","±12","0.0%","±4.5","0","±12","0.0%","±2.3"
"        No related children of householder under 18 years","1,012","±110","76.8%","±6.0","175","±67","89.3%","±10.8","837","±110","74.7%","±6.5","2,083","±165","92.9%","±2.9","695","±151","90.6%","±7.3","1,388","±186","94.1%","±4.0"
