"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Owner-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Owner-occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Renter-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Renter-occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Occupied housing units!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Occupied housing units!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Percent occupied housing units!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Percent occupied housing units!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Owner-occupied housing units!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Owner-occupied housing units!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Renter-occupied housing units!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Renter-occupied housing units!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Occupied housing units!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Occupied housing units!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Percent occupied housing units!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Percent occupied housing units!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Owner-occupied housing units!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Owner-occupied housing units!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Renter-occupied housing units!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Renter-occupied housing units!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Owner-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Owner-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Renter-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Renter-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Occupied housing units!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Occupied housing units!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Percent occupied housing units!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Percent occupied housing units!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Owner-occupied housing units!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Owner-occupied housing units!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Renter-occupied housing units!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Renter-occupied housing units!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Occupied housing units!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Occupied housing units!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Percent occupied housing units!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Percent occupied housing units!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Owner-occupied housing units!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Owner-occupied housing units!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Renter-occupied housing units!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Renter-occupied housing units!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Margin of Error"
"            Married-couple family","150","±70","11.4%","±5.3","71","±39","27.3%","±12.4","79","±60","7.5%","±5.6","282","±125","16.3%","±7.3","11","±18","8.1%","±13.1","271","±124","17.0%","±7.8","222","±92","19.2%","±8.7","116","±59","20.1%","±9.6","106","±66","18.3%","±13.3","494","±248","20.6%","±9.0","261","±130","32.9%","±13.9","233","±215","14.5%","±11.9","488","±253","33.4%","±15.0","241","±121","35.8%","±17.8","247","±219","31.4%","±22.7","200","±78","18.6%","±7.2","179","±74","22.2%","±8.7","21","±31","7.7%","±11.5"
"                Householder 15 to 34 years","49","±41","3.7%","±3.1","24","±32","9.2%","±12.1","25","±27","2.4%","±2.6","120","±79","6.9%","±4.7","11","±18","8.1%","±13.1","109","±76","6.8%","±5.0","38","±36","3.3%","±3.2","12","±19","2.1%","±3.4","26","±31","4.5%","±5.7","131","±77","5.5%","±3.2","50","±50","6.3%","±5.8","81","±62","5.0%","±3.8","66","±83","4.5%","±5.7","66","±83","9.8%","±11.9","0","±14","0.0%","±5.6","21","±31","1.9%","±2.9","0","±14","0.0%","±5.4","21","±31","7.7%","±11.5"
"                Householder 35 to 64 years","54","±45","4.1%","±3.4","20","±21","7.7%","±7.7","34","±40","3.2%","±3.8","143","±111","8.3%","±6.2","0","±14","0.0%","±27.5","143","±111","9.0%","±6.8","134","±61","11.6%","±5.8","72","±35","12.5%","±5.9","62","±52","10.7%","±10.0","332","±231","13.8%","±8.8","180","±114","22.7%","±13.2","152","±203","9.4%","±11.8","400","±244","27.4%","±14.8","166","±98","24.7%","±15.1","234","±218","29.8%","±22.8","116","±59","10.8%","±5.5","116","±59","14.4%","±6.9","0","±14","0.0%","±15.3"
"                Householder 65 years and over","47","±42","3.6%","±3.2","27","±26","10.4%","±9.3","20","±34","1.9%","±3.2","19","±31","1.1%","±1.8","0","±14","0.0%","±27.5","19","±31","1.2%","±1.9","50","±47","4.3%","±4.2","32","±37","5.5%","±6.3","18","±29","3.1%","±5.4","31","±36","1.3%","±1.5","31","±36","3.9%","±4.3","0","±14","0.0%","±2.8","22","±27","1.5%","±1.9","9","±15","1.3%","±2.4","13","±23","1.7%","±3.0","63","±44","5.8%","±4.1","63","±44","7.8%","±5.5","0","±14","0.0%","±15.3"
"            Other family","415","±140","31.5%","±9.6","7","±10","2.7%","±4.5","408","±137","38.5%","±10.9","21","±34","1.2%","±1.9","0","±14","0.0%","±27.5","21","±34","1.3%","±2.1","165","±228","14.2%","±17.6","0","±14","0.0%","±7.5","165","±228","28.4%","±30.1","179","±98","7.5%","±4.0","10","±19","1.3%","±2.4","169","±97","10.5%","±5.9","69","±51","4.7%","±3.6","14","±25","2.1%","±3.8","55","±48","7.0%","±6.7","39","±3","3.6%","±0.5","39","±3","4.8%","±0.8","0","±14","0.0%","±15.3"
"                Male householder, no spouse present","96","±89","7.3%","±6.5","7","±10","2.7%","±4.5","89","±87","8.4%","±7.7","0","±14","0.0%","±2.6","0","±14","0.0%","±27.5","0","±14","0.0%","±2.8","0","±14","0.0%","±3.8","0","±14","0.0%","±7.5","0","±14","0.0%","±7.5","5","±8","0.2%","±0.3","0","±14","0.0%","±5.5","5","±8","0.3%","±0.5","0","±14","0.0%","±3.0","0","±14","0.0%","±6.5","0","±14","0.0%","±5.6","0","±14","0.0%","±4.1","0","±14","0.0%","±5.4","0","±14","0.0%","±15.3"
"                    Householder 15 to 34 years","38","±63","2.9%","±4.6","0","±14","0.0%","±15.8","38","±63","3.6%","±5.7","0","±14","0.0%","±2.6","0","±14","0.0%","±27.5","0","±14","0.0%","±2.8","0","±14","0.0%","±3.8","0","±14","0.0%","±7.5","0","±14","0.0%","±7.5","5","±8","0.2%","±0.3","0","±14","0.0%","±5.5","5","±8","0.3%","±0.5","0","±14","0.0%","±3.0","0","±14","0.0%","±6.5","0","±14","0.0%","±5.6","0","±14","0.0%","±4.1","0","±14","0.0%","±5.4","0","±14","0.0%","±15.3"
"                    Householder 35 to 64 years","58","±59","4.4%","±4.4","7","±10","2.7%","±4.5","51","±57","4.8%","±5.3","0","±14","0.0%","±2.6","0","±14","0.0%","±27.5","0","±14","0.0%","±2.8","0","±14","0.0%","±3.8","0","±14","0.0%","±7.5","0","±14","0.0%","±7.5","0","±14","0.0%","±1.9","0","±14","0.0%","±5.5","0","±14","0.0%","±2.8","0","±14","0.0%","±3.0","0","±14","0.0%","±6.5","0","±14","0.0%","±5.6","0","±14","0.0%","±4.1","0","±14","0.0%","±5.4","0","±14","0.0%","±15.3"
"                    Householder 65 years and over","0","±14","0.0%","±3.4","0","±14","0.0%","±15.8","0","±14","0.0%","±4.2","0","±14","0.0%","±2.6","0","±14","0.0%","±27.5","0","±14","0.0%","±2.8","0","±14","0.0%","±3.8","0","±14","0.0%","±7.5","0","±14","0.0%","±7.5","0","±14","0.0%","±1.9","0","±14","0.0%","±5.5","0","±14","0.0%","±2.8","0","±14","0.0%","±3.0","0","±14","0.0%","±6.5","0","±14","0.0%","±5.6","0","±14","0.0%","±4.1","0","±14","0.0%","±5.4","0","±14","0.0%","±15.3"
"                Female householder, no spouse present","319","±106","24.2%","±7.7","0","±14","0.0%","±15.8","319","±106","30.1%","±9.2","21","±34","1.2%","±1.9","0","±14","0.0%","±27.5","21","±34","1.3%","±2.1","165","±228","14.2%","±17.6","0","±14","0.0%","±7.5","165","±228","28.4%","±30.1","174","±98","7.2%","±4.0","10","±19","1.3%","±2.4","164","±97","10.2%","±5.9","69","±51","4.7%","±3.6","14","±25","2.1%","±3.8","55","±48","7.0%","±6.7","39","±3","3.6%","±0.5","39","±3","4.8%","±0.8","0","±14","0.0%","±15.3"
"                    Householder 15 to 34 years","33","±50","2.5%","±3.8","0","±14","0.0%","±15.8","33","±50","3.1%","±4.7","21","±34","1.2%","±1.9","0","±14","0.0%","±27.5","21","±34","1.3%","±2.1","155","±226","13.4%","±17.6","0","±14","0.0%","±7.5","155","±226","26.7%","±30.6","33","±46","1.4%","±1.9","0","±14","0.0%","±5.5","33","±46","2.1%","±2.8","0","±14","0.0%","±3.0","0","±14","0.0%","±6.5","0","±14","0.0%","±5.6","0","±14","0.0%","±4.1","0","±14","0.0%","±5.4","0","±14","0.0%","±15.3"
"                    Householder 35 to 64 years","248","±96","18.8%","±7.2","0","±14","0.0%","±15.8","248","±96","23.4%","±8.5","0","±14","0.0%","±2.6","0","±14","0.0%","±27.5","0","±14","0.0%","±2.8","0","±14","0.0%","±3.8","0","±14","0.0%","±7.5","0","±14","0.0%","±7.5","123","±75","5.1%","±3.1","10","±19","1.3%","±2.4","113","±70","7.0%","±4.3","69","±51","4.7%","±3.6","14","±25","2.1%","±3.8","55","±48","7.0%","±6.7","39","±3","3.6%","±0.5","39","±3","4.8%","±0.8","0","±14","0.0%","±15.3"
"                    Householder 65 years and over","38","±44","2.9%","±3.3","0","±14","0.0%","±15.8","38","±44","3.6%","±4.1","0","±14","0.0%","±2.6","0","±14","0.0%","±27.5","0","±14","0.0%","±2.8","10","±17","0.9%","±1.5","0","±14","0.0%","±7.5","10","±17","1.7%","±3.0","18","±31","0.7%","±1.3","0","±14","0.0%","±5.5","18","±31","1.1%","±1.9","0","±14","0.0%","±3.0","0","±14","0.0%","±6.5","0","±14","0.0%","±5.6","0","±14","0.0%","±4.1","0","±14","0.0%","±5.4","0","±14","0.0%","±15.3"
"        Nonfamily households","754","±133","57.2%","±9.2","182","±81","70.0%","±11.4","572","±112","54.0%","±10.6","1,425","±231","82.5%","±7.9","125","±77","91.9%","±13.1","1,300","±233","81.7%","±8.5","771","±156","66.6%","±16.1","462","±145","79.9%","±9.6","309","±95","53.3%","±24.3","1,729","±240","72.0%","±9.7","522","±155","65.8%","±13.6","1,207","±209","75.0%","±12.7","902","±222","61.8%","±14.7","418","±185","62.1%","±17.1","484","±194","61.6%","±22.6","838","±129","77.8%","±7.3","588","±117","73.0%","±8.8","250","±108","92.3%","±11.5"
"            Householder living alone","670","±131","50.8%","±9.1","171","±76","65.8%","±11.7","499","±112","47.1%","±10.4","1,142","±232","66.1%","±9.4","125","±77","91.9%","±13.1","1,017","±231","63.9%","±10.0","609","±163","52.6%","±14.9","423","±155","73.2%","±11.1","186","±92","32.1%","±18.3","1,355","±238","56.4%","±8.3","467","±155","58.9%","±13.5","888","±184","55.2%","±10.5","717","±191","49.1%","±14.5","405","±183","60.2%","±16.9","312","±149","39.7%","±20.8","763","±136","70.8%","±9.4","581","±116","72.1%","±8.8","182","±110","67.2%","±27.1"
"                Householder 15 to 34 years","234","±92","17.7%","±7.2","0","±14","0.0%","±15.8","234","±92","22.1%","±9.0","454","±177","26.3%","±9.5","11","±18","8.1%","±13.6","443","±177","27.8%","±10.2","76","±54","6.6%","±4.8","18","±28","3.1%","±4.8","58","±45","10.0%","±8.9","627","±208","26.1%","±7.9","273","±141","34.4%","±15.0","354","±159","22.0%","±9.0","176","±147","12.1%","±10.1","72","±84","10.7%","±12.1","104","±125","13.2%","±15.5","96","±36","8.9%","±3.4","76","±17","9.4%","±2.4","20","±30","7.4%","±11.5"
"                Householder 35 to 64 years","245","±97","18.6%","±6.7","127","±67","48.8%","±13.0","118","±72","11.1%","±6.5","490","±186","28.4%","±10.0","68","±54","50.0%","±39.0","422","±181","26.5%","±10.2","323","±121","27.9%","±11.1","195","±104","33.7%","±14.9","128","±85","22.1%","±15.5","603","±163","25.1%","±6.7","194","±87","24.5%","±10.0","409","±142","25.4%","±9.1","369","±184","25.3%","±12.6","237","±148","35.2%","±16.5","132","±67","16.8%","±11.3","348","±121","32.3%","±10.4","229","±94","28.4%","±10.6","119","±95","43.9%","±27.1"
