"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Owner-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Owner-occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Renter-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Renter-occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Owner-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Owner-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Renter-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Renter-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Margin of Error"
"                Householder 15 to 34 years","51","±34","4.4%","±2.9","0","±12","0.0%","±18.4","51","±34","5.2%","±3.5","95","±60","4.2%","±2.7","6","±10","0.7%","±1.2","89","±59","6.4%","±4.3"
"                Householder 35 to 64 years","22","±17","1.9%","±1.5","0","±12","0.0%","±18.4","22","±17","2.3%","±1.8","130","±71","5.8%","±3.2","85","±58","9.8%","±7.1","45","±51","3.2%","±3.6"
"                Householder 65 years and over","0","±12","0.0%","±3.0","0","±12","0.0%","±18.4","0","±12","0.0%","±3.5","18","±28","0.8%","±1.3","0","±12","0.0%","±4.0","18","±28","1.3%","±2.0"
"    FAMILY TYPE AND PRESENCE OF OWN CHILDREN","","","","","","","","","","","","","","","","","","","","","","","",""
"        With related children of householder under 18 years","241","±73","21.0%","±6.4","13","±19","7.6%","±10.6","228","±70","23.4%","±7.2","147","±72","6.5%","±3.2","68","±56","7.9%","±6.1","79","±58","5.7%","±4.2"
"            With own children of householder under 18 years","237","±74","20.7%","±6.3","13","±19","7.6%","±10.6","224","±70","23.0%","±7.1","147","±72","6.5%","±3.2","68","±56","7.9%","±6.1","79","±58","5.7%","±4.2"
"                Under 6 years only","41","±41","3.6%","±3.5","13","±19","7.6%","±10.6","28","±34","2.9%","±3.4","74","±62","3.3%","±2.8","25","±31","2.9%","±3.6","49","±60","3.5%","±4.2"
"                Under 6 years and 6 to 17 years","67","±45","5.8%","±3.9","0","±12","0.0%","±18.4","67","±45","6.9%","±4.8","30","±31","1.3%","±1.4","0","±12","0.0%","±4.0","30","±31","2.2%","±2.3"
"                6 to 17 years only","129","±61","11.2%","±5.2","0","±12","0.0%","±18.4","129","±61","13.2%","±6.1","43","±46","1.9%","±2.1","43","±46","5.0%","±5.1","0","±12","0.0%","±2.5"
"            No own children of householder under 18 years","4","±8","0.3%","±0.7","0","±12","0.0%","±18.4","4","±8","0.4%","±0.9","0","±12","0.0%","±1.5","0","±12","0.0%","±4.0","0","±12","0.0%","±2.5"
"        No related children of householder under 18 years","906","±99","79.0%","±6.4","158","±61","92.4%","±10.6","748","±107","76.6%","±7.2","2,111","±146","93.5%","±3.2","797","±149","92.1%","±6.1","1,314","±195","94.3%","±4.2"
