"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Employment/Population Ratio!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Employment/Population Ratio!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Unemployment rate!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Unemployment rate!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Employment/Population Ratio!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Employment/Population Ratio!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Unemployment rate!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Unemployment rate!!Margin of Error"
"                With own children under 6 to 17 years only","113","±60","91.2%","±13.4","64.6%","±27.8","29.1%","±29.6","44","±48","100.0%","±46.4","100.0%","±46.4","0.0%","±46.4"
"    POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","",""
"        Below poverty level","724","±204","43.1%","±12.5","20.4%","±9.5","52.6%","±17.5","528","±171","41.3%","±17.2","30.7%","±17.9","25.7%","±22.5"
"        At or above the poverty level","876","±180","79.6%","±10.9","72.7%","±11.3","6.5%","±8.3","2,423","±283","93.5%","±4.5","85.9%","±5.9","7.0%","±4.5"
"    DISABILITY STATUS","","","","","","","","","","","","","","","",""
"        With any disability","413","±130","10.9%","±9.2","8.5%","±8.6","22.2%","±35.5","279","±118","44.8%","±24.2","44.8%","±24.2","0.0%","±24.1"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","",""
"    Population 25 to 64 years","1,391","±179","64.1%","±8.9","49.9%","±8.9","20.7%","±9.6","2,735","±247","87.9%","±5.1","79.6%","±6.1","8.4%","±4.5"
"        Less than high school graduate","283","±97","37.8%","±17.2","25.4%","±16.2","32.7%","±25.8","236","±98","51.3%","±25.1","45.8%","±24.3","10.7%","±16.5"
"        High school graduate (includes equivalency)","402","±110","59.7%","±14.9","44.3%","±12.8","25.8%","±19.0","123","±93","59.3%","±34.5","59.3%","±34.5","0.0%","±35.8"
"        Some college or associate's degree","268","±94","47.0%","±17.8","33.2%","±17.6","29.4%","±26.6","264","±142","92.0%","±12.4","79.9%","±20.0","13.2%","±19.5"
"        Bachelor's degree or higher","438","±128","95.4%","±5.2","81.1%","±13.9","11.7%","±14.1","2,112","±248","93.1%","±4.8","84.5%","±6.8","7.9%","±5.1"
