"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Owner-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Owner-occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Renter-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Renter-occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Owner-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Owner-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Renter-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Renter-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Margin of Error"
"        White alone, not Hispanic or Latino","248","±74","19.1%","±5.5","71","±44","32.1%","±17.9","177","±65","16.4%","±5.8","962","±155","42.0%","±6.7","443","±116","54.0%","±12.5","519","±119","35.3%","±8.1"
"    AGE OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 35 years","318","±93","24.5%","±7.5","20","±23","9.0%","±10.2","298","±95","27.7%","±8.9","738","±189","32.2%","±7.8","227","±94","27.6%","±10.8","511","±167","34.8%","±10.2"
"        35 to 44 years","209","±109","16.1%","±7.9","43","±45","19.5%","±18.5","166","±101","15.4%","±8.9","660","±187","28.8%","±8.0","237","±102","28.9%","±10.7","423","±151","28.8%","±10.5"
"        45 to 54 years","260","±99","20.0%","±7.3","53","±49","24.0%","±20.2","207","±84","19.2%","±7.5","336","±144","14.7%","±6.2","152","±88","18.5%","±10.0","184","±119","12.5%","±8.1"
"        55 to 64 years","236","±59","18.2%","±4.6","88","±53","39.8%","±20.2","148","±61","13.7%","±5.4","248","±113","10.8%","±4.9","139","±80","16.9%","±9.4","109","±75","7.4%","±5.2"
"        65 to 74 years","140","±63","10.8%","±4.9","17","±17","7.7%","±8.7","123","±60","11.4%","±5.6","161","±87","7.0%","±3.8","50","±45","6.1%","±5.6","111","±70","7.6%","±4.8"
"        75 to 84 years","106","±56","8.2%","±4.3","0","±12","0.0%","±14.6","106","±56","9.8%","±5.3","147","±123","6.4%","±5.3","16","±26","1.9%","±3.1","131","±121","8.9%","±8.1"
"        85 years and over","29","±31","2.2%","±2.4","0","±12","0.0%","±14.6","29","±31","2.7%","±2.8","0","±12","0.0%","±1.5","0","±12","0.0%","±4.2","0","±12","0.0%","±2.4"
"    EDUCATIONAL ATTAINMENT OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than high school graduate","335","±75","25.8%","±5.6","21","±23","9.5%","±11.1","314","±78","29.2%","±7.1","195","±108","8.5%","±4.8","0","±12","0.0%","±4.2","195","±108","13.3%","±7.9"
"        High school graduate (includes equivalency)","315","±83","24.3%","±6.1","30","±44","13.6%","±18.3","285","±92","26.5%","±8.0","143","±103","6.2%","±4.5","15","±24","1.8%","±2.9","128","±99","8.7%","±6.8"
"        Some college or associate's degree","260","±96","20.0%","±7.4","61","±46","27.6%","±19.9","199","±91","18.5%","±8.3","357","±150","15.6%","±6.6","29","±43","3.5%","±5.4","328","±160","22.3%","±10.5"
"        Bachelor's degree or higher","388","±91","29.9%","±6.4","109","±58","49.3%","±22.0","279","±85","25.9%","±7.4","1,595","±204","69.7%","±6.3","777","±154","94.6%","±6.3","818","±175","55.7%","±9.4"
"    YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","","","","","","","","","","","","","","","","","","","",""
"        Moved in 2017 or later","97","±49","7.5%","±3.8","38","±35","17.2%","±14.8","59","±33","5.5%","±3.1","149","±114","6.5%","±4.8","30","±39","3.7%","±4.5","119","±106","8.1%","±6.9"
"        Moved in 2015 to 2016","183","±76","14.1%","±5.6","14","±17","6.3%","±8.4","169","±73","15.7%","±6.4","306","±103","13.4%","±4.6","70","±51","8.5%","±6.0","236","±91","16.1%","±6.6"
"        Moved in 2010 to 2014","396","±111","30.5%","±7.9","50","±49","22.6%","±19.3","346","±96","32.1%","±8.3","923","±169","40.3%","±6.9","374","±128","45.6%","±12.2","549","±134","37.4%","±8.9"
"        Moved in 2000 to 2009","295","±86","22.7%","±6.7","48","±46","21.7%","±19.1","247","±77","22.9%","±7.3","604","±179","26.4%","±7.6","263","±102","32.0%","±12.0","341","±140","23.2%","±8.8"
"        Moved in 1990 to 1999","215","±84","16.6%","±6.4","40","±34","18.1%","±17.1","175","±75","16.2%","±6.7","74","±65","3.2%","±2.8","33","±36","4.0%","±4.5","41","±48","2.8%","±3.3"
"        Moved in 1989 or earlier","112","±65","8.6%","±5.1","31","±39","14.0%","±17.0","81","±54","7.5%","±5.0","234","±139","10.2%","±6.0","51","±49","6.2%","±5.8","183","±132","12.5%","±8.9"
