"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Owner-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Owner-occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Renter-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Renter-occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Owner-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Owner-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Renter-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Renter-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Margin of Error"
"        White alone, not Hispanic or Latino","278","±71","21.1%","±5.3","68","±41","34.7%","±19.1","210","±70","18.7%","±6.1","1,092","±176","48.7%","±7.3","511","±133","66.6%","±12.6","581","±153","39.4%","±9.0"
"    AGE OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 35 years","381","±97","28.9%","±7.4","25","±27","12.8%","±13.7","356","±96","31.8%","±8.5","733","±169","32.7%","±6.9","198","±86","25.8%","±10.3","535","±167","36.3%","±10.0"
"        35 to 44 years","208","±86","15.8%","±6.2","42","±45","21.4%","±20.0","166","±76","14.8%","±6.3","560","±133","25.0%","±5.7","239","±101","31.2%","±10.7","321","±115","21.8%","±7.5"
"        45 to 54 years","213","±85","16.2%","±6.5","37","±28","18.9%","±14.2","176","±82","15.7%","±7.4","345","±145","15.4%","±6.2","150","±85","19.6%","±9.8","195","±122","13.2%","±8.1"
"        55 to 64 years","220","±90","16.7%","±6.6","44","±36","22.4%","±16.4","176","±80","15.7%","±6.9","287","±107","12.8%","±4.8","106","±54","13.8%","±7.9","181","±93","12.3%","±6.3"
"        65 to 74 years","177","±69","13.4%","±5.5","48","±35","24.5%","±15.9","129","±61","11.5%","±5.5","154","±89","6.9%","±3.9","29","±33","3.8%","±4.4","125","±76","8.5%","±5.0"
"        75 to 84 years","100","±61","7.6%","±4.5","0","±12","0.0%","±16.3","100","±61","8.9%","±5.3","163","±94","7.3%","±4.2","45","±47","5.9%","±5.7","118","±104","8.0%","±6.9"
"        85 years and over","18","±30","1.4%","±2.3","0","±12","0.0%","±16.3","18","±30","1.6%","±2.7","0","±12","0.0%","±1.5","0","±12","0.0%","±4.5","0","±12","0.0%","±2.3"
"    EDUCATIONAL ATTAINMENT OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than high school graduate","362","±97","27.5%","±6.8","21","±21","10.7%","±10.4","341","±95","30.4%","±7.9","165","±89","7.4%","±3.9","0","±12","0.0%","±4.5","165","±89","11.2%","±6.0"
"        High school graduate (includes equivalency)","302","±91","22.9%","±6.8","6","±14","3.1%","±6.8","296","±90","26.4%","±7.7","186","±107","8.3%","±4.8","15","±24","2.0%","±3.1","171","±104","11.6%","±7.2"
"        Some college or associate's degree","260","±89","19.7%","±6.8","32","±26","16.3%","±13.0","228","±88","20.3%","±7.8","315","±145","14.0%","±6.5","29","±41","3.8%","±5.4","286","±143","19.4%","±9.5"
"        Bachelor's degree or higher","393","±87","29.8%","±6.4","137","±59","69.9%","±15.5","256","±79","22.8%","±6.6","1,576","±209","70.3%","±7.1","723","±160","94.3%","±6.4","853","±202","57.8%","±10.4"
"    YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","","","","","","","","","","","","","","","","","","","",""
"        Moved in 2017 or later","172","±63","13.1%","±4.7","47","±35","24.0%","±16.1","125","±60","11.2%","±5.3","344","±146","15.3%","±6.3","41","±40","5.3%","±5.0","303","±140","20.5%","±8.6"
"        Moved in 2015 to 2016","216","±87","16.4%","±6.4","10","±16","5.1%","±8.2","206","±86","18.4%","±7.3","305","±118","13.6%","±5.2","62","±44","8.1%","±5.4","243","±105","16.5%","±7.4"
"        Moved in 2010 to 2014","425","±118","32.3%","±8.6","21","±22","10.7%","±10.8","404","±117","36.0%","±9.9","723","±155","32.2%","±6.6","337","±113","43.9%","±11.7","386","±138","26.2%","±8.9"
"        Moved in 2000 to 2009","288","±91","21.9%","±6.8","48","±45","24.5%","±19.4","240","±80","21.4%","±7.1","573","±155","25.6%","±6.5","253","±85","33.0%","±10.1","320","±143","21.7%","±9.2"
"        Moved in 1990 to 1999","161","±66","12.2%","±5.0","59","±42","30.1%","±20.4","102","±54","9.1%","±4.7","88","±59","3.9%","±2.6","14","±23","1.8%","±3.1","74","±55","5.0%","±3.8"
"        Moved in 1989 or earlier","55","±43","4.2%","±3.3","11","±14","5.6%","±7.2","44","±40","3.9%","±3.6","209","±101","9.3%","±4.6","60","±52","7.8%","±6.2","149","±106","10.1%","±7.1"
