"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Employment/Population Ratio!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Employment/Population Ratio!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Unemployment rate!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Unemployment rate!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Employment/Population Ratio!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Employment/Population Ratio!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Unemployment rate!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Unemployment rate!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Employment/Population Ratio!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Employment/Population Ratio!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Unemployment rate!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Unemployment rate!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Employment/Population Ratio!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Employment/Population Ratio!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Unemployment rate!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Unemployment rate!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Employment/Population Ratio!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Employment/Population Ratio!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Unemployment rate!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Unemployment rate!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Employment/Population Ratio!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Employment/Population Ratio!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Unemployment rate!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Unemployment rate!!Margin of Error"
"        65 to 74 years","252","±86","9.5%","±7.5","9.5%","±7.5","0.0%","±71.2","108","±85","26.9%","±22.8","26.9%","±22.8","0.0%","±64.8","166","±72","52.4%","±31.2","52.4%","±31.2","0.0%","±37.4","202","±87","39.6%","±25.9","39.6%","±25.9","0.0%","±39.0","111","±83","12.6%","±19.5","12.6%","±19.5","0.0%","±93.3","231","±99","28.6%","±20.8","28.6%","±20.8","0.0%","±43.0"
"        75 years and over","105","±60","0.0%","±33.3","0.0%","±33.3","-","**","127","±107","0.0%","±29.0","0.0%","±29.0","-","**","178","±130","0.0%","±22.1","0.0%","±22.1","-","**","85","±65","17.6%","±24.5","17.6%","±24.5","0.0%","±90.1","150","±112","16.7%","±26.5","16.7%","±26.5","0.0%","±69.8","200","±79","26.5%","±25.6","18.5%","±26.0","30.2%","±60.4"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        White alone","496","±127","93.8%","±4.8","85.7%","±9.7","3.8%","±4.6","1,313","±274","85.7%","±8.2","80.4%","±10.4","6.2%","±9.4","948","±203","75.3%","±11.8","75.3%","±11.8","0.0%","±6.1","1,932","±456","94.3%","±3.5","92.5%","±4.7","1.9%","±2.8","1,409","±491","90.3%","±7.5","84.4%","±10.8","0.8%","±1.3","1,038","±230","76.0%","±8.2","67.0%","±9.9","10.2%","±9.6"
"        Black or African American alone","1,420","±247","44.5%","±10.9","35.8%","±10.4","19.6%","±12.1","647","±259","82.1%","±13.9","79.0%","±14.7","3.8%","±6.3","518","±251","74.9%","±18.4","70.8%","±19.9","5.4%","±9.2","1,333","±307","58.7%","±9.9","56.1%","±11.2","4.5%","±6.2","769","±207","79.7%","±11.2","79.7%","±11.2","0.0%","±7.1","240","±112","49.2%","±24.4","47.9%","±24.2","0.0%","±31.2"
"        American Indian and Alaska Native alone","0","±14","-","**","-","**","-","**","0","±14","-","**","-","**","-","**","0","±14","-","**","-","**","-","**","0","±14","-","**","-","**","-","**","0","±14","-","**","-","**","-","**","0","±14","-","**","-","**","-","**"
"        Asian alone","33","±31","54.5%","±41.3","54.5%","±41.3","0.0%","±82.3","157","±76","79.0%","±28.9","79.0%","±28.9","0.0%","±29.6","69","±63","87.0%","±26.0","87.0%","±26.0","0.0%","±45.1","137","±62","100.0%","±27.4","73.0%","±21.7","27.0%","±21.7","26","±31","100.0%","±68.4","100.0%","±68.4","0.0%","±68.4","68","±67","100.0%","±42.3","88.2%","±31.8","0.0%","±45.1"
"        Native Hawaiian and Other Pacific Islander alone","0","±14","-","**","-","**","-","**","0","±14","-","**","-","**","-","**","0","±14","-","**","-","**","-","**","14","±25","100.0%","±93.3","100.0%","±93.3","0.0%","±93.3","0","±14","-","**","-","**","-","**","0","±14","-","**","-","**","-","**"
"        Some other race alone","21","±26","100.0%","±76.1","47.6%","±52.4","52.4%","±52.4","37","±58","100.0%","±57.4","100.0%","±57.4","0.0%","±57.4","74","±65","100.0%","±40.6","100.0%","±40.6","0.0%","±40.6","38","±45","100.0%","±56.6","100.0%","±56.6","0.0%","±56.6","0","±14","-","**","-","**","-","**","25","±29","100.0%","±69.8","100.0%","±69.8","0.0%","±69.8"
"        Two or more races","33","±31","66.7%","±45.7","66.7%","±45.7","0.0%","±74.4","157","±94","100.0%","±24.5","100.0%","±24.5","0.0%","±24.5","138","±117","89.9%","±24.0","89.9%","±24.0","0.0%","±29.6","246","±132","91.9%","±14.5","91.9%","±14.5","0.0%","±18.0","116","±90","34.5%","±48.4","34.5%","±48.4","0.0%","±55.2","108","±95","100.0%","±32.7","88.9%","±23.4","0.0%","±35.3"
"        Hispanic or Latino origin (of any race)","21","±26","100.0%","±76.1","47.6%","±52.4","52.4%","±52.4","201","±134","100.0%","±19.9","65.2%","±41.9","34.8%","±41.9","142","±93","100.0%","±26.6","100.0%","±26.6","0.0%","±26.6","295","±148","93.2%","±13.1","93.2%","±13.1","0.0%","±15.1","404","±423","100.0%","±10.5","100.0%","±10.5","0.0%","±10.5","75","±50","100.0%","±40.3","80.0%","±32.4","0.0%","±45.1"
"        White alone, not Hispanic or Latino","496","±127","93.8%","±4.8","85.7%","±9.7","3.8%","±4.6","1,175","±269","84.0%","±8.8","84.0%","±8.8","0.0%","±4.5","903","±216","74.1%","±12.3","74.1%","±12.3","0.0%","±6.5","1,809","±456","93.9%","±3.7","92.0%","±5.0","2.1%","±3.0","1,005","±324","86.5%","±9.2","78.1%","±12.8","1.1%","±2.0","1,000","±212","75.1%","±8.4","66.0%","±9.9","10.7%","±9.8"
"Population 20 to 64 years","1,531","±237","70.9%","±8.1","61.8%","±8.5","11.0%","±7.1","2,075","±292","93.7%","±4.0","89.4%","±5.9","4.6%","±5.8","1,369","±278","90.5%","±6.3","89.0%","±6.7","1.7%","±2.7","3,322","±544","86.7%","±6.0","84.1%","±6.4","3.0%","±2.2","2,059","±536","92.9%","±4.7","88.8%","±6.7","0.5%","±0.8","1,048","±155","94.4%","±5.4","84.7%","±8.9","6.6%","±7.7"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","745","±162","80.7%","±10.4","67.9%","±12.2","12.5%","±10.9","1,193","±256","94.2%","±5.3","88.3%","±9.3","6.2%","±9.5","658","±137","86.5%","±11.9","83.3%","±12.5","3.7%","±5.8","1,609","±319","84.5%","±9.8","80.1%","±10.4","5.2%","±4.8","959","±320","98.6%","±2.2","90.8%","±9.7","0.0%","±5.0","532","±119","94.5%","±8.4","83.3%","±12.3","4.7%","±7.2"
"        Female","786","±209","61.7%","±13.1","56.0%","±12.6","9.3%","±7.7","882","±188","93.1%","±6.6","90.8%","±7.3","2.4%","±3.8","711","±250","94.2%","±4.9","94.2%","±4.9","0.0%","±6.5","1,713","±338","88.8%","±4.9","87.8%","±5.0","1.1%","±1.7","1,100","±345","87.9%","±8.4","87.1%","±8.5","0.9%","±1.6","516","±115","94.2%","±6.7","86.2%","±13.1","8.4%","±12.8"
"            With own children under 18 years","201","±87","47.8%","±27.3","47.8%","±27.3","0.0%","±35.3","79","±78","100.0%","±39.3","74.7%","±43.6","25.3%","±43.6","201","±229","100.0%","±19.9","100.0%","±19.9","0.0%","±19.9","178","±78","82.0%","±24.0","82.0%","±24.0","0.0%","±26.0","40","±45","100.0%","±55.2","77.5%","±38.8","22.5%","±38.8","39","±3","100.0%","±55.9","100.0%","±55.9","0.0%","±55.9"
"                With own children under 6 years only","38","±34","28.9%","±43.0","28.9%","±43.0","0.0%","±100.0","0","±14","-","**","-","**","-","**","189","±228","100.0%","±21.0","100.0%","±21.0","0.0%","±21.0","119","±75","100.0%","±30.5","100.0%","±30.5","0.0%","±30.5","27","±40","100.0%","±67.2","100.0%","±67.2","0.0%","±67.2","39","±3","100.0%","±55.9","100.0%","±55.9","0.0%","±55.9"
"                With own children under 6 years and 6 to 17  years","0","±14","-","**","-","**","-","**","0","±14","-","**","-","**","-","**","0","±14","-","**","-","**","-","**","32","±44","0.0%","±61.7","0.0%","±61.7","-","**","0","±14","-","**","-","**","-","**","0","±14","-","**","-","**","-","**"
"                With own children 6 to 17 years only","163","±82","52.1%","±31.2","52.1%","±31.2","0.0%","±37.8","79","±78","100.0%","±39.3","74.7%","±43.6","25.3%","±43.6","12","±20","100.0%","±100.0","100.0%","±100.0","0.0%","±100.0","27","±34","100.0%","±67.2","100.0%","±67.2","0.0%","±67.2","13","±22","100.0%","±96.8","30.8%","±69.2","69.2%","±69.2","0","±14","-","**","-","**","-","**"
"    POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Below poverty level","552","±162","50.0%","±17.7","37.3%","±16.2","25.4%","±19.6","125","±77","42.4%","±34.3","42.4%","±34.3","0.0%","±47.9","112","±74","25.9%","±37.4","25.9%","±37.4","0.0%","±64.8","578","±247","32.7%","±18.9","26.6%","±17.4","18.5%","±22.1","42","±50","47.6%","±52.4","47.6%","±52.4","0.0%","±78.0","41","±66","100.0%","±54.5","0.0%","±54.5","100.0%","±54.5"
"        At or above the poverty level","979","±215","82.7%","±7.6","75.6%","±8.5","6.0%","±6.6","1,950","±299","97.0%","±3.0","92.4%","±5.8","4.8%","±5.9","1,257","±266","96.3%","±4.3","94.6%","±5.1","1.7%","±2.7","2,744","±536","98.1%","±2.1","96.2%","±2.5","1.9%","±1.7","2,017","±536","93.9%","±4.4","89.7%","±6.5","0.5%","±0.8","957","±140","93.8%","±5.9","91.5%","±6.6","2.4%","±3.8"
"    DISABILITY STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        With any disability","371","±124","25.9%","±16.2","22.9%","±14.9","11.5%","±18.9","87","±65","80.5%","±32.1","80.5%","±32.1","0.0%","±41.7","78","±55","96.2%","±6.1","69.2%","±35.0","28.0%","±35.3","259","±145","61.0%","±31.5","47.5%","±31.6","22.2%","±29.2","62","±64","0.0%","±44.3","0.0%","±44.3","-","**","104","±90","100.0%","±33.5","60.6%","±46.8","39.4%","±46.8"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 to 64 years","1,427","±253","69.9%","±8.8","62.7%","±9.0","8.2%","±6.4","1,925","±276","94.1%","±3.8","89.5%","±6.3","5.0%","±6.2","1,275","±273","92.4%","±6.6","90.7%","±7.1","1.8%","±2.8","3,090","±513","87.0%","±6.0","85.3%","±6.1","1.9%","±1.7","2,024","±535","92.8%","±4.8","88.6%","±6.9","0.5%","±0.8","996","±151","94.1%","±5.8","86.0%","±9.1","6.8%","±7.9"
"        Less than high school graduate","378","±127","42.3%","±18.5","39.4%","±18.4","6.9%","±12.8","1","±3","0.0%","±100.0","0.0%","±100.0","-","**","68","±61","80.9%","±33.4","80.9%","±33.4","0.0%","±47.1","277","±149","50.5%","±30.5","37.9%","±19.5","25.0%","±21.5","65","±70","38.5%","±53.1","38.5%","±53.1","0.0%","±69.8","0","±14","-","**","-","**","-","**"
"        High school graduate (includes equivalency)","250","±110","47.6%","±22.3","47.6%","±22.3","0.0%","±30.5","9","±15","0.0%","±100.0","0.0%","±100.0","-","**","34","±41","100.0%","±59.8","100.0%","±59.8","0.0%","±59.8","197","±77","39.1%","±23.4","39.1%","±23.4","0.0%","±39.8","317","±338","100.0%","±13.2","100.0%","±13.2","0.0%","±13.2","39","±35","64.1%","±49.0","64.1%","±49.0","0.0%","±69.8"
"        Some college or associate's degree","141","±78","61.0%","±28.5","41.1%","±23.5","32.6%","±28.8","203","±143","100.0%","±19.7","100.0%","±19.7","0.0%","±19.7","269","±237","98.9%","±2.4","91.1%","±16.2","7.9%","±15.1","284","±162","48.9%","±31.3","48.9%","±31.3","0.0%","±27.1","136","±103","83.8%","±28.3","83.8%","±28.3","0.0%","±31.4","153","±104","100.0%","±25.1","67.3%","±37.2","28.5%","±38.7"
"        Bachelor's degree or higher","658","±160","96.2%","±4.1","86.5%","±9.1","6.7%","±8.1","1,712","±264","94.0%","±4.1","88.7%","±7.3","5.6%","±7.0","904","±183","91.0%","±9.0","91.0%","±9.0","0.0%","±5.3","2,332","±542","100.0%","±1.9","99.3%","±1.1","0.7%","±1.1","1,506","±375","94.4%","±4.9","88.8%","±7.9","0.7%","±1.1","804","±145","94.4%","±6.7","90.7%","±8.2","2.9%","±4.6"
