"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Employment/Population Ratio!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Employment/Population Ratio!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Unemployment rate!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Unemployment rate!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Employment/Population Ratio!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Employment/Population Ratio!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Unemployment rate!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Unemployment rate!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Employment/Population Ratio!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Employment/Population Ratio!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Unemployment rate!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Unemployment rate!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Employment/Population Ratio!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Employment/Population Ratio!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Unemployment rate!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Unemployment rate!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Employment/Population Ratio!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Employment/Population Ratio!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Unemployment rate!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Unemployment rate!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Employment/Population Ratio!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Employment/Population Ratio!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Unemployment rate!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Unemployment rate!!Margin of Error"
"        65 to 74 years","202","±92","12.4%","±10.8","12.4%","±10.8","0.0%","±65.8","97","±57","25.8%","±23.8","25.8%","±23.8","0.0%","±65.8","220","±74","54.1%","±23.0","54.1%","±23.0","0.0%","±27.9","179","±112","45.3%","±28.9","45.3%","±28.9","0.0%","±36.4","176","±111","40.3%","±33.5","40.3%","±33.5","0.0%","±39.0","324","±129","28.4%","±18.7","28.4%","±18.7","0.0%","±33.6"
"        75 years and over","109","±52","0.0%","±29.8","0.0%","±29.8","-","**","203","±189","0.0%","±17.8","0.0%","±17.8","-","**","197","±156","4.6%","±8.9","4.6%","±8.9","0.0%","±100.0","113","±90","0.0%","±29.0","0.0%","±29.0","-","**","176","±106","11.9%","±21.1","11.9%","±21.1","0.0%","±71.8","235","±104","14.5%","±15.8","6.4%","±10.4","55.9%","±55.9"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        White alone","434","±111","94.0%","±5.0","88.7%","±8.1","3.5%","±4.2","1,352","±331","80.3%","±11.9","75.9%","±13.0","5.5%","±7.9","960","±219","76.6%","±12.5","74.4%","±12.4","0.0%","±5.4","2,088","±479","95.8%","±2.9","95.2%","±3.0","0.7%","±1.0","1,426","±492","87.2%","±9.4","86.5%","±9.4","0.8%","±1.4","1,247","±264","70.7%","±10.8","61.4%","±12.8","11.4%","±12.5"
"        Black or African American alone","1,425","±248","47.4%","±10.5","40.8%","±9.4","14.1%","±10.5","438","±181","75.6%","±18.4","70.5%","±19.2","6.6%","±10.6","400","±205","68.0%","±19.1","68.0%","±19.1","0.0%","±13.6","1,136","±442","45.2%","±12.0","43.9%","±11.9","2.7%","±4.3","748","±213","66.3%","±15.5","66.3%","±15.5","0.0%","±7.7","342","±173","62.0%","±23.3","52.0%","±21.8","14.8%","±20.3"
"        American Indian and Alaska Native alone","0","±13","-","**","-","**","-","**","21","±43","100.0%","±71.8","100.0%","±71.8","0.0%","±71.8","0","±13","-","**","-","**","-","**","0","±13","-","**","-","**","-","**","0","±13","-","**","-","**","-","**","0","±13","-","**","-","**","-","**"
"        Asian alone","36","±26","63.9%","±29.9","63.9%","±29.9","0.0%","±68.6","179","±92","80.4%","±27.4","80.4%","±27.4","0.0%","±23.9","53","±51","84.9%","±30.9","84.9%","±30.9","0.0%","±49.0","120","±69","100.0%","±27.7","89.2%","±20.2","10.8%","±20.2","29","±33","100.0%","±61.1","100.0%","±61.1","0.0%","±61.1","40","±54","100.0%","±52.0","72.5%","±66.3","0.0%","±61.1"
"        Native Hawaiian and Other Pacific Islander alone","0","±13","-","**","-","**","-","**","0","±13","-","**","-","**","-","**","0","±13","-","**","-","**","-","**","8","±14","100.0%","±100.0","100.0%","±100.0","0.0%","±100.0","0","±13","-","**","-","**","-","**","0","±13","-","**","-","**","-","**"
"        Some other race alone","10","±15","100.0%","±100.0","0.0%","±100.0","100.0%","±100.0","38","±57","100.0%","±53.4","100.0%","±53.4","0.0%","±53.4","13","±20","100.0%","±91.2","100.0%","±91.2","0.0%","±91.2","34","±38","100.0%","±56.4","100.0%","±56.4","0.0%","±56.4","0","±13","-","**","-","**","-","**","31","±37","100.0%","±59.1","100.0%","±59.1","0.0%","±59.1"
"        Two or more races","38","±36","100.0%","±53.4","100.0%","±53.4","0.0%","±53.4","130","±89","100.0%","±26.0","100.0%","±26.0","0.0%","±26.0","19","±24","100.0%","±75.5","100.0%","±75.5","0.0%","±75.5","191","±120","86.9%","±32.2","86.9%","±32.2","0.0%","±21.2","107","±83","40.2%","±59.0","40.2%","±59.0","0.0%","±50.2","100","±97","73.0%","±41.2","70.0%","±42.9","0.0%","±39.3"
"        Hispanic or Latino origin (of any race)","37","±31","100.0%","±54.1","73.0%","±37.4","27.0%","±37.4","205","±126","100.0%","±17.6","70.7%","±37.4","29.3%","±37.4","81","±61","90.1%","±16.3","90.1%","±16.3","0.0%","±38.5","251","±137","90.0%","±19.7","90.0%","±19.7","0.0%","±16.2","348","±367","100.0%","±10.8","100.0%","±10.8","0.0%","±10.8","84","±73","100.0%","±35.6","96.4%","±9.7","0.0%","±36.4"
"        White alone, not Hispanic or Latino","407","±111","93.6%","±5.3","88.0%","±8.7","3.8%","±4.5","1,233","±326","78.4%","±12.9","78.4%","±12.9","0.0%","±4.0","892","±234","75.7%","±13.4","73.3%","±13.3","0.0%","±5.9","1,948","±469","95.5%","±3.1","94.8%","±3.4","0.7%","±1.1","1,078","±385","83.0%","±11.5","82.1%","±11.6","1.1%","±2.0","1,197","±247","69.5%","±10.9","59.8%","±12.8","12.1%","±13.1"
"Population 20 to 64 years","1,554","±261","71.2%","±8.6","63.8%","±8.4","9.6%","±6.9","1,856","±281","92.9%","±4.5","88.5%","±6.4","4.8%","±5.6","1,013","±224","92.9%","±4.4","90.8%","±4.4","0.0%","±4.3","3,218","±584","84.4%","±8.0","83.2%","±8.1","1.5%","±1.4","1,958","±519","87.8%","±8.1","87.3%","±8.2","0.6%","±1.0","1,201","±239","92.6%","±6.2","80.5%","±10.9","10.3%","±10.3"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","708","±187","78.8%","±10.5","71.2%","±12.4","8.2%","±10.5","989","±212","92.6%","±6.8","86.6%","±9.8","6.6%","±9.6","383","±122","93.0%","±5.8","87.5%","±5.8","0.0%","±11.2","1,691","±319","83.3%","±12.4","82.6%","±12.3","0.9%","±1.5","851","±308","89.9%","±10.9","89.9%","±10.9","0.0%","±5.1","522","±178","94.1%","±9.0","84.7%","±11.6","3.3%","±5.7"
"        Female","846","±200","64.8%","±13.6","57.7%","±11.4","10.9%","±8.0","867","±172","93.3%","±6.2","90.8%","±7.4","2.7%","±4.3","630","±203","92.9%","±6.2","92.9%","±6.2","0.0%","±6.6","1,527","±340","85.7%","±6.1","83.9%","±6.4","2.1%","±2.4","1,107","±344","86.2%","±9.8","85.3%","±9.9","1.0%","±1.8","679","±176","91.5%","±8.1","77.3%","±15.5","15.5%","±16.5"
"            With own children under 18 years","236","±95","58.1%","±22.1","54.2%","±23.4","6.6%","±12.2","42","±52","100.0%","±50.8","47.6%","±52.4","52.4%","±52.4","155","±178","100.0%","±22.5","100.0%","±22.5","0.0%","±22.5","196","±84","90.8%","±16.7","90.8%","±16.7","0.0%","±20.0","32","±35","100.0%","±58.2","68.8%","±51.2","31.3%","±51.2","0","±13","-","**","-","**","-","**"
"                With own children under 6 years only","43","±33","79.1%","±31.4","58.1%","±42.0","26.5%","±44.0","0","±13","-","**","-","**","-","**","115","±181","100.0%","±28.6","100.0%","±28.6","0.0%","±28.6","149","±90","87.9%","±23.0","87.9%","±23.0","0.0%","±25.8","15","±31","100.0%","±84.9","100.0%","±84.9","0.0%","±84.9","0","±13","-","**","-","**","-","**"
"                With own children under 6 years and 6 to 17  years","52","±47","32.7%","±46.9","32.7%","±46.9","0.0%","±79.8","0","±13","-","**","-","**","-","**","23","±9","100.0%","±68.6","100.0%","±68.6","0.0%","±68.6","6","±31","100.0%","±100.0","100.0%","±100.0","0.0%","±100.0","0","±13","-","**","-","**","-","**","0","±13","-","**","-","**","-","**"
"                With own children 6 to 17 years only","141","±87","61.0%","±33.6","61.0%","±33.6","0.0%","±35.1","42","±52","100.0%","±50.8","47.6%","±52.4","52.4%","±52.4","17","±28","100.0%","±79.8","100.0%","±79.8","0.0%","±79.8","41","±36","100.0%","±51.4","100.0%","±51.4","0.0%","±51.4","17","±21","100.0%","±79.8","41.2%","±58.8","58.8%","±58.8","0","±13","-","**","-","**","-","**"
"    POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Below poverty level","495","±169","44.6%","±18.4","37.8%","±17.8","15.4%","±14.0","102","±83","29.4%","±26.6","29.4%","±26.6","0.0%","±60.1","91","±54","36.3%","±44.6","36.3%","±44.6","0.0%","±57.3","633","±327","34.0%","±18.2","31.8%","±17.4","6.5%","±10.5","91","±92","0.0%","±33.9","0.0%","±33.9","-","**","80","±107","100.0%","±36.7","18.8%","±46.5","81.3%","±46.5"
"        At or above the poverty level","1,059","±240","83.6%","±9.1","76.0%","±10.4","8.1%","±7.9","1,754","±306","96.6%","±3.1","92.0%","±6.3","4.8%","±5.7","922","±226","98.5%","±1.9","96.2%","±2.1","0.0%","±4.4","2,585","±498","96.8%","±3.1","95.8%","±3.4","1.0%","±1.2","1,867","±533","92.1%","±6.1","91.5%","±6.1","0.6%","±1.0","1,073","±230","91.7%","±7.0","87.4%","±8.5","4.7%","±5.5"
"    DISABILITY STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        With any disability","307","±111","20.2%","±14.5","16.9%","±13.0","16.1%","±23.8","127","±68","85.8%","±20.6","85.8%","±20.6","0.0%","±29.8","30","±29","83.3%","±35.1","83.3%","±35.1","0.0%","±65.8","339","±164","68.1%","±24.0","68.1%","±24.0","0.0%","±15.8","135","±110","23.7%","±32.0","23.7%","±32.0","0.0%","±58.2","199","±114","86.4%","±19.3","53.8%","±44.0","37.8%","±51.2"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 to 64 years","1,479","±261","69.7%","±8.9","62.3%","±8.8","9.9%","±7.4","1,676","±253","92.9%","±4.6","88.0%","±7.0","5.3%","±6.2","913","±213","95.0%","±4.1","92.7%","±4.3","0.0%","±4.6","3,059","±578","85.3%","±8.4","84.0%","±8.5","1.5%","±1.4","1,929","±518","87.6%","±8.2","87.1%","±8.3","0.6%","±1.0","1,140","±238","92.2%","±6.7","81.5%","±11.6","10.7%","±10.7"
"        Less than high school graduate","369","±122","38.5%","±17.2","35.8%","±17.5","7.0%","±12.1","0","±13","-","**","-","**","-","**","26","±31","38.5%","±60.9","38.5%","±60.9","0.0%","±100.0","279","±207","25.1%","±15.1","25.1%","±15.1","0.0%","±39.3","65","±59","56.9%","±48.5","56.9%","±48.5","0.0%","±54.1","0","±13","-","**","-","**","-","**"
"        High school graduate (includes equivalency)","308","±130","57.5%","±22.1","54.5%","±22.0","5.1%","±8.5","10","±16","0.0%","±100.0","0.0%","±100.0","-","**","21","±26","61.9%","±35.6","61.9%","±35.6","0.0%","±91.2","173","±95","35.8%","±30.6","35.8%","±30.6","0.0%","±41.8","246","±258","93.5%","±18.8","93.5%","±18.8","0.0%","±15.9","73","±74","79.5%","±37.8","79.5%","±37.8","0.0%","±43.2"
"        Some college or associate's degree","169","±75","62.1%","±33.1","40.2%","±25.3","35.2%","±35.4","218","±124","100.0%","±16.7","100.0%","±16.7","0.0%","±16.7","200","±188","97.5%","±6.0","97.5%","±6.0","0.0%","±18.4","248","±133","60.1%","±28.8","60.1%","±28.8","0.0%","±23.2","140","±99","75.0%","±29.5","75.0%","±29.5","0.0%","±30.6","159","±135","100.0%","±22.0","59.1%","±46.4","40.9%","±46.4"
"        Bachelor's degree or higher","633","±178","95.9%","±4.4","87.4%","±10.4","7.5%","±9.6","1,448","±231","92.5%","±5.3","86.8%","±8.2","6.1%","±7.2","666","±121","97.4%","±3.1","94.3%","±3.5","0.0%","±6.2","2,359","±489","98.7%","±1.6","97.0%","±2.3","1.7%","±1.6","1,478","±420","89.2%","±9.3","88.5%","±9.4","0.8%","±1.3","908","±219","91.9%","±7.7","85.6%","±10.1","5.6%","±6.6"
