"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Owner-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Owner-occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Renter-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Renter-occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Owner-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Owner-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Renter-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Renter-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Margin of Error"
"        Family households","578","±124","44.5%","±9.4","54","±37","24.4%","±16.4","524","±114","48.7%","±9.9","579","±152","25.3%","±6.4","241","±100","29.4%","±11.4","338","±130","23.0%","±8.6"
"            Married-couple family","137","±69","10.6%","±5.3","54","±37","24.4%","±16.4","83","±57","7.7%","±5.2","442","±150","19.3%","±6.4","226","±98","27.5%","±11.1","216","±120","14.7%","±8.0"
"                Householder 15 to 34 years","44","±38","3.4%","±3.0","20","±23","9.0%","±10.2","24","±28","2.2%","±2.6","117","±77","5.1%","±3.4","42","±38","5.1%","±4.6","75","±69","5.1%","±4.7"
"                Householder 35 to 64 years","43","±35","3.3%","±2.6","30","±28","13.6%","±12.7","13","±22","1.2%","±2.0","325","±162","14.2%","±6.9","184","±105","22.4%","±12.0","141","±119","9.6%","±8.0"
"                Householder 65 years and over","50","±44","3.9%","±3.4","4","±8","1.8%","±3.6","46","±43","4.3%","±4.0","0","±12","0.0%","±1.5","0","±12","0.0%","±4.2","0","±12","0.0%","±2.4"
"            Other family","441","±99","34.0%","±7.6","0","±12","0.0%","±14.6","441","±99","40.9%","±8.6","137","±79","6.0%","±3.4","15","±24","1.8%","±2.9","122","±76","8.3%","±5.4"
"                Male householder, no wife present","41","±43","3.2%","±3.3","0","±12","0.0%","±14.6","41","±43","3.8%","±3.9","5","±9","0.2%","±0.4","0","±12","0.0%","±4.2","5","±9","0.3%","±0.6"
"                    Householder 15 to 34 years","0","±12","0.0%","±2.7","0","±12","0.0%","±14.6","0","±12","0.0%","±3.2","5","±9","0.2%","±0.4","0","±12","0.0%","±4.2","5","±9","0.3%","±0.6"
"                    Householder 35 to 64 years","41","±43","3.2%","±3.3","0","±12","0.0%","±14.6","41","±43","3.8%","±3.9","0","±12","0.0%","±1.5","0","±12","0.0%","±4.2","0","±12","0.0%","±2.4"
"                    Householder 65 years and over","0","±12","0.0%","±2.7","0","±12","0.0%","±14.6","0","±12","0.0%","±3.2","0","±12","0.0%","±1.5","0","±12","0.0%","±4.2","0","±12","0.0%","±2.4"
"                Female householder, no husband present","400","±91","30.8%","±7.1","0","±12","0.0%","±14.6","400","±91","37.1%","±8.3","132","±78","5.8%","±3.4","15","±24","1.8%","±2.9","117","±75","8.0%","±5.3"
"                    Householder 15 to 34 years","106","±54","8.2%","±4.2","0","±12","0.0%","±14.6","106","±54","9.8%","±5.1","12","±20","0.5%","±0.9","0","±12","0.0%","±4.2","12","±20","0.8%","±1.4"
"                    Householder 35 to 64 years","244","±83","18.8%","±6.3","0","±12","0.0%","±14.6","244","±83","22.7%","±7.4","87","±81","3.8%","±3.6","0","±12","0.0%","±4.2","87","±81","5.9%","±5.6"
"                    Householder 65 years and over","50","±43","3.9%","±3.3","0","±12","0.0%","±14.6","50","±43","4.6%","±4.0","33","±38","1.4%","±1.7","15","±24","1.8%","±2.9","18","±30","1.2%","±2.0"
"        Nonfamily households","720","±137","55.5%","±9.4","167","±74","75.6%","±16.4","553","±122","51.3%","±9.9","1,711","±186","74.7%","±6.4","580","±140","70.6%","±11.4","1,131","±178","77.0%","±8.6"
"            Householder living alone","625","±130","48.2%","±9.4","167","±74","75.6%","±16.4","458","±118","42.5%","±10.1","1,386","±219","60.5%","±7.9","494","±139","60.2%","±12.1","892","±203","60.7%","±10.5"
"                Householder 15 to 34 years","114","±67","8.8%","±5.3","0","±12","0.0%","±14.6","114","±67","10.6%","±6.2","511","±176","22.3%","±7.2","179","±84","21.8%","±9.4","332","±162","22.6%","±10.1"
"                Householder 35 to 64 years","336","±102","25.9%","±7.2","154","±76","69.7%","±18.7","182","±83","16.9%","±7.1","620","±156","27.1%","±6.7","264","±118","32.2%","±12.2","356","±118","24.2%","±8.3"
"                Householder 65 years and over","175","±71","13.5%","±5.5","13","±15","5.9%","±7.3","162","±70","15.0%","±6.7","255","±150","11.1%","±6.5","51","±46","6.2%","±5.6","204","±136","13.9%","±8.9"
"            Householder not living alone","95","±58","7.3%","±4.4","0","±12","0.0%","±14.6","95","±58","8.8%","±5.2","325","±124","14.2%","±5.6","86","±66","10.5%","±8.1","239","±115","16.3%","±8.2"
"                Householder 15 to 34 years","54","±34","4.2%","±2.6","0","±12","0.0%","±14.6","54","±34","5.0%","±3.2","93","±54","4.1%","±2.4","6","±10","0.7%","±1.2","87","±52","5.9%","±3.7"
"                Householder 35 to 64 years","41","±51","3.2%","±3.8","0","±12","0.0%","±14.6","41","±51","3.8%","±4.6","212","±113","9.3%","±5.0","80","±63","9.7%","±7.9","132","±108","9.0%","±7.5"
"                Householder 65 years and over","0","±12","0.0%","±2.7","0","±12","0.0%","±14.6","0","±12","0.0%","±3.2","20","±33","0.9%","±1.5","0","±12","0.0%","±4.2","20","±33","1.4%","±2.3"
"    FAMILY TYPE AND PRESENCE OF OWN CHILDREN","","","","","","","","","","","","","","","","","","","","","","","",""
"        With related children of householder under 18 years","251","±79","19.3%","±6.1","25","±27","11.3%","±11.6","226","±74","21.0%","±6.8","144","±85","6.3%","±3.7","58","±71","7.1%","±8.9","86","±47","5.9%","±3.2"
"            With own children of householder under 18 years","237","±78","18.3%","±6.0","25","±27","11.3%","±11.6","212","±73","19.7%","±6.6","144","±85","6.3%","±3.7","58","±71","7.1%","±8.9","86","±47","5.9%","±3.2"
"                Under 6 years only","63","±49","4.9%","±3.8","25","±27","11.3%","±11.6","38","±36","3.5%","±3.4","60","±79","2.6%","±3.5","16","±30","1.9%","±3.7","44","±62","3.0%","±4.2"
"                Under 6 years and 6 to 17 years","52","±40","4.0%","±3.1","0","±12","0.0%","±14.6","52","±40","4.8%","±3.7","42","±40","1.8%","±1.8","0","±12","0.0%","±4.2","42","±40","2.9%","±2.8"
"                6 to 17 years only","122","±63","9.4%","±4.8","0","±12","0.0%","±14.6","122","±63","11.3%","±5.9","42","±53","1.8%","±2.3","42","±53","5.1%","±6.5","0","±12","0.0%","±2.4"
"            No own children of householder under 18 years","14","±21","1.1%","±1.6","0","±12","0.0%","±14.6","14","±21","1.3%","±2.0","0","±12","0.0%","±1.5","0","±12","0.0%","±4.2","0","±12","0.0%","±2.4"
"        No related children of householder under 18 years","1,047","±113","80.7%","±6.1","196","±73","88.7%","±11.6","851","±112","79.0%","±6.8","2,146","±171","93.7%","±3.7","763","±157","92.9%","±8.9","1,383","±158","94.1%","±3.2"
