"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Employment/Population Ratio!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Employment/Population Ratio!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Unemployment rate!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Unemployment rate!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Employment/Population Ratio!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Employment/Population Ratio!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Unemployment rate!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Unemployment rate!!Margin of Error"
"        Black or African American alone","1,580","±259","50.1%","±8.9","37.9%","±9.3","24.4%","±12.4","1,560","±233","60.6%","±16.5","51.9%","±12.7","14.4%","±9.5"
"        American Indian and Alaska Native alone","0","±12","-","**","-","**","-","**","0","±12","-","**","-","**","-","**"
"        Asian alone","30","±44","100.0%","±56.2","100.0%","±56.2","0.0%","±56.2","153","±120","100.0%","±20.3","90.8%","±16.3","9.2%","±16.3"
"        Native Hawaiian and Other Pacific Islander alone","0","±12","-","**","-","**","-","**","37","±32","100.0%","±50.6","100.0%","±50.6","0.0%","±50.6"
"        Some other race alone","23","±26","100.0%","±64.2","60.9%","±59.3","39.1%","±59.3","38","±41","100.0%","±49.9","100.0%","±49.9","0.0%","±49.9"
"        Two or more races","18","±30","100.0%","±72.5","100.0%","±72.5","0.0%","±72.5","144","±121","100.0%","±21.4","100.0%","±21.4","0.0%","±21.4"
"        Hispanic or Latino origin (of any race)","109","±52","63.3%","±26.1","55.0%","±27.8","13.0%","±20.6","200","±90","100.0%","±16.0","100.0%","±16.0","0.0%","±16.0"
"        White alone, not Hispanic or Latino","455","±144","93.4%","±6.8","85.5%","±9.9","3.2%","±4.0","1,382","±229","90.2%","±7.4","82.4%","±9.7","6.3%","±6.1"
"Population 20 to 64 years","1,692","±244","75.7%","±7.3","62.4%","±9.6","16.1%","±8.2","3,034","±340","85.4%","±7.2","76.9%","±6.6","8.8%","±4.3"
"    SEX","","","","","","","","","","","","","","","",""
"        Male","769","±179","88.4%","±7.6","69.6%","±13.3","18.6%","±13.8","1,498","±283","89.0%","±7.5","84.5%","±9.1","4.1%","±5.1"
"        Female","923","±168","65.0%","±10.5","56.3%","±11.3","13.3%","±9.1","1,536","±210","81.8%","±9.7","69.4%","±7.9","13.9%","±8.2"
"            With own children under 18 years","235","±78","71.1%","±17.4","54.9%","±19.9","22.8%","±19.6","148","±89","99.3%","±17.0","99.3%","±17.0","0.0%","±21.0"
"                With own children under 6 years only","82","±56","91.5%","±15.4","79.3%","±24.6","13.3%","±22.6","61","±82","98.4%","±66.8","98.4%","±66.8","0.0%","±39.7"
"                With own children under 6 years and 6 to 17  years","52","±40","30.8%","±43.6","30.8%","±43.6","0.0%","±76.9","42","±40","100.0%","±47.5","100.0%","±47.5","0.0%","±47.5"
"                With own children 6 to 17 years only","101","±62","75.2%","±24.2","47.5%","±31.5","36.8%","±36.5","45","±54","100.0%","±45.9","100.0%","±45.9","0.0%","±45.9"
"    POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","",""
"        Below poverty level","480","±164","53.8%","±12.1","26.0%","±12.0","51.6%","±20.2","569","±272","40.4%","±20.7","32.0%","±19.9","20.9%","±20.9"
"        At or above the poverty level","1,212","±234","84.3%","±7.4","76.7%","±9.5","6.9%","±7.7","2,465","±420","95.7%","±4.0","87.2%","±6.4","7.6%","±4.6"
"    DISABILITY STATUS","","","","","","","","","","","","","","","",""
"        With any disability","298","±116","16.4%","±13.8","13.4%","±12.6","18.4%","±28.6","352","±129","39.8%","±21.4","39.8%","±21.4","0.0%","±21.9"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","",""
"    Population 25 to 64 years","1,559","±228","74.9%","±7.4","60.7%","±9.9","17.2%","±8.9","2,793","±349","89.2%","±4.4","80.2%","±5.6","8.9%","±4.5"
"        Less than high school graduate","282","±112","48.2%","±16.9","33.0%","±17.7","31.6%","±24.9","226","±103","44.7%","±21.9","44.7%","±21.9","0.0%","±28.5"
"        High school graduate (includes equivalency)","378","±102","71.2%","±15.6","56.9%","±18.5","20.1%","±20.5","179","±132","86.6%","±25.2","86.6%","±25.2","0.0%","±20.1"
"        Some college or associate's degree","246","±85","54.9%","±20.1","41.5%","±19.3","24.4%","±22.2","318","±176","93.4%","±11.2","63.2%","±25.8","32.3%","±28.6"
"        Bachelor's degree or higher","653","±195","96.0%","±4.8","82.2%","±12.2","11.1%","±12.4","2,070","±262","93.6%","±4.7","86.2%","±6.7","6.4%","±4.7"
